SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	1	0	0	2.5e-05	0	0	0	0	0	0.093	0
1	0.98	0	0	0.017	0	0	0	0	0	0.093	0
2	0	0	0	1	0	0	0	0	3	0.14	0.018
3	0	0.37	0	4.1e-06	0	0.63	0	0	5	0.14	0.16
4	0	0	0	1	0	0	0	0	3	0.14	0.018
5	0.91	0	0	0.089	0	8.9e-06	0	0	0	0.093	0
6	0	0	0.01	0	0.43	0	0.44	0.12	6	0	0.089
7	0	0	0	1	0	0	0	0	3	0.14	0.018
8	0	0.77	0	0	0	0.23	0	0	1	0.22	0.24
9	0	0	0	1	0	0	0	0	3	0.14	0.018
10	0.44	0	0	0.56	0	5.2e-06	0	0	3	0.14	0.018
11	0.03	0	0	0.97	0	0	0	0	3	0.14	0.018
12	0	0	0.39	0	0.092	0	0.093	0.43	7	0.016	0.16
13	0	0.18	0	0	0	0.82	0	0.0012	5	0.14	0.16
14	0.28	0	0	0.72	0	0	0	0	3	0.14	0.018
15	0	0	0.011	0	0.42	1.1e-05	0.43	0.14	6	0	0.089
16	0	0.99	0	0	0	0.0083	0	0	1	0.22	0.24
17	1	0	0	0.0042	0	0	0	0	0	0.093	0
18	1	0	0	6.6e-05	0	0	0	0	0	0.093	0
19	0	0	0.99	0	0	0	0	0.011	2	0	0.24
20	0	0	0.00054	0	0.49	0	0.49	0.022	6	0	0.089
21	0	0	0	8.6e-06	0	0.00053	0	1	7	0.016	0.16
22	0	0	0.0028	0	0.47	0	0.48	0.046	6	0	0.089
23	0	0.83	0	0	0	0.17	0	0	1	0.22	0.24
24	0	0.0007	0	0	0	1	0	0	5	0.14	0.16
25	0	0.3	0	0	0	0.7	0	0	5	0.14	0.16
26	0.95	0	0	0.0075	0	0.045	0	0	0	0.093	0
27	0	0	0.67	0	7.9e-05	0.3	8e-05	0.028	2	0	0.24
28	0.96	0	0	0.0063	0	0.038	0	0	0	0.093	0
29	0	0	0.0034	0	0.44	0	0.44	0.12	6	0	0.089
30	0	0	0	1	0	0	0	0	3	0.14	0.018
31	0	0	0	1	0	0	0	0	3	0.14	0.018
32	0	0.5	0	0	0	0.5	0	0	1	0.22	0.24
33	0	0	0.028	0	0.19	0.53	0.19	0.071	5	0.14	0.16
34	0	0	0	1	0	0.0035	0	0	3	0.14	0.018
35	0	0.97	0	0	0	0.028	0	0	1	0.22	0.24
36	0	0	0	0	0.5	2e-06	0.5	0	6	0	0.089
37	1	0	0	2.7e-05	0	0.00098	0	0	0	0.093	0
38	0	0	0.076	0	0.0088	0.86	0.0089	0.047	5	0.14	0.16
39	0	0	0	0	0	0	0	1	7	0.016	0.16
40	0	0.1	0	0	0	0.9	0	0	5	0.14	0.16
41	0.83	0	0	0.024	0	0.14	0	0	0	0.093	0
42	0.00073	0	0	0.88	0	0.12	0	0	3	0.14	0.018
43	0	0	0.081	0	0.15	0.43	0.15	0.19	5	0.14	0.16
44	0	0	0	1	0	0	0	0	3	0.14	0.018
45	0.77	0	0	0.038	0	0.19	0	0	0	0.093	0
