SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0	1.8e-05	0	1	0	0	0	0	0	0	0	0	0	3	0.093	0
1	0	0.012	0	0.99	0	0	0	0	0	7.7e-05	0	0	7.5e-05	3	0.093	0
2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.14	0.018
3	0	3.3e-06	0	0	0	0.59	0	0	0.41	0	0.00012	0	0	5	0.14	0.16
4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.14	0.018
5	0	0.065	0	0.93	0	7.5e-06	0	0	0	0.00081	0	0	0.00078	3	0.093	0
6	0.68	0	4.8e-05	0	0.034	0	0.13	0.13	0	0	0	0.034	0	0	0	0.14
7	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.14	0.018
8	0	0	0	0	0	0.19	0	0	0.81	0	0.00042	0	0	8	0.22	0.24
9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.14	0.018
10	0	0.38	0	0.41	0	4e-06	0	0	0	0.11	0	0	0.1	3	0.093	0
11	0	0.017	0	0.00074	0	0	0	0	0	0.5	0	0	0.48	9	0.22	0
12	0.83	0	0.0045	0	0.063	0	0.0043	0.034	0	0	0	0.063	0	0	0	0.14
13	0	0	0	0	0.00059	0.79	0	0	0.21	0	0.0028	0.00059	0	5	0.14	0.16
14	0	0.15	0	0.081	0	0	0	0	0	0.39	0	0	0.38	9	0.22	0
15	0.67	0	5.2e-05	0	0.042	6.3e-06	0.12	0.12	0	0	0	0.042	0	0	0	0.14
16	0	0	0	0	0	0.0069	0	0	0.99	0	0	0	0	8	0.22	0.24
17	0	0.003	0	1	0	0	0	0	0	1.3e-06	0	0	1.3e-06	3	0.093	0
18	0	4.7e-05	0	1	0	0	0	0	0	0	0	0	0	3	0.093	0
19	0.3	0	0.63	0	0.035	0	0	0.00021	0	0	0	0.035	0	2	0	0.31
20	0.67	0	0	0	0.0082	0	0.13	0.18	0	0	0	0.0082	0	0	0	0.14
21	0	7.6e-06	0	0	0.5	0.00053	0	0	0	0	0	0.5	0	4	0.016	0.16
22	0.63	0	6e-06	0	0.017	0	0.18	0.15	0	0	0	0.017	0	0	0	0.14
23	0	0	0	0	0	0.15	0	0	0.85	0	0.0032	0	0	8	0.22	0.24
24	0	0	0	0	0	1	0	0	0.00085	0	0	0	0	5	0.14	0.16
25	0	0	0	0	0	0.66	0	0	0.34	0	3e-05	0	0	5	0.14	0.16
26	0	0.0054	0	0.96	0	0.038	0	0	0	3.8e-05	0	0	3.7e-05	3	0.093	0
27	0.58	0	0.01	0	0.017	0.37	0	0.0012	0	0	0	0.017	0	0	0	0.14
28	0	0.0045	0	0.96	0	0.032	0	0	0	1.4e-05	0	0	1.3e-05	3	0.093	0
29	0.89	0	0	0	0.0093	0	0.0068	0.089	0	0	0	0.0093	0	0	0	0.14
30	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.14	0.018
31	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.14	0.018
32	0	0	0	0	0	0.45	0	0	0.55	0	2.2e-05	0	0	8	0.22	0.24
33	0.79	0	1.3e-05	0	0.0089	0.13	0.0062	0.055	0	0	0	0.0089	0	0	0	0.14
34	0	1	0	0	0	0.004	0	0	4e-06	0	0	0	0	1	0.14	0.018
35	0	0	0	0	0	0.021	0	0	0.9	0	0.076	0	0	8	0.22	0.24
36	0.00042	0	0	0	0	1.9e-06	0.97	0.026	0	0	0	0	0	6	0	0.071
37	0	1.9e-05	0	1	0	0.0008	0	0	0	0	0	0	0	3	0.093	0
38	0.77	0	1.3e-05	0	0.0057	0.21	4.3e-05	0.0099	0	0	0	0.0057	0	0	0	0.14
39	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	4	0.016	0.16
