k	loglikelihood	observations	parameters	BIC
1	-44148.6	37570	4	88339.4
2	-31659.8	37570	6	63382.7
3	-21011.6	37570	8	42107.5
4	-18035.6	37570	10	36176.6
5	-16849.1	37570	12	33824.6
6	-16454.8	37570	14	33057.1
7	-16187	37570	16	32542.6
8	-16148.3	37570	18	32486.3
9	-15921.9	37570	20	32054.5
10	-15700.1	37570	22	31632
11	-15823.5	37570	24	31899.8
12	-15666	37570	26	31605.8
13	-15619.1	37570	28	31533.2
14	-15522	37570	30	31360
15	-15480.7	37570	32	31298.4
16	-15616.9	37570	34	31592
17	-15442.8	37570	36	31264.7
18	-15442.2	37570	38	31284.7
19	-15461	37570	40	31343.3
20	-15393.1	37570	42	31228.7
