SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0.00024	0	4.9e-06	0	1	13	0.078	0
1	0	0	0	0	0	0	0	0	0	0.13	0	0.013	0	0.86	13	0.078	0
2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
3	0.3	0.49	0.019	0	0	0	0.19	0	0	0	0	3.3e-06	1.8e-05	0	1	0.14	0.16
4	0	0	0	0	0	0	5.7e-06	0	0	0	0	1	0	0	11	0.14	0.018
5	0	6.6e-06	0	0	0	0	0	0	0	0.26	0	0.068	0	0.67	13	0.078	0
6	0	0	0	3.3e-05	0.086	0.55	0	0.29	2.7e-05	0	0.07	0	0	0	5	0	0.16
7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
8	0.68	0.19	0.11	0	0	0	0.019	0	0	0	0	0	7.1e-05	0	0	0.22	0.24
9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
10	0	0	0	0	0	0	0	0	0	0.8	0	0.16	0	0.032	9	0.14	0
11	0	0	0	0	0	0	0	0	0	0.98	0	0.018	0	5.5e-06	9	0.14	0
12	0	0	0	0.0022	0.002	0.88	0	0.021	0.00035	0	0.09	0	0	0	5	0	0.16
13	0.024	0.11	0.87	0	0	0	0.00054	0	0	0	0.00018	0	6.7e-05	0	2	0.14	0.31
14	0	0	0	0	0	0	0	0	0	0.94	0	0.054	0	0.0019	9	0.14	0
15	0	5.6e-06	0	3.6e-05	0.082	0.55	0	0.28	2.8e-05	0	0.086	0	0	0	5	0	0.16
16	0.68	0.0054	0.32	0	0	0	0.0003	0	0	0	0	0	0	0	0	0.22	0.24
17	0	0	0	0	0	0	0	0	0	0.025	0	0.0023	0	0.97	13	0.078	0
18	0	0	0	0	0	0	0	0	0	0.0013	0	2.3e-05	0	1	13	0.078	0
19	0	0	0	0.17	0	0.79	0	4e-06	0.011	0	0.028	0	0	0	5	0	0.16
20	0	0	0	0	0.099	0.43	0	0.45	2e-06	0	0.019	0	0	0	7	0	0.089
21	0	0.00046	0	0	0	0	0	0	0	0	1	7.8e-06	0	0	10	0.016	0.16
22	0	0	0	4.2e-06	0.12	0.44	0	0.4	9.2e-06	0	0.035	0	0	0	5	0	0.16
23	0.53	0.11	0.0018	0	0	0	0.36	0	0	0	0	0	0.00041	0	0	0.22	0.24
24	0.00074	1	0.00053	0	0	0	0.0023	0	0	0	0	0	0	0	1	0.14	0.16
25	0.26	0.58	0.071	0	0	0	0.09	0	0	0	0	0	4.7e-06	0	1	0.14	0.16
26	0	0.044	0	0	0	0	0	0	0	0.36	0	0.0075	0	0.59	13	0.078	0
27	0	0.11	0	0.0024	0	0.88	0	3.6e-05	0.0012	0	0.011	0	0	0	5	0	0.16
28	0	0.04	0	0	0	0	0	0	0	0.33	0	0.0069	0	0.63	13	0.078	0
29	0	0	0	0	0.0062	0.86	0	0.11	3.3e-06	0	0.026	0	0	0	5	0	0.16
30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
31	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
32	0.38	0.36	0.0061	0	0	0	0.25	0	0	0	0	0	3.1e-06	0	0	0.22	0.24
33	0	0.1	0	8.1e-06	0.0037	0.83	0	0.046	2.7e-05	0	0.016	0	0	0	5	0	0.16
34	0	0.0033	0	0	0	0	0.00018	0	0	0	0	1	0	0	11	0.14	0.018
35	0.73	0.02	0.0057	0	0	0	0.23	0	0	0	0	0	0.012	0	0	0.22	0.24
36	0	1.4e-06	0	0	0.56	1.2e-05	0	0.44	0	0	0	0	0	0	4	0	0.071
37	0	0.00075	0	0	0	0	0	0	0	0.0061	0	2.1e-05	0	0.99	13	0.078	0
38	0	0.11	0	5.1e-06	1.7e-05	0.88	0	0.0014	4.9e-05	0	0.0069	0	0	0	5	0	0.16
39	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
40	0.097	0.8	0.0049	0	0	0	0.1	0	0	0	0	0	0	0	1	0.14	0.16
41	0	0.089	0	0	0	0	0	0	0	0.73	0	0.015	0	0.17	9	0.14	0
42	0	0.013	0	0	0	0	0	0	0	0.89	0	0.095	0	0	9	0.14	0
43	0	0.1	0	0.00019	0.0053	0.8	0	0.045	9.4e-05	0	0.05	0	0	0	5	0	0.16
44	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
45	0	0.094	0	0	0	0	0	0	0	0.77	0	0.02	0	0.12	9	0.14	0
46	0.74	0.044	0.014	0	0	0	0.2	0	0	0	0	0	8e-06	0	0	0.22	0.24
47	0	0.089	0	0.00035	0.028	0.71	0	0.12	8.8e-05	0	0.05	0	0	0	5	0	0.16
48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
49	0	0.11	0	3.3e-05	0.00047	0.86	0	0.011	6.6e-05	0	0.022	0	0	0	5	0	0.16
50	0.014	0.7	0.28	0	0	0	0.00042	0	0	0	0	0	0	0	1	0.14	0.16
51	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
52	0	0.11	0	0	0.00038	0.87	0	0.015	5.9e-06	0	0.0053	0	0	0	5	0	0.16
53	0.24	0.5	0.14	0	0	0	0.11	0	0	0	0	0	0.0061	0	1	0.14	0.16
54	0	0.098	0	0	0	0	0	0	0	0.8	0	0.036	0	0.063	9	0.14	0
55	0.37	0.36	0.092	0	0	0	0.17	0	0	0	0	0	0.0028	0	0	0.22	0.24
56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
57	0	0.0038	0	0	0	0	0	0	0	0.031	0	0.00062	0	0.96	13	0.078	0
58	0	0.1	0	0.0027	0.0029	0.8	0	0.024	0.0003	0	0.067	0	0	0	5	0	0.16
59	0.00035	0.75	0.25	0	0	0	4.5e-05	0	0	0	5.4e-05	0	0	0	1	0.14	0.16
60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
61	0	0.032	0	0	0	0	0	0	0	0.26	2.4e-06	0.012	0	0.7	13	0.078	0
62	0	0.072	6.3e-05	0.075	0.001	0.73	0	0.008	0.0011	0	0.11	0	0	0	5	0	0.16
63	0.00042	0.79	0.21	0	0	0	0.00048	0	0	0	0	0	0	0	1	0.14	0.16
64	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
65	0.0001	0.76	0.24	0	0	0	4.1e-05	0	0	0	0.00025	0	0	0	1	0.14	0.16
66	0	0.071	0	0	0	0	0	0	0	0.57	0	0.016	0	0.34	9	0.14	0
67	0	0.28	0	0.00023	0.0026	0.65	0	0.027	0.00011	0	0.041	0	0	0	5	0	0.16
68	0	0.085	0	0	0	0	0	0	0	0.69	0	0.0081	0	0.22	9	0.14	0
69	0	0	0	0	0	0	0	0	0	0.33	0	0.069	0	0.6	13	0.078	0
70	0	1.1e-05	0	0	0	0	0	0	0	0	0	1	0	0	11	0.14	0.018
71	0	0.3	0	0	0	0.69	0	7.1e-05	7.1e-06	0	0.002	0	0	0	5	0	0.16
72	0	0.011	0	0	0	0	0	0	0	0.086	0.00073	0.0082	0	0.89	13	0.078	0
73	0	0.085	0	0	0	0	0	0	0	0.79	0	0.12	0	0.0066	9	0.14	0
74	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
75	0	0.002	0	0	0.43	0.016	0	0.55	0	0	0.00018	3.5e-05	0	0	7	0	0.089
76	0	0.00057	0	0	0.53	0.0045	0	0.47	0	0	8.3e-05	0.00025	0	0	4	0	0.071
77	0.00038	0.87	0.13	0	0	0	3.7e-05	0	0	0	0.00079	0	0	0	1	0.14	0.16
78	0	0.036	0	0	0	0	0	0	0	0.29	0	0.002	0	0.67	13	0.078	0
79	0.00032	0.48	0.13	0	0	0	0.00018	0	0	0	0.39	0	0	0	1	0.14	0.16
80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
81	0.81	0.16	1.9e-05	0	0	0	0.031	0	0	0	0	0	0	0	0	0.22	0.24
82	0	0.083	0	0.00033	0.041	0.66	0	0.15	7.7e-05	0	0.06	0	0	0	5	0	0.16
83	0	0.077	0	0	0	0	0	0	0	0.63	0	0.091	0	0.21	9	0.14	0
84	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
85	0.0015	0.99	0.00011	0	0	0	0.0094	0	0	0	0	0	0	0	1	0.14	0.16
86	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
87	0.00029	0.99	0.0076	0	0	0	0.00015	0	0	0	0.00016	0	0	0	1	0.14	0.16
88	0	0.11	0	0	0.00013	0.88	0	0.0067	1.1e-05	0	0.0073	0	0	0	5	0	0.16
89	0	1.1e-05	0	0.19	0	0.73	0	0	9.1e-05	0	0.08	0	0	0	5	0	0.16
90	0	0.00028	0	0	0.57	0.0022	0	0.43	0	0	3.7e-05	0.00042	0	0	4	0	0.071
91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.016	0.16
92	0	0.11	0	0	0.0006	0.86	0	0.022	3.9e-06	0	0.0054	0	0	0	5	0	0.16
93	0.022	0.75	0.23	0	0	0	0.0035	0	0	0	0	0	0	0	1	0.14	0.16
94	0.044	0.74	0.19	0	0	0	0.024	0	0	0	0	0	0.00019	0	1	0.14	0.16
