SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	0	1	1	0.016	0.11
1	0.21	0.79	1	0.016	0.11
2	1	0	0	0.14	0.16
3	1	0	0	0.14	0.16
4	1	0	0	0.14	0.16
5	0.93	0.072	0	0.14	0.16
6	9e-06	1	1	0.016	0.11
7	1	0	0	0.14	0.16
8	1	0	0	0.14	0.16
9	0.46	0.54	1	0.016	0.11
10	1	0	0	0.14	0.16
11	1	0	0	0.14	0.16
12	8.7e-06	1	1	0.016	0.11
13	1	1.2e-05	0	0.14	0.16
14	1	0	0	0.14	0.16
15	5e-05	1	1	0.016	0.11
16	1	0	0	0.14	0.16
17	0.019	0.98	1	0.016	0.11
18	0.00038	1	1	0.016	0.11
19	0	1	1	0.016	0.11
20	0	1	1	0.016	0.11
21	9.6e-05	1	1	0.016	0.11
22	0	1	1	0.016	0.11
23	1	0	0	0.14	0.16
24	1	0	0	0.14	0.16
25	1	0	0	0.14	0.16
26	1	0	0	0.14	0.16
27	1	0.00025	0	0.14	0.16
28	1	0	0	0.14	0.16
29	0	1	1	0.016	0.11
30	0.82	0.18	0	0.14	0.16
31	1	0.0032	0	0.14	0.16
32	1	0	0	0.14	0.16
33	0.96	0.044	0	0.14	0.16
34	1	0	0	0.14	0.16
35	1	0	0	0.14	0.16
36	0.023	0.98	1	0.016	0.11
37	1	0	0	0.14	0.16
38	1	0.0021	0	0.14	0.16
39	1.3e-05	1	1	0.016	0.11
40	1	0	0	0.14	0.16
41	1	0	0	0.14	0.16
42	1	0	0	0.14	0.16
43	0.89	0.11	0	0.14	0.16
44	1	0.00011	0	0.14	0.16
45	1	0	0	0.14	0.16
46	1	0	0	0.14	0.16
47	0.79	0.21	0	0.14	0.16
48	1	1e-05	0	0.14	0.16
49	0.98	0.021	0	0.14	0.16
50	1	0	0	0.14	0.16
51	0.78	0.22	0	0.14	0.16
52	0.99	0.0091	0	0.14	0.16
53	1	0	0	0.14	0.16
54	1	0	0	0.14	0.16
55	1	0	0	0.14	0.16
56	0	1	1	0.016	0.11
57	1	0	0	0.14	0.16
58	0.91	0.088	0	0.14	0.16
59	1	0	0	0.14	0.16
60	0	1	1	0.016	0.11
61	1	0	0	0.14	0.16
62	0.93	0.073	0	0.14	0.16
63	1	0	0	0.14	0.16
64	0	1	1	0.016	0.11
65	1	0	0	0.14	0.16
66	1	0	0	0.14	0.16
67	0.97	0.034	0	0.14	0.16
68	1	0	0	0.14	0.16
69	0.96	0.041	0	0.14	0.16
70	1	0	0	0.14	0.16
71	1	6.6e-05	0	0.14	0.16
72	1	1e-05	0	0.14	0.16
73	1	0	0	0.14	0.16
74	0	1	1	0.016	0.11
75	0.29	0.71	1	0.016	0.11
76	0.1	0.9	1	0.016	0.11
77	1	0	0	0.14	0.16
78	1	0	0	0.14	0.16
79	1	3.7e-05	0	0.14	0.16
80	0	1	1	0.016	0.11
81	1	0	0	0.14	0.16
82	0.71	0.29	0	0.14	0.16
83	1	0	0	0.14	0.16
84	0	1	1	0.016	0.11
85	1	0	0	0.14	0.16
86	0	1	1	0.016	0.11
87	1	4.3e-06	0	0.14	0.16
88	0.99	0.0069	0	0.14	0.16
89	1	1.4e-05	0	0.14	0.16
90	0.071	0.93	1	0.016	0.11
91	0	1	1	0.016	0.11
92	0.99	0.012	0	0.14	0.16
93	1	0	0	0.14	0.16
94	1	0	0	0.14	0.16
95	1	0	0	0.14	0.16
96	1	0	0	0.14	0.16
97	1	0	0	0.14	0.16
98	1	0	0	0.14	0.16
99	0.99	0.0054	0	0.14	0.16
100	1	0	0	0.14	0.16
101	1	0	0	0.14	0.16
102	0.97	0.029	0	0.14	0.16
