SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0	0.00024	0	0	0	0	4.9e-06	1	0	0	0	0	0	0	0	0	7	0.078	0
1	0	0.13	0	0	0	0	0.013	0.86	0	0	0	0	0	0	0	0	7	0.078	0
2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.14	0.018
3	0.0028	0	0	0	0.55	0.063	3.6e-06	0	0.19	0.00091	0	0	0	0	0	0.19	4	0.14	0.16
4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.14	0.018
5	0	0.27	0	0	6.8e-06	0	0.067	0.66	0	0	0	0	0	0	0	0	7	0.078	0
6	0	0	0.15	0.00086	0	0	0	0	0	0	0.34	0.45	0	0.069	0.00086	0	11	0	0.16
7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.14	0.018
8	0.019	0	0	0	0.17	0.089	0	0	0.36	0.0026	0	0	0	0	0	0.36	8	0.22	0.24
9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.14	0.018
10	0	0.81	0	0	0	0	0.16	0.031	0	0	0	0	0	0	0	0	1	0.14	0
11	0	0.98	0	0	0	0	0.018	5.3e-06	0	0	0	0	0	0	0	0	1	0.14	0
12	0	0	0.0035	0.012	0	0	0	0	0	0	0.15	0.74	2e-05	0.091	0.012	0	11	0	0.16
13	0.0096	0	0	0	0.22	0.72	0	0	0.028	1.6e-05	0	0	0	0.00036	0	0.028	5	0.14	0.24
14	0	0.95	0	0	0	0	0.052	0.0018	0	0	0	0	0	0	0	0	1	0.14	0
15	0	0	0.14	0.00089	5.6e-06	0	0	0	0	0	0.33	0.45	0	0.084	0.00089	0	11	0	0.16
16	0.0016	0	0	0	0.0051	0.26	0	0	0.37	1.7e-05	0	0	0	0	0	0.37	8	0.22	0.24
17	0	0.025	0	0	0	0	0.0023	0.97	0	0	0	0	0	0	0	0	7	0.078	0
18	0	0.0014	0	0	0	0	2.3e-05	1	0	0	0	0	0	0	0	0	7	0.078	0
19	0	0	0	0.26	0	0	0	0	0	0	0.0035	0.46	0.00061	0.02	0.26	0	11	0	0.16
