SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.55	0.039
1	0	0	0.05	0	0	0.014	0	0	0	0	0	0	0	3.5e-06	0	0.061	0.87	0	16	0.55	0.35
2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0.05	0.23
3	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.017	0	0.48	0	10	0.45	0.27
4	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0.01	0	0.67	0	16	0.55	0.35
5	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.068	0	0.48	0	16	0.55	0.35
6	0	0	0	0.82	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	3	0.15	0
7	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0.058	0	0.93	0	16	0.55	0.35
8	0	0	0.0059	4.8e-05	0.00049	0	0	0	0	0	0	0	0	0	3.2e-05	0.0072	0.19	0.8	17	0.45	0
9	0	0	0.013	0	0	0.0013	0	0	0	0	0.16	0	2.5e-06	7.4e-06	0.34	0.016	0.47	0	16	0.55	0.35
10	0	0	0.022	0	0	0.011	0	0	0	0	0.0016	0	0	9.7e-06	0.39	0.027	0.55	0	16	0.55	0.35
11	0	0	0.059	0	0.009	0.00028	0	0	0	0	0	0	0	0.0014	0.00024	0.072	0.58	0.28	16	0.55	0.35
12	0	0	0.03	0	0.00024	0	0	0	0	0	0	0	0	4.6e-06	0	0.037	0.56	0.38	16	0.55	0.35
13	0	0	0	0	0.96	0.026	0	0	0	0	0	0	0	0	0.012	0	0	0	4	0.55	0.039
14	0	0	0.00011	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0.02	0.98	17	0.45	0
15	0	0	0.02	0	0.0022	8.1e-06	0	0	0	0	0	0	0	1.9e-05	8.9e-05	0.024	0.38	0.58	17	0.45	0
16	0	0	0.015	5.1e-05	0.00083	0	0	0	0	0	0	0	0	1.6e-05	2.7e-05	0.018	0.31	0.65	17	0.45	0
17	0	0	0	0.0048	0.0087	0	0	0	0	0	0	0	0	0.012	0.0011	0	0.12	0.86	17	0.45	0
18	0	0	0	0	0.0009	0	0	0	0	0	0	0	0	3.8e-05	1.1e-05	0	0.17	0.83	17	0.45	0
19	0	0	0.0016	0	0	2.6e-06	0.011	0	0.82	0	0	0	1e-05	0	0	0.002	0.17	0	8	0	0.27
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0.98	17	0.45	0
21	0	0	0.42	0	0	0.0069	0.019	0	0	0	0	0	0.041	0	0	0.51	0	0	15	0.6	0.35
22	0	0	0	0	2.4e-05	0	0	0	0	0	0	0	0	0	0	0	0.37	0.63	17	0.45	0
23	0	0	0.17	0	0	0.029	0	0	0	0	0	0	0	0.018	0	0.21	0.57	0	16	0.55	0.35
24	0	0	0.0052	0	0	8.1e-05	0.072	0	0.76	0.00014	0	0	0.0012	1.4e-06	0	0.0064	0.15	0	8	0	0.27
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0.55	0.35
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0.55	0.35
27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2.8e-05	0	0	0	4	0.55	0.039
28	0	0	0	0	0	0	0.00037	0	1	0	0	0	0	0	0	0	0.0014	0	8	0	0.27
29	0	0	0.039	0	0	0.018	0	0	0	0	0.0021	0	0	3.1e-05	0.12	0.047	0.78	0	16	0.55	0.35
30	0	0	0	0	0	0	0.0016	0	1	0	0	0	0	0	0	0	0	0	8	0	0.27
31	0	0	0.0032	0	0	0	0	0	0	0	0.88	0	0	0	2.7e-05	0.0039	0.11	0	10	0.45	0.27
32	0	0	0	0	0	0	1	0	0	0	0	0	7.9e-05	0	0	0	0	0	6	0.05	0.23
33	0	0	0.16	0	0	0.034	0	0	0	0	0.0063	0	0	0.014	0.0047	0.19	0.59	0	16	0.55	0.35
34	0	0	0.04	0	0	6.6e-05	0	0	0	0	0.0078	0	0	0	0.0023	0.049	0.9	0	16	0.55	0.35
35	0	0	0.005	0	0	0.0014	0	0	0	0	0	0	0	0.99	0	0.0061	0.0019	0	13	0.8	0.35
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0.45	0
37	0	0	1.3e-06	0	0	0	0.23	0	0.75	0.00034	9.8e-05	0	0.013	0	1.2e-05	1.6e-06	4.5e-05	0	8	0	0.27
38	0	0	0.45	0	0	0.00033	0.003	0	0	0	0	0	0.00031	0	0	0.55	0	0	15	0.6	0.35
39	0	0	0.13	0	0	0.00076	0.72	0	0	0	0	0	0.00026	1.8e-06	0	0.15	0	0	6	0.05	0.23
40	0	0	0.16	0	0	0.0045	0	0	0	0	0	0	0	0.00011	0	0.19	0.65	0	16	0.55	0.35
41	0	0	0.45	0	0	6.8e-05	6.4e-05	0	0	0	0	0	6e-06	0	0	0.55	0	0	15	0.6	0.35
42	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	3	0.15	0
43	0	0	0.11	0	0	0.031	0	0	0	0	0	0	0	0.0011	0	0.13	0.73	0	16	0.55	0.35
44	0	0	0.083	0	0	5.9e-05	0.82	0	0	0	0	0	3.2e-06	0	0	0.1	0	0	6	0.05	0.23
45	0	0	0.15	0	0	0.0021	0.67	0	0	0	0	0	0.00018	3.2e-05	0	0.18	0	0	6	0.05	0.23
46	0	0	0.039	0	0	0.00021	0	0	0	0	0.037	0	0	0	0.001	0.047	0.88	0	16	0.55	0.35
47	0	0	0.0014	0	0	0	0	0	0	0	0.9	0	0	0	0.00045	0.0017	0.094	0	10	0.45	0.27
48	0	0	0.45	0.0037	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	15	0.6	0.35
49	0	0	0.0002	0	0	0	0	0	0	0	0.95	0	0	0	2.6e-05	0.00024	0.051	0	10	0.45	0.27
50	0	0	0.11	0	0	0.027	0	0	0	0	0.0098	0	0	0.036	0.0019	0.14	0.68	0	16	0.55	0.35
51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.55	0.039
52	0	0	0.13	0	0	4.5e-06	0	0	0	0	0	0	0	6.8e-06	0	0.16	0.72	0	16	0.55	0.35
53	0	0	0.054	0	0	0.0019	0	0	0	0	0.11	0	0	0.00014	0.003	0.066	0.76	0	16	0.55	0.35
54	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.72	17	0.45	0
55	0	0	0	2.4e-06	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0.99	17	0.45	0
56	0	0	0.024	0	0	0.00027	0	0	0	0	0	0	0	0	0	0.03	0.95	0	16	0.55	0.35
57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.55	0.039
58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.55	0.039
59	0	0	0.036	0	0	0.013	0	0	0	0	0.0007	0	0	3.7e-06	0.37	0.044	0.54	0	16	0.55	0.35
60	0	0	0.15	0	0	1.4e-05	0	0	0	0	0.0079	0	0	0	0	0.18	0.66	0	16	0.55	0.35
61	0	0	0	0	0	0	1	0	0	0	0	0	0.00042	0	0	0	0	0	6	0.05	0.23
62	0	0	0	0	0	0	0.13	0	0.83	0.038	0	0	6.3e-06	0	0	0	0	0	8	0	0.27
63	0	0	0	0	0	0	0.032	0	0.94	0.032	0	0	0	0	0	0	0	0	8	0	0.27
64	0	0	0.069	0	0	0.0021	0	0	0	0	0.03	0	0	9.3e-06	0.018	0.084	0.8	0	16	0.55	0.35
65	0	0	0.22	0	0	0.012	0	0	0	0	0.00077	0	0	0.0071	9.9e-05	0.27	0.49	0	16	0.55	0.35
66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.15	0
