SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0	0	0	1	0	0	0	3	0.55	0.039
1	0.99	0	0	0	0	0.013	0	0	0.55	0.42
2	0	0	1	0	0	0	0	2	0.05	0.27
3	0	0	0	0	1	0	0	4	0.55	0.31
4	0	0	0	0	1	0	0	4	0.55	0.31
5	0	0	0	0	1	0	0	4	0.55	0.31
6	0	1e-05	0	0	0	1	1.3e-05	5	0.65	0.35
7	0	0	0	0	1	0	0	4	0.55	0.31
8	6.9e-05	1	0	0.00045	0	0.0026	0	1	0.45	0
9	0.55	0	2.6e-05	0	0.42	0.025	0	0	0.55	0.42
10	0.94	0	0	0	0.044	0.018	0	0	0.55	0.42
11	0.01	0.77	0	0.018	0	0.2	0	1	0.45	0
12	1.9e-05	0.96	0	0.00044	0	0.038	0	1	0.45	0
13	0.32	0	0	0.68	0	0	0	3	0.55	0.039
14	0	1	0	0	0	5.3e-06	0	1	0.45	0
15	0.00074	0.98	0	0.0027	0	0.02	0	1	0.45	0
16	0.00014	0.99	0	0.00091	0	0.013	0	1	0.45	0
17	0	0.99	0	0.0073	0	0.0002	2.6e-05	1	0.45	0
18	0	1	0	0.00079	0	0	0	1	0.45	0
19	0.025	0	0.14	0	0.83	0.00047	0	4	0.55	0.31
20	0	1	0	0	0	0	0	1	0.45	0
21	0	0	0.92	0	0	0.084	0	2	0.05	0.27
22	0	1	0	2.8e-05	0	0	0	1	0.45	0
23	0.23	0	0	0	0	0.77	0	5	0.65	0.35
24	0.051	0	0.41	0	0.54	0.0048	0	4	0.55	0.31
25	0	0	0	0	1	0	0	4	0.55	0.31
26	0	0	0	0	1	0	0	4	0.55	0.31
27	0	0	0	1	0	0	0	3	0.55	0.039
28	7.6e-06	0	0.0082	0	0.99	0	0	4	0.55	0.31
29	0.9	0	0	0	0.067	0.032	0	0	0.55	0.42
30	0	0	1	0	0	0	0	2	0.05	0.27
31	0.00032	0	0	0	1	0.0027	0	4	0.55	0.31
32	0	0	1	0	0	0	0	2	0.05	0.27
33	0.2	0	0	0	0.4	0.39	0	4	0.55	0.31
34	0.049	0	0	0	0.94	0.012	0	4	0.55	0.31
35	0.00023	0	0	0	0.013	0.99	0	5	0.65	0.35
36	0	1	0	0	0	0	0	1	0.45	0
37	1.1e-05	0	1	0	3.1e-05	1.1e-06	0	2	0.05	0.27
38	0	0	0.97	0	0	0.034	0	2	0.05	0.27
39	0	0	0.98	0	0	0.018	0	2	0.05	0.27
40	0.067	0	0	0	0.61	0.32	0	4	0.55	0.31
41	0	0	0.93	0	0	0.066	0	2	0.05	0.27
42	0	0.48	0	0	0	0	0.52	6	0.1	0.039
43	0.56	0	0	0	0.31	0.13	0	0	0.55	0.42
44	0	0	1	0	0	0.0038	0	2	0.05	0.27
45	0	0	0.95	0	0	0.049	0	2	0.05	0.27
46	0.034	0	0	0	0.93	0.035	0	4	0.55	0.31
47	0.0027	0	0	0	1	0.0016	0	4	0.55	0.31
48	0	0	0	0	0	1	0.00031	5	0.65	0.35
49	0.00012	0	0	0	1	2.8e-05	0	4	0.55	0.31
50	0.14	0	0	0	0.39	0.47	0	5	0.65	0.35
51	0	0	0	1.7e-05	0	0	1	6	0.1	0.039
52	0.00092	0	0	0	0	1	0	5	0.65	0.35
53	0.068	0	0	0	0.83	0.099	0	4	0.55	0.31
54	0	0.78	0	0.22	1.9e-06	0	0	1	0.45	0
55	0	1	0	0.0039	0	0	0	1	0.45	0
56	0.98	0	0	0	0	0.019	0	0	0.55	0.42
57	0	0	0	0.057	0	0	0.94	6	0.1	0.039
58	0	0	0	1	0	0	0	3	0.55	0.039
59	0.95	0	0	0	0.035	0.013	0	0	0.55	0.42
60	6.7e-05	0	0	0	0.97	0.026	0	4	0.55	0.31
61	0	0	1	0	0	0	0	2	0.05	0.27
62	0	0	1	0	0	0	8.5e-05	2	0.05	0.27
63	0	0	1	0	0	0	0	2	0.05	0.27
64	0.21	0	0	0	0.73	0.06	0	4	0.55	0.31
65	0.032	0	0	0	0.42	0.55	0	5	0.65	0.35
66	0	2.4e-06	0	0	0	0	1	6	0.1	0.039
67	0.0092	0	0	0	0.89	0.098	0	4	0.55	0.31
68	0	0	0	1	0	0	0	3	0.55	0.039
69	0	1	0	0.00034	0	0	0.0025	1	0.45	0
70	0	0	1	0	0	0	0	2	0.05	0.27
71	0.18	0	0	0	0.71	0.12	0	4	0.55	0.31
72	0	0	1	0	0	0	0	2	0.05	0.27
73	0.0053	0	0	0	0.99	0.0097	0	4	0.55	0.31
74	0	1	0	4.9e-05	0	0	0	1	0.45	0
75	0	0	1	0	0	0	0	2	0.05	0.27
76	0.055	0	0	0	0.87	0.074	0	4	0.55	0.31
77	0.05	0	0	0	0.82	0.13	0	4	0.55	0.31
78	0	0	1	0	0	0	0	2	0.05	0.27
79	0	0	1	0	0	0	0	2	0.05	0.27
80	0.25	0	0	0	0.56	0.19	0	4	0.55	0.31
81	0.06	0	0	0	0.17	0.77	0	5	0.65	0.35
82	0	0	1	0	0	0	1.8e-05	2	0.05	0.27
83	0.96	0	0	0	0.03	0.0059	0	0	0.55	0.42
84	0.28	0	0	0	0.27	0.44	0	5	0.65	0.35
85	0	0	0	0	1	0	0	4	0.55	0.31
86	0	0	1	0	0	0	0	2	0.05	0.27
87	0	0	0	0	0	1	0.00025	5	0.65	0.35
88	0	0	1	0	0	0	0	2	0.05	0.27
89	0	0	1	0	0	0	0	2	0.05	0.27
90	0	0	0	0	1	0	0	4	0.55	0.31
91	0	0	1	0	0	0	0	2	0.05	0.27
92	0	0	0	0.87	0.13	0	0.0055	3	0.55	0.039
93	0	0.34	0	0.00062	0	0.57	0.082	5	0.65	0.35
94	0	0	0	1	0	0	0	3	0.55	0.039
95	1	0	0	0	0	0	0	0	0.55	0.42
96	1	0	0	0	0	0	0	0	0.55	0.42
97	0	0	0	0	1	0	0	4	0.55	0.31
98	0	0	0	0	0	0	1	6	0.1	0.039
99	0	0	0	0	0	0	1	6	0.1	0.039
100	0.014	0	0	0	0.97	0.018	0	4	0.55	0.31
101	0	0	1	0	0	0	0	2	0.05	0.27
102	0	0	1	0	0	0	0	2	0.05	0.27
103	0	0	1	0	0	0	0	2	0.05	0.27
104	0.028	0	0	0	0.95	0.021	0	4	0.55	0.31
105	0	0	1	0	0	0	0	2	0.05	0.27
106	0	0	0	1	0	0	0	3	0.55	0.039
107	0.0072	0	0	0	0.99	0.0076	0	4	0.55	0.31
108	0.062	0	0	0	0.85	0.089	0	4	0.55	0.31
109	0	0	1	0	0	0	0	2	0.05	0.27
110	0.74	0	0	0	0.12	0.14	0	0	0.55	0.42
111	0.0074	0	0.99	0	0.0063	0.00017	0	2	0.05	0.27
112	0	0.00018	0	0	0	0	1	6	0.1	0.039
113	0.47	0	0	0	0.37	0.16	0	0	0.55	0.42
114	0	0	0	1	0	0	0	3	0.55	0.039
115	0	0	1	0	0	0	0	2	0.05	0.27
116	0	0	1	0	0	0	0	2	0.05	0.27
117	0	9.5e-06	0	0	0	0	1	6	0.1	0.039
118	0	1	0	0.0007	0	0	0	1	0.45	0
119	0	0	1	0	0	0	0	2	0.05	0.27
120	0	0.99	0	0.0057	0	0	0	1	0.45	0
121	0	0.87	0	0.13	0	0	0	1	0.45	0
122	0	0	1	0	0	0	0	2	0.05	0.27
123	0	0	0	1	0	0	0	3	0.55	0.039
124	0	0	0	0	1	0	0	4	0.55	0.31
125	0	0.99	0	0.01	0	0	0	1	0.45	0
126	0	0	1	0	0	0	0	2	0.05	0.27
127	0	1	0	0.00088	0	0	0	1	0.45	0
128	0	0.82	0	0.18	1.1e-05	0	0	1	0.45	0
129	0.51	0	0	0	0.41	0.078	0	0	0.55	0.42
130	0	0.95	0	0.054	0	0	0	1	0.45	0
131	0	0	1	0	0	0	0	2	0.05	0.27
132	0	0	1	0	0	0	0	2	0.05	0.27
133	0	0	1	0	0	0	0	2	0.05	0.27
134	0.062	0	0	0	0.92	0.013	0	4	0.55	0.31
135	0.044	0	0	0	0.9	0.061	0	4	0.55	0.31
136	0.89	0	0	0	0.1	0.013	0	0	0.55	0.42
137	0	0	0	0	0	0	1	6	0.1	0.039
138	0.0095	0	0	0	0.88	0.11	0	4	0.55	0.31
139	0	1	0	3.3e-06	0	0	0	1	0.45	0
140	0.94	0	0	0	0.053	0.0071	0	0	0.55	0.42
141	0.76	0	0	0	0.12	0.12	0	0	0.55	0.42
142	0.14	0	0	0	0.69	0.16	0	4	0.55	0.31
143	0	0	1	0	0	0	0	2	0.05	0.27
144	0	0	1	0	0	0	0	2	0.05	0.27
145	7e-05	0	0	0	1	0.00048	0	4	0.55	0.31
146	0	0	0	1	0	0	0	3	0.55	0.039
147	0	1	0	1.4e-05	0	0	0	1	0.45	0
148	0	0.99	0	0.012	0	0	0	1	0.45	0
149	0.012	0	0	0	0.98	0.0051	0	4	0.55	0.31
150	3.9e-06	0.91	0	0.088	0.00021	7.8e-06	0.00071	1	0.45	0
151	0	0	1	0	0	0	0	2	0.05	0.27
152	0	0	0	1	4.2e-06	0	0	3	0.55	0.039
153	0.053	0	0	0	0.67	0.28	0	4	0.55	0.31
154	0	0	1	0	0	0	0	2	0.05	0.27
155	0	0	1	0	0	0	0	2	0.05	0.27
156	0.022	0	0	0	0.19	0.79	0	5	0.65	0.35
