k	loglikelihood	observations	parameters	BIC
1	-6516.83	2278	4	13064.6
2	-3522.42	2278	6	7091.22
3	-1939.09	2278	8	3940.02
4	-1785.09	2278	10	3647.49
5	-1676	2278	12	3444.78
6	-1484.77	2278	14	3077.78
7	-1514.55	2278	16	3152.79
8	-1405.05	2278	18	2949.27
9	-1474.88	2278	20	3104.39
10	-1478.32	2278	22	3126.73
11	-1433.82	2278	24	3053.18
12	-1429.4	2278	26	3059.82
13	-1351.93	2278	28	2920.32
14	-1353.83	2278	30	2939.59
15	-1360.02	2278	32	2967.44
16	-1389.64	2278	34	3042.13
17	-1338.69	2278	36	2955.71
18	-1380	2278	38	3053.79
19	-1328.86	2278	40	2966.96
20	-1341.41	2278	42	3007.52
