SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0	1	0	0	0	0	1	0.55	0.039
1	1	0	0	0	0	0	0	0.55	0.35
2	0	0	0	1	0	0	3	0.05	0.27
3	1	0	0	0	0	0	0	0.55	0.35
4	1	0	0	0	0	0	0	0.55	0.35
5	1	0	0	0	0	0	0	0.55	0.35
6	0	0	1	0	0	0.0021	2	0.4	0
7	1	0	0	0	0	0	0	0.55	0.35
8	0.22	0.00033	0.78	0	0	0	2	0.4	0
9	1	0	0	5.8e-06	0	0	0	0.55	0.35
10	1	0	0	0	0	0	0	0.55	0.35
11	0.86	0.0078	0.13	0	0	0	0	0.55	0.35
12	0.88	0.00022	0.12	0	0	0	0	0.55	0.35
13	0	1	0	0	0	0	1	0.55	0.039
14	0.013	0	0.99	0	0	0	2	0.4	0
15	0.57	0.0019	0.43	0	0	0	0	0.55	0.35
16	0.42	0.00065	0.58	0	0	0	2	0.4	0
17	0.16	0.007	0.83	0	0	2.9e-05	2	0.4	0
18	0.37	0.0011	0.63	0	0	0	2	0.4	0
19	0.43	0	0	0.049	0.52	0	4	0	0.23
20	0.079	0	0.92	0	0	0	2	0.4	0
21	0	0	0	1	0	0	3	0.05	0.27
22	0.87	3.3e-05	0.13	0	0	0	0	0.55	0.35
23	1	0	0	0	0	0	0	0.55	0.35
24	0.25	0	0	0.11	0.64	0	4	0	0.23
25	1	0	0	0	0	0	0	0.55	0.35
26	1	0	0	0	0	0	0	0.55	0.35
27	0	1	0	0	0	0	1	0.55	0.039
28	0.0011	0	0	8.9e-05	1	0	4	0	0.23
29	1	0	0	0	0	0	0	0.55	0.35
30	0	0	0	0.0054	0.99	0	4	0	0.23
31	1	0	0	0	0	0	0	0.55	0.35
32	0	0	0	1	0	0	3	0.05	0.27
33	1	0	0	0	0	0	0	0.55	0.35
34	1	0	0	0	0	0	0	0.55	0.35
35	1	0	0	0	0	0	0	0.55	0.35
36	0	0	1	0	0	0	2	0.4	0
37	7.9e-05	0	0	0.48	0.52	0	4	0	0.23
38	0	0	0	1	0	0	3	0.05	0.27
39	0	0	0	1	0	0	3	0.05	0.27
40	1	0	0	0	0	0	0	0.55	0.35
41	0	0	0	1	0	0	3	0.05	0.27
42	0	0	0.79	0	0	0.21	2	0.4	0
43	1	0	0	0	0	0	0	0.55	0.35
44	0	0	0	1	0	0	3	0.05	0.27
45	0	0	0	1	0	0	3	0.05	0.27
46	1	0	0	0	0	0	0	0.55	0.35
47	1	0	0	0	0	0	0	0.55	0.35
48	0	0	0	0	0	1	5	0.1	0.039
49	1	0	0	0	0	0	0	0.55	0.35
50	1	0	0	0	0	0	0	0.55	0.35
51	0	1.5e-05	0	0	0	1	5	0.1	0.039
52	1	0	0	0	0	0	0	0.55	0.35
53	1	0	0	0	0	0	0	0.55	0.35
54	2.2e-06	0.61	0.39	0	0	0	1	0.55	0.039
55	0	0.0065	0.99	0	0	0	2	0.4	0
56	1	0	0	0	0	0	0	0.55	0.35
57	0	0.05	0	0	0	0.95	5	0.1	0.039
58	0	1	0	0	0	0	1	0.55	0.039
59	1	0	0	0	0	0	0	0.55	0.35
60	1	0	0	0	0	0	0	0.55	0.35
61	0	0	0	1	0	0	3	0.05	0.27
62	0	0	0	0.061	0.94	1.1e-05	4	0	0.23
63	0	0	0	7.6e-05	1	0	4	0	0.23
64	1	0	0	0	0	0	0	0.55	0.35
65	1	0	0	0	0	0	0	0.55	0.35
66	0	0	4.4e-05	0	0	1	5	0.1	0.039
67	1	0	0	0	0	0	0	0.55	0.35
68	0	1	0	0	0	0	1	0.55	0.039
69	0	0.00011	1	0	0	0.0009	2	0.4	0
70	0	0	0	0.0016	1	0	4	0	0.23
71	1	0	0	0	0	0	0	0.55	0.35
72	0	0	0	4.3e-05	1	0	4	0	0.23
73	1	0	0	0	0	0	0	0.55	0.35
74	0	0.00071	1	0	0	0	2	0.4	0
75	0	0	0	0.00073	1	0	4	0	0.23
76	1	0	0	0	0	0	0	0.55	0.35
77	1	0	0	0	0	0	0	0.55	0.35
78	0	0	0	0.025	0.98	0	4	0	0.23
79	0	0	0	1	0	0	3	0.05	0.27
80	1	0	0	0	0	0	0	0.55	0.35
81	1	0	0	0	0	0	0	0.55	0.35
82	0	0	0	1	0	3.7e-05	3	0.05	0.27
83	1	0	0	0	0	0	0	0.55	0.35
84	1	0	0	0	0	0	0	0.55	0.35
85	1	0	0	0	0	0	0	0.55	0.35
86	0	0	0	0.054	0.95	0	4	0	0.23
87	0	0	0	0	0	1	5	0.1	0.039
88	0	0	0	0.45	0.55	0	4	0	0.23
89	0	0	0	0	1	0	4	0	0.23
90	1	0	0	0	0	0	0	0.55	0.35
91	0	0	0	1	0	0	3	0.05	0.27
92	0.024	0.97	0	0	0	0.0072	1	0.55	0.039
93	0	0.00069	0.89	0	0	0.11	2	0.4	0
94	0	1	0	0	0	0	1	0.55	0.039
95	0	0	0	0	0	1	5	0.1	0.039
96	0	0	0	4e-06	1	0.0046	4	0	0.23
97	1	0	0	0	0	0	0	0.55	0.35
98	0	0	0	0	0	1	5	0.1	0.039
99	0	0	0	0	0	1	5	0.1	0.039
100	1	0	0	0	0	0	0	0.55	0.35
101	0	0	0	0.22	0.78	0	4	0	0.23
102	0	0	0	1	0	0	3	0.05	0.27
103	0	0	0	1	0	0	3	0.05	0.27
104	1	0	0	0	0	0	0	0.55	0.35
105	0	0	0	1	0	0	3	0.05	0.27
106	0	1	0	0	0	0	1	0.55	0.039
107	1	0	0	0	0	0	0	0.55	0.35
108	1	0	0	0	0	0	0	0.55	0.35
109	0	0	0	0.87	0.13	0	3	0.05	0.27
110	1	0	0	0	0	0	0	0.55	0.35
