SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0.55	0.039
1	0.38	0	0	0	0.38	0	0	0	0.091	0	0	0.16	0	0	0.55	0.35
2	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0.05	0.27
3	0.26	0	0	0	0.26	0	0	0	0	0	0.48	0	0	10	0.45	0.27
4	0.35	0	0	0	0.35	0	0	0	0	0	0.3	0	0	0	0.55	0.35
5	0.27	0	0	0	0.27	0	0	0	0	0	0.46	0	0	10	0.45	0.27
6	0	6.2e-06	0	0	0	0	1	0	0	0	0	0	0	6	0.15	0
7	0.49	0	0	0	0.49	0	0	0	0	0	0.015	0	0	0	0.55	0.35
8	0.11	0	0.00045	0.016	0.11	0	5.5e-05	0	0.015	0	0	0	0.75	12	0.45	0
9	0.37	0	0	0	0.37	0	0	0	0.043	5.4e-06	0.22	0.0037	0	0	0.55	0.35
10	0.45	0	0	0	0.45	0	0	0	0.075	0	0.0023	0.02	0	0	0.55	0.35
11	0.3	0	0.0071	0.043	0.3	0	0	0	0.13	0	0	0	0.23	0	0.55	0.35
12	0.29	0	0.00019	0.042	0.29	0	0	0	0.067	0	0	0	0.31	12	0.45	0
13	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0.55	0.039
14	0.013	0	0	0.0018	0.013	0	0	0	0.0003	0	0	0	0.97	12	0.45	0
15	0.21	0	0.0018	0.031	0.21	0	0	0	0.047	0	0	0	0.5	12	0.45	0
16	0.18	0	0.00072	0.026	0.18	0	5.5e-05	0	0.036	0	0	0	0.58	12	0.45	0
17	0.07	0.00035	0.008	0.04	0.07	0	0.0055	0	0	0	0	0	0.81	12	0.45	0
18	0.098	0	0.00079	0.057	0.098	0	0	0	0	0	0	0	0.75	12	0.45	0
19	0.09	0	0	0	0.09	0.79	0	0	0.0037	0.026	0	0.0018	0	5	0	0.27
20	0.012	0	0	0.0067	0.012	0	0	0	0	0	0	0	0.97	12	0.45	0
21	0	0	0	0	0	0	0	0	0.76	0.24	0	0	0	8	0.6	0.35
22	0.19	0	1.9e-05	0.11	0.19	0	0	0	0	0	0	0	0.5	12	0.45	0
23	0.31	0	0	0	0.31	0	0	0	0.39	0	0	0.00079	0	8	0.6	0.35
24	0.079	0	0	0	0.079	0.73	0	0.00013	0.012	0.087	0	0.0097	0	5	0	0.27
25	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.55	0.35
26	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.55	0.35
27	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0.55	0.039
28	0.00076	0	0	0	0.00076	0.97	0	0	0	0.00016	0	0.029	0	5	0	0.27
29	0.44	0	0	0	0.44	0	0	0	0.093	0	0.0021	0.016	0	0	0.55	0.35
30	0	0	0	0	0	1	0	0	0	0.0027	0	0	0	5	0	0.27
31	0.062	0	0	0	0.062	0	0	0	0.0074	0	0.87	0	0	10	0.45	0.27
32	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0.05	0.27
33	0.32	0	0	0	0.32	0	0	0	0.36	0	0.006	0.00033	0	8	0.6	0.35
34	0.45	0	0	0	0.45	0	0	0	0.085	0	0.007	0	0	0	0.55	0.35
35	0.075	0	0	0	0.075	0	0	0	0.85	0	4.2e-06	0	0	8	0.6	0.35
36	0	0	0	2.6e-05	0	0	0	0	0	0	0	0	1	12	0.45	0
37	2.2e-05	0	0	0	2.2e-05	0.67	0	0.0003	2.6e-06	0.33	8.5e-05	0	0	5	0	0.27
38	0	0	0	0	0	0	0	0	0.91	0.091	0	0	0	8	0.6	0.35
39	0	0	0	0	0	0	0	0	0.23	0.77	0	0	0	9	0.05	0.27
40	0.33	0	0	0	0.33	0	0	0	0.34	0	0	0	0	8	0.6	0.35
41	0	0	0	0	0	0	0	0	0.98	0.018	0	0	0	8	0.6	0.35
42	0	0.012	0	5e-06	0	0	0.98	0	0	0	0	0	0.0047	6	0.15	0
43	0.38	0	0	0	0.38	0	0	0	0.23	0	0	0.011	0	0	0.55	0.35
44	0	0	0	0	0	0	0	0	0.14	0.86	0	0	0	9	0.05	0.27
45	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	9	0.05	0.27
46	0.44	0	0	0	0.44	0	0	0	0.083	0	0.033	0	0	0	0.55	0.35
47	0.052	0	0	0	0.052	0	0	0	0.0033	0	0.89	0	0	10	0.45	0.27
48	0	0	0	0	0	0	0.0037	0	1	0	0	0	0	8	0.6	0.35
49	0.029	0	0	0	0.029	0	0	0	0.00047	0	0.94	0	0	10	0.45	0.27
50	0.37	0	0	0	0.37	0	0	0	0.26	0	0.0095	0.00029	0	0	0.55	0.35
