SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	9	0.55	0.039
1	0.44	0	0	0	0.027	0.033	2e-06	0.49	0	0	0	0	0	0	0.0032	0	0	0	0	7	0.55	0.35
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.05	0.23
3	0	0	0	0.52	0	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0	3	0.45	0.27
4	0	0	0	0.33	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	7	0.55	0.35
5	0	0	0	0.49	0	0	0	0.51	0	0	0	0	0	0	0	0	0	0	0	7	0.55	0.35
6	0	0.83	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	4.5e-06	0	0	1	0.15	0
7	0	0	0	0.016	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	7	0.55	0.35
8	6.7e-05	0.00012	0	0	0.013	0.016	0	0.45	0	0.00048	0	0	0	0	0	0.00048	0	0	0.52	18	0.49	0
9	0.091	0	0	0.22	0.017	0.021	1e-05	0.65	0	0	0	0	0	2.8e-06	0.00072	0	0	0	0	7	0.55	0.35
10	0.35	0	0	0.0017	0.023	0.028	1.1e-05	0.6	0	0	0	0	0	0	0.0047	0	0	0	0	7	0.55	0.35
11	0.0021	0	0	0	0.064	0.078	0.0015	0.65	0	0.0042	0	0	0	0	0.00013	0.0042	0	0	0.2	7	0.55	0.35
12	4.3e-06	0	0	0	0.034	0.041	5.4e-06	0.64	0	0.00011	0	0	0	0	0	0.00011	0	0	0.28	7	0.55	0.35
13	0.17	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0.011	0.41	0	0	0	9	0.55	0.039
14	0	0	0	0	0.00075	0.0009	0	0.14	0	1.8e-06	0	0	0	0	0	1.8e-06	0	0	0.86	18	0.49	0
15	0.00033	0	0	0	0.029	0.035	2.9e-05	0.57	0	0.0014	0	0	0	0	4.9e-06	0.0014	0	0	0.36	7	0.55	0.35
16	8.4e-05	9.2e-05	0	0	0.025	0.031	2.7e-05	0.54	0	0.0006	0	0	0	0	0	0.0006	0	0	0.4	7	0.55	0.35
17	0	0.011	0	3.4e-06	0	0	0.026	0.25	0	0.0079	0	0	0	0	0	0.0079	0.00063	0	0.69	18	0.49	0
18	0	0	0	0	0	0	6.6e-05	0.29	0	0.00064	0	0	0	0	0	0.00064	0	0	0.71	18	0.49	0
19	0.005	0	0.013	0	0.002	0.0024	0	0.22	0	0	0.0048	0.2	0	1.1e-05	1.3e-06	0	0	0.56	0	17	0	0.27
20	0	0	0	0	0	0	0	0.056	0	0	0	0	0	0	0	0	0	0	0.94	18	0.49	0
21	0	0	0.019	0	0.43	0.52	0	0	0	0	0	0	0	0.035	0.0029	0	0	0	0	5	0.6	0.35
22	0	0	0	0	0	0	0	0.38	0	1e-05	0	0	0	0	0	1e-05	0	0	0.62	18	0.49	0
23	0.054	0	0	0	0.16	0.2	0.018	0.56	0	0	0	0	0	0	0.011	0	0	0	0	7	0.55	0.35
24	0.0098	0	0.073	0	0.0054	0.0065	1.5e-06	0.16	0	0	0.0093	0.3	0	0.0011	3.5e-05	0	0	0.43	0	17	0	0.27
25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.55	0.35
26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.55	0.35
27	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	9	0.55	0.039
28	0	0	0.00022	0	0	0	0	0.00093	0	0	0	0.65	0	0	0	0	0	0.35	0	11	0	0.23
29	0.29	0	0	0.0017	0.03	0.037	2.5e-05	0.63	0	0	0	0	0	0	0.006	0	0	0	0	7	0.55	0.35
30	0	0	0.0019	0	0	0	0	0	0	0	3.4e-05	0.34	0	0	0	0	0	0.66	0	17	0	0.27
31	5.6e-05	0	0	0.88	0.003	0.0037	0	0.11	0	0	0	0	0	0	0	0	0	0	0	3	0.45	0.27
32	0	0	1	0	0	0	0	0	0	0	0	0	0	6.8e-05	0	0	0	0	0	2	0.05	0.23
33	0.079	0	0	0.006	0.15	0.18	0.014	0.56	0	0	0	0	0	0	0.013	0	0	0	0	7	0.55	0.35
34	0.012	0	0	0.0078	0.038	0.046	0	0.9	0	0	0	0	0	0	2.7e-05	0	0	0	0	7	0.55	0.35
35	1.4e-05	0	0	0	0.0048	0.0058	0.99	0.0018	0	0	0	0	0	0	0.00057	0	0	0	0	6	0.8	0.35
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0.49	0
37	3.8e-06	0	0.24	0.00011	1.4e-06	1.7e-06	0	5e-05	0	0	0.053	0.24	0	0.012	0	0	0	0.45	0	17	0	0.27
38	0	0	0.003	0	0.45	0.55	0	0	0	0	0	0	0	0.00026	0.00014	0	0	0	0	5	0.6	0.35
39	0	0	0.72	0	0.13	0.15	1.9e-06	0	0	0	0	0	0	0.00022	0.00032	0	0	0	0	2	0.05	0.23
40	0.02	0	0	0	0.15	0.18	0.00011	0.64	0	0	0	0	0	0	0.0018	0	0	0	0	7	0.55	0.35
41	0	0	6.3e-05	0	0.45	0.55	0	0	0	0	0	0	0	5.1e-06	2.9e-05	0	0	0	0	5	0.6	0.35
42	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.00052	1	0.15	0
43	0.21	0	0	0	0.083	0.1	0.0009	0.6	0	0	0	0	0	0	0.01	0	0	0	0	7	0.55	0.35
44	0	0	0.81	0	0.084	0.1	0	0	0	0	0	0	0	2.7e-06	2.5e-05	0	0	0	0	2	0.05	0.23
45	0	0	0.66	0	0.15	0.18	3.4e-05	0	0	0	0	0	0	0.00015	0.00088	0	0	0	0	2	0.05	0.23
46	0.0076	0	0	0.037	0.037	0.045	0	0.87	0	0	0	0	0	0	8.6e-05	0	0	0	0	7	0.55	0.35
47	0.00019	0	0	0.9	0.0013	0.0016	0	0.093	0	0	0	0	0	0	0	0	0	0	0	3	0.45	0.27
48	0	0.004	0	0	0.45	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.6	0.35
49	8.6e-06	0	0	0.95	0.00019	0.00023	0	0.051	0	0	0	0	0	0	0	0	0	0	0	3	0.45	0.27
50	0.042	0	0	0.0097	0.11	0.13	0.035	0.67	0	0	0	0	0	0	0.011	0	0	0	0	7	0.55	0.35
51	0	0	0	0	0	0	0	0	0	2.2e-06	0	0	0	0	0	2.2e-06	1	0	0	16	0.15	0.039
52	4.4e-05	0	0	0	0.12	0.15	6.9e-06	0.72	0	0	0	0	0	0	1.8e-06	0	0	0	0	7	0.55	0.35
53	0.018	0	0	0.11	0.052	0.063	0.00013	0.75	0	0	0	0	0	0	0.00075	0	0	0	0	7	0.55	0.35
54	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.11	0	0	0.78	18	0.49	0
55	0	5.9e-06	0	0	0	0	0	0	0	0.0051	0	0	0	0	0	0.0051	0	0	0.99	18	0.49	0
56	0.085	0	0	0	0.022	0.026	0	0.87	0	0	0	0	0	0	0.0001	0	0	0	0	7	0.55	0.35
57	0	0	0	0	0	0	0	0	0	0.00015	0	0	0	0	0	0.00015	1	0	0	16	0.15	0.039
58	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	9	0.55	0.039
59	0.49	0	0	0.00058	0.029	0.035	3e-06	0.44	0	0	0	0	0	0	0.0045	0	0	0	0	0	0.55	0.42
60	0.00012	0	0	0.008	0.15	0.18	0	0.67	0	0	0	0	0	0	5.6e-06	0	0	0	0	7	0.55	0.35
61	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	2	0.05	0.23
62	0	0	0.1	0	0	0	0	0	0	0	0.0019	0.53	0	4.2e-06	0	0	0	0.37	0	11	0	0.23
63	0	0	0.0029	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0.048	0	11	0	0.23
64	0.059	0	0	0.029	0.064	0.077	9e-06	0.77	0	0	0	0	0	0	0.00081	0	0	0	0	7	0.55	0.35
65	0.015	0	0	0.00078	0.22	0.26	0.0072	0.5	0	0	0	0	0	0	0.005	0	0	0	0	7	0.55	0.35
66	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	1	0.15	0
67	0.0071	0	0	0.23	0.1	0.13	0.0019	0.53	0	0	0	0	0	0	0.00062	0	0	0	0	7	0.55	0.35
68	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	9	0.55	0.039
69	0	0.87	0	0	0	0	0	0	0	9.3e-05	0	0	0	0	0	9.3e-05	0.014	0	0.12	1	0.15	0
70	0	0	4.8e-05	0	0	0	0	0	0	0	0.0027	0.11	0	0	0	0	0	0.88	0	17	0	0.27
71	0.063	0	0	0.048	0.088	0.11	0.00026	0.69	0	0	0	0	0	0	0.0024	0	0	0	0	7	0.55	0.35
72	0	0	0.00053	0	0	0	0	0	0	0	0	0.87	0	0	0	0	0	0.13	0	11	0	0.23
73	0.0019	0	0	0.72	0.016	0.019	1.4e-06	0.24	0	0	0	0	0	0	1.7e-05	0	0	0	0	3	0.45	0.27
74	0	0	0	0	0	0	0	0	0	1.1e-05	0	0	0	0	0	1.1e-05	0	0	1	18	0.49	0
75	0	0	3.2e-06	0	0	0	0	0	0	0	0.00046	0.045	0	0	0	0	0	0.95	0	17	0	0.27
76	0.025	0	0	0.26	0.069	0.083	0.00038	0.56	0	0	0	0	0	0	0.00092	0	0	0	0	7	0.55	0.35
77	0.026	0	0	0.16	0.099	0.12	0.0022	0.59	0	0	0	0	0	0	0.0018	0	0	0	0	7	0.55	0.35
78	0	0	0.03	0	0	0	0	0	0	0	0.00018	0.51	0	0	0	0	0	0.46	0	11	0	0.23
79	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.05	0.23
80	0.09	0	0	0.024	0.11	0.13	0.0013	0.65	0	0	0	0	0	0	0.0058	0	0	0	0	7	0.55	0.35
81	0.035	0	0	0.00015	0.24	0.29	0.051	0.36	0	0	0	0	0	0	0.027	0	0	0	0	7	0.55	0.35
82	0	0	1	0	0	0	0	0	0	0	0	0	0	5.1e-05	0	0	2.1e-06	0	0	2	0.05	0.23
83	0.46	0	0	0.00024	0.022	0.027	0	0.48	0	0	0	0	0	0	0.0017	0	0	0	0	7	0.55	0.35
84	0.074	0	0	0.0001	0.16	0.2	0.00031	0.56	0	0	0	0	0	0	0.0095	0	0	0	0	7	0.55	0.35
85	0	0	0	1	0	0	0	0.00084	0	0	0	0	0	0	0	0	0	0	0	3	0.45	0.27
86	0	0	0.00066	0	0	0	0	0	0	0	0.018	0.072	0	0	0	0	0	0.91	0	17	0	0.27
87	0	0.0037	0	0	0.45	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.6	0.35
88	0	0	0.18	4.4e-06	0	0	0	0	0	0	0.024	0.24	0	0.00064	0	0	0	0.55	0	17	0	0.27
89	0	0	7.4e-06	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0.049	0	11	0	0.23
90	0	0	0	0.41	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	7	0.55	0.35
91	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.05	0.23
92	0	0	0	0.83	0	0	0	0.0024	0	0.068	0	0	0	0	0.00038	0.068	0.03	0	0	3	0.45	0.27
93	0	0.81	0	0	0.0045	0.0054	0.11	0	0	0.00012	0	0	0	0	0.00025	0.00012	0.05	0	0.021	1	0.15	0
94	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	9	0.55	0.039
95	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0.42
96	1	0	0	0	0	0	0	0	0	0	0	5.6e-06	0	0	0	0	0	0	0	0	0.55	0.42
97	0	0	0	0.019	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	7	0.55	0.35
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0.58	0	0	16	0.15	0.039
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0.15	0.039
100	0.0069	0	0	0.36	0.038	0.046	3.7e-06	0.54	0	0	0	0	0	0	7e-05	0	0	0	0	7	0.55	0.35
101	0	0	0.075	0	0	0	0	0	0	0	0.058	0.28	0	0.00076	0	0	0	0.59	0	17	0	0.27
102	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.05	0.23
103	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.05	0.23
104	0.0068	0	0	0.095	0.029	0.035	0	0.84	0	0	0	0	0	0	5.5e-05	0	0	0	0	7	0.55	0.35
105	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0.26	0	0	0	0	0	2	0.05	0.23
106	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	9	0.55	0.039
107	0.00058	0	0	0.88	0.003	0.0036	0	0.11	0	0	0	0	0	0	3.9e-06	0	0	0	0	3	0.45	0.27
108	0.0089	0	0	0.002	0.051	0.062	0	0.88	0	0	0	0	0	0	0.00016	0	0	0	0	7	0.55	0.35
109	0	0	3.7e-06	0	0	0	0	0	0	0	0.46	1.6e-05	0	0.54	0	0	0	0.00097	0	13	0.05	0.52
110	0.2	0	0	0.0014	0.057	0.07	0.00095	0.66	0	0	0	0	0	0	0.015	0	0	0	0	7	0.55	0.35
111	0.01	0	0.38	0.082	0.0013	0.0016	0	0.071	0	0	0	0	0	0.45	4.1e-05	0	0	0	0	13	0.05	0.52
112	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	1	0.15	0
113	0.13	0	0	0.0022	0.096	0.12	0.00011	0.65	0	0	0	0	0	0	0.0054	0	0	0	0	7	0.55	0.35
