SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	0	0	0	1	0	0	0	4	0.45	0.039
1	1	0	0	0	0	0	0	0	0	0.55	0.35
2	0	0.97	0	0	0	0.028	0	0	1	0.05	0.23
3	1	0	0	0	0	0	0	0	0	0.55	0.35
4	1	0	0	0	0	0	0	0	0	0.55	0.35
5	1	0	0	0	0	0	0	0	0	0.55	0.35
6	0	0	0	0	0	0	0	1	7	0.15	0
7	1	0	0	0	0	0	0	0	0	0.55	0.35
8	0.6	0	0	0.39	0.011	0	0	0.00013	0	0.55	0.35
9	1	0	0	0	0	2.2e-05	0	0	0	0.55	0.35
10	1	0	0	0	0	0	0	0	0	0.55	0.35
11	0.85	0	0	0.14	0.01	0	0	0	0	0.55	0.35
12	0.81	0	0	0.19	0.00038	0	0	0	0	0.55	0.35
13	0	0	0	0	1	0	0	0	4	0.45	0.039
14	0.23	0	0	0.77	0.00056	0	0	0	3	0.49	0
15	0.74	0	0	0.25	0.01	0	0	0	0	0.55	0.35
16	0.71	0	0	0.29	0.0063	0	0	9.5e-05	0	0.55	0.35
17	0.36	0	0	0.53	0.11	0	0	0.012	3	0.49	0
18	0.43	0	0	0.56	0.0059	0	0	0	3	0.49	0
19	0.45	0.013	0.52	0	0	0.018	0	0	2	0	0.23
20	0.098	0	0	0.9	0	0	0	0	3	0.49	0
21	0	0.005	0	0	0	1	0	0	5	0.05	0.35
22	0.53	0	0	0.47	3.1e-05	0	0	0	0	0.55	0.35
23	1	0	0	0	0	0	0	0	0	0.55	0.35
24	0.27	0.058	0.63	0	0	0.038	0	0	2	0	0.23
25	1	0	0	0	0	0	0	0	0	0.55	0.35
26	1	0	0	0	0	0	0	0	0	0.55	0.35
27	0	0	0	0	1	0	0	0	4	0.45	0.039
28	0.0011	0.00013	1	0	0	0	0	0	2	0	0.23
29	1	0	0	0	0	0	0	0	0	0.55	0.35
30	0	0.0021	1	0	0	0.00017	0	0	2	0	0.23
31	1	0	0	0	0	0	0	0	0	0.55	0.35
32	0	0.0074	0	0	0	0.99	0	0	5	0.05	0.35
33	1	0	0	0	0	0	0	0	0	0.55	0.35
34	1	0	0	0	0	0	0	0	0	0.55	0.35
35	1	0	0	0	0	0	0	0	0	0.55	0.35
36	0	0	0	1	2.7e-05	0	0	0	3	0.49	0
37	8.5e-05	0.2	0.52	0	0	0.27	2.2e-06	0	2	0	0.23
38	0	0.003	0	0	0	1	0	0	5	0.05	0.35
39	0	0.72	0	0	0	0.28	0	0	1	0.05	0.23
40	1	0	0	0	0	0	0	0	0	0.55	0.35
41	0	6.4e-05	0	0	0	1	0	0	5	0.05	0.35
42	0	0	0	0.00036	5.2e-05	0	6.7e-05	1	7	0.15	0
43	1	0	0	0	0	0	0	0	0	0.55	0.35
44	0	0.82	0	0	0	0.18	0	0	1	0.05	0.23
45	0	0.67	0	0	0	0.33	0	0	1	0.05	0.23
46	1	0	0	0	0	0	0	0	0	0.55	0.35
47	1	0	0	0	0	0	0	0	0	0.55	0.35
48	0	0	0	0	0	0	0.03	0.97	7	0.15	0
49	1	0	0	0	0	0	0	0	0	0.55	0.35
50	1	0	0	0	0	0	0	0	0	0.55	0.35
51	0	0	0	0	0.9	0	0.098	0	4	0.45	0.039
52	1	0	0	0	0	0	0	0	0	0.55	0.35
53	1	0	0	0	0	0	0	0	0	0.55	0.35
54	0	0	0	0.89	0.11	0	0	0	3	0.49	0
55	0	0	0	0.95	0.047	0	0	8.1e-06	3	0.49	0
56	1	0	0	0	0	0	0	0	0	0.55	0.35
57	0	0	0	0	1	0	0	0	4	0.45	0.039
58	0	0	0	0	1	0	0	0	4	0.45	0.039
59	1	0	0	0	0	0	0	0	0	0.55	0.35
60	1	0	0	0	0	0	0	0	0	0.55	0.35
61	0	0.31	0	0	0	0.69	0	0	5	0.05	0.35
62	0	0.068	0.93	0	0	0.0046	6.6e-05	0	2	0	0.23
63	0	0.0012	1	0	0	0	0	0	2	0	0.23
64	1	0	0	0	0	0	0	0	0	0.55	0.35
65	1	0	0	0	0	0	0	0	0	0.55	0.35
66	0	0	0	0	0	0	0.039	0.96	7	0.15	0
67	1	0	0	0	0	0	0	0	0	0.55	0.35
68	0	0	0	0	1	0	0	0	4	0.45	0.039
69	0	0	0	0.088	0.0071	0	0	0.91	7	0.15	0
70	0	0.00016	1	0	0	0.00043	0	0	2	0	0.23
71	1	0	0	0	0	0	0	0	0	0.55	0.35
72	0	0.00023	1	0	0	0	0	0	2	0	0.23
73	1	0	0	0	0	0	0	0	0	0.55	0.35
74	0	0	0	1	9.4e-06	0	0	0	3	0.49	0
75	0	2.7e-05	1	0	0	0.00017	0	0	2	0	0.23
76	1	0	0	0	0	0	0	0	0	0.55	0.35
77	1	0	0	0	0	0	0	0	0	0.55	0.35
78	0	0.022	0.98	0	0	0.00084	0	0	2	0	0.23
