SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	1	0	0	0.55	0.35
1	1	0	0	0.55	0.35
2	0	1	1	0.05	0.19
3	1	0	0	0.55	0.35
4	1	0	0	0.55	0.35
5	1	0	0	0.55	0.35
6	0	1	1	0.05	0.19
7	1	0	0	0.55	0.35
8	1	0	0	0.55	0.35
9	1	0	0	0.55	0.35
10	1	0	0	0.55	0.35
11	1	0	0	0.55	0.35
12	1	0	0	0.55	0.35
13	1	0	0	0.55	0.35
14	1	0	0	0.55	0.35
15	1	0	0	0.55	0.35
16	1	0	0	0.55	0.35
17	1	0	0	0.55	0.35
18	1	0	0	0.55	0.35
19	0.99	0.011	0	0.55	0.35
20	1	0	0	0.55	0.35
21	0	1	1	0.05	0.19
22	1	0	0	0.55	0.35
23	1	0	0	0.55	0.35
24	0.76	0.24	0	0.55	0.35
25	1	0	0	0.55	0.35
26	1	0	0	0.55	0.35
27	1	0	0	0.55	0.35
28	0.89	0.11	0	0.55	0.35
29	1	0	0	0.55	0.35
30	0	1	1	0.05	0.19
31	1	0	0	0.55	0.35
32	0	1	1	0.05	0.19
33	1	0	0	0.55	0.35
34	1	0	0	0.55	0.35
35	1	0	0	0.55	0.35
36	1	0	0	0.55	0.35
37	0.00033	1	1	0.05	0.19
38	0	1	1	0.05	0.19
39	0	1	1	0.05	0.19
40	1	0	0	0.55	0.35
41	0	1	1	0.05	0.19
42	0	1	1	0.05	0.19
43	1	0	0	0.55	0.35
44	0	1	1	0.05	0.19
45	0	1	1	0.05	0.19
46	1	0	0	0.55	0.35
47	1	0	0	0.55	0.35
48	0	1	1	0.05	0.19
49	1	0	0	0.55	0.35
50	1	0	0	0.55	0.35
51	0	1	1	0.05	0.19
52	1	0	0	0.55	0.35
53	1	0	0	0.55	0.35
54	1	0	0	0.55	0.35
55	1	0	0	0.55	0.35
56	1	0	0	0.55	0.35
57	0	1	1	0.05	0.19
58	1	0	0	0.55	0.35
59	1	0	0	0.55	0.35
60	1	0	0	0.55	0.35
61	0	1	1	0.05	0.19
62	0	1	1	0.05	0.19
63	0	1	1	0.05	0.19
64	1	0	0	0.55	0.35
65	1	0	0	0.55	0.35
66	0	1	1	0.05	0.19
67	1	0	0	0.55	0.35
68	1	0	0	0.55	0.35
69	1.5e-05	1	1	0.05	0.19
70	0	1	1	0.05	0.19
71	1	0	0	0.55	0.35
72	0	1	1	0.05	0.19
73	1	0	0	0.55	0.35
74	1	0	0	0.55	0.35
75	0	1	1	0.05	0.19
76	1	0	0	0.55	0.35
77	1	0	0	0.55	0.35
78	0	1	1	0.05	0.19
79	0	1	1	0.05	0.19
80	1	0	0	0.55	0.35
81	1	0	0	0.55	0.35
82	0	1	1	0.05	0.19
83	1	0	0	0.55	0.35
84	1	0	0	0.55	0.35
85	1	0	0	0.55	0.35
86	0	1	1	0.05	0.19
87	0	1	1	0.05	0.19
88	4.4e-06	1	1	0.05	0.19
89	0	1	1	0.05	0.19
90	1	0	0	0.55	0.35
91	0	1	1	0.05	0.19
92	1	0.00089	0	0.55	0.35
93	9e-06	1	1	0.05	0.19
94	1	0	0	0.55	0.35
95	0	1	1	0.05	0.19
96	0	1	1	0.05	0.19
97	1	0	0	0.55	0.35
98	0	1	1	0.05	0.19
99	0	1	1	0.05	0.19
100	1	0	0	0.55	0.35
101	0	1	1	0.05	0.19
102	0	1	1	0.05	0.19
103	0	1	1	0.05	0.19
104	1	0	0	0.55	0.35
105	0	1	1	0.05	0.19
106	1	0	0	0.55	0.35
107	1	0	0	0.55	0.35
108	1	0	0	0.55	0.35
109	7.7e-06	1	1	0.05	0.19
110	1	0	0	0.55	0.35
111	0.5	0.5	0	0.55	0.35
112	0	1	1	0.05	0.19
113	1	0	0	0.55	0.35
114	1	0	0	0.55	0.35
115	0	1	1	0.05	0.19
116	0	1	1	0.05	0.19
117	0	1	1	0.05	0.19
118	1	0	0	0.55	0.35
119	0	1	1	0.05	0.19
120	1	4.1e-06	0	0.55	0.35
121	1	0	0	0.55	0.35
122	0	1	1	0.05	0.19
123	1	0	0	0.55	0.35
124	1	0	0	0.55	0.35
125	1	0	0	0.55	0.35
126	0	1	1	0.05	0.19
127	1	0	0	0.55	0.35
128	1	0	0	0.55	0.35
129	1	0	0	0.55	0.35
130	1	0	0	0.55	0.35
131	0	1	1	0.05	0.19
132	0	1	1	0.05	0.19
133	0	1	1	0.05	0.19
134	1	0	0	0.55	0.35
135	1	0	0	0.55	0.35
136	1	0	0	0.55	0.35
137	0	1	1	0.05	0.19
138	1	0	0	0.55	0.35
139	1	0	0	0.55	0.35
140	1	0	0	0.55	0.35
141	1	0	0	0.55	0.35
142	1	0	0	0.55	0.35
143	0	1	1	0.05	0.19
144	0	1	1	0.05	0.19
145	1	0	0	0.55	0.35
146	1	0	0	0.55	0.35
147	1	0	0	0.55	0.35
148	1	0	0	0.55	0.35
149	1	0	0	0.55	0.35
150	1	0.0048	0	0.55	0.35
151	0	1	1	0.05	0.19
152	1	0	0	0.55	0.35
153	1	0	0	0.55	0.35
154	0	1	1	0.05	0.19
155	0	1	1	0.05	0.19
156	1	0	0	0.55	0.35
