k	loglikelihood	observations	parameters	BIC
1	-6620.36	7776	8	13312.4
2	-4873.35	7776	12	9854.2
3	-4215.73	7776	16	8574.8
4	-3498.9	7776	20	7176.98
5	-3432.3	7776	24	7079.61
6	-3600.3	7776	28	7451.45
7	-3438.84	7776	32	7164.37
8	-3006.24	7776	36	6334.99
9	-3069.17	7776	40	6496.69
10	-3012.11	7776	44	6418.41
11	-2854.38	7776	48	6138.78
12	-2859.8	7776	52	6185.46
13	-2803.78	7776	56	6109.25
14	-2748.8	7776	60	6035.12
15	-2766.08	7776	64	6105.52
16	-2776.17	7776	68	6161.54
17	-2759.16	7776	72	6163.36
18	-2729.67	7776	76	6140.22
19	-2739.75	7776	80	6196.19
20	-2733.44	7776	84	6219.41
