SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	1.9e-05	1	0	5.9e-06	0	9.5e-05	0	0	0	0	1	0	0.12	0.11	0.15
1	9.9e-05	0	0	0.001	0	0.41	0	0.59	0	0	7	0.19	0.2	0.2	0.23
2	0	0	0	0	0	0.83	0	0.17	0	0	5	0.1	0.12	0.11	0.15
3	0	0	0	0	0	1	0	0.0028	0	0	5	0.1	0.12	0.11	0.15
4	0.0023	0	0	0.15	0	0.85	0	0	0	0	5	0.1	0.12	0.11	0.15
5	0.24	0	0	0.2	0	0.56	0	0	0	0	5	0.1	0.12	0.11	0.15
6	0	0	1	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
7	0.11	0	0	0.033	0	0.86	0	0	0	0	5	0.1	0.12	0.11	0.15
8	0.051	0	0	0.14	0	0.81	0	0	0	0	5	0.1	0.12	0.11	0.15
9	0.13	0	0	0.077	0	0.79	0	0	0	0	5	0.1	0.12	0.11	0.15
10	0	0	5.1e-06	0	0	0.72	0.28	0	0	0	5	0.1	0.12	0.11	0.15
11	0	0	0	0	0	0.81	0.19	0	0	0	5	0.1	0.12	0.11	0.15
12	0.37	0	0	0.12	0	0.51	0	0	0	0	5	0.1	0.12	0.11	0.15
13	0	0	0	0	0	1	0	2.6e-05	0	0	5	0.1	0.12	0.11	0.15
14	0	0	1	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
15	3.8e-05	1	1.2e-05	2.7e-06	0	3.7e-06	0	0	0	0	1	0	0.12	0.11	0.15
16	0	0	2e-05	0	0	0.72	0.28	0	0	0	5	0.1	0.12	0.11	0.15
17	0.065	0	0	0.4	0	0.53	0	0	0	0	5	0.1	0.12	0.11	0.15
18	0.079	0	0	0.024	0	0.9	0	4e-05	0	0	5	0.1	0.12	0.11	0.15
19	0	0	0	0	0	1	0	1.5e-05	0	0	5	0.1	0.12	0.11	0.15
20	0	0	0	0	0	1	0	0.0012	0	0	5	0.1	0.12	0.11	0.15
21	0	0	0	0	0	1	0	0.00076	0	0	5	0.1	0.12	0.11	0.15
22	0.0024	0	0	0.067	0	0.93	0	0	0	0	5	0.1	0.12	0.11	0.15
23	0.76	0	0	0.14	0	0.1	0	0	0	0	0	0.1	0.093	0.11	0.083
24	0	0	0	0	0	0.99	0	0.01	0	0	5	0.1	0.12	0.11	0.15
25	0.4	0	0	0.064	0	0.54	0	0	0	0	5	0.1	0.12	0.11	0.15
26	0.49	0	0	0.065	0	0.44	0	0	0	0	0	0.1	0.093	0.11	0.083
27	0	0	0	0	0	1	0	0.00049	0	0	5	0.1	0.12	0.11	0.15
28	0.048	0	0	0.045	0	0.91	0	0	0	0	5	0.1	0.12	0.11	0.15
29	0	0	0	0	0	0	1	0	0	0	6	0.1	0	0	0
30	6.1e-05	1	0	1.9e-05	0	6.4e-05	0	4e-06	0	0	1	0	0.12	0.11	0.15
31	0.75	0	0	0.028	0	0.15	0	0.068	0	0	0	0.1	0.093	0.11	0.083
32	0	0	0	0	0	1	0	0.0002	0	0	5	0.1	0.12	0.11	0.15
33	0	0	0	0	0	0	0	0	1	0	8	0	0.067	0	0
34	0.85	0	0	0.078	0	0.068	0	0	0	0	0	0.1	0.093	0.11	0.083
35	0.82	0	0	0.019	0	0.16	0	0	0	0	0	0.1	0.093	0.11	0.083
36	4.6e-06	1	0	8.6e-06	0	0.00011	0	0	0	0	1	0	0.12	0.11	0.15
37	0	0	0	0	0	1	0	0.0014	0	0	5	0.1	0.12	0.11	0.15
38	0.52	0	0	0.17	0	0.31	0	0	0	0	0	0.1	0.093	0.11	0.083
39	0.0025	0	0	0.0056	0	0.99	0	0	0	0	5	0.1	0.12	0.11	0.15
40	6e-06	0	0	0	0	1	0	0	0	0	5	0.1	0.12	0.11	0.15
41	0	0	0.00097	0	0	0	1	0	0	0	6	0.1	0	0	0
42	0.0072	0	0	0.058	0	0.94	0	7.1e-06	0	0	5	0.1	0.12	0.11	0.15
43	0.13	0	0	0.055	0	0.82	0	0	0	0	5	0.1	0.12	0.11	0.15
44	0.56	0	0	0.085	0	0.35	0	0	0	0	0	0.1	0.093	0.11	0.083
45	0.035	0	0	0.084	0	0.88	0	0	0	0	5	0.1	0.12	0.11	0.15
46	0	0	0	0	0	0	1	0	0	0	6	0.1	0	0	0
47	0.15	0	0	0.15	0	0.71	0	0	0	0	5	0.1	0.12	0.11	0.15
48	0.03	0	0	0.058	0	0.91	0	0	0	0	5	0.1	0.12	0.11	0.15
49	0.09	0	0	0.055	0	0.86	0	0	0	0	5	0.1	0.12	0.11	0.15
50	0.12	0	0	0.056	0	0.82	0	0	0	0	5	0.1	0.12	0.11	0.15
51	0.63	0	0	0.12	0	0.25	0	0	0	0	0	0.1	0.093	0.11	0.083
52	0	0	0	0	0	0.0011	1	0	0	0	6	0.1	0	0	0
53	0	1	0	0	0	0	0	0	0	0	1	0	0.12	0.11	0.15
54	0.47	0	0	0.078	0	0.44	0	0.013	0	0	0	0.1	0.093	0.11	0.083
55	0.5	0	0	0.12	0	0.35	0	0.032	0	0	0	0.1	0.093	0.11	0.083
56	0.013	0	0	0.22	0	0.77	0	7.8e-06	0	0	5	0.1	0.12	0.11	0.15
57	0	0	1.6e-05	0	0	0	1	0	0	0	6	0.1	0	0	0
58	0.015	0	0	0.36	0	0.63	0	0	0	0	5	0.1	0.12	0.11	0.15
59	0.024	0	0	0.026	0	0.95	0	0	0	0	5	0.1	0.12	0.11	0.15
60	0.066	0	0	0.08	0	0.85	0	0	0	0	5	0.1	0.12	0.11	0.15
61	0.1	0	0	0.019	0	0.88	0	0	0	0	5	0.1	0.12	0.11	0.15
62	0.0028	0	0	0.054	0	0.94	0	0	0	0	5	0.1	0.12	0.11	0.15
63	0.049	0	0	0.046	0	0.91	0	0	0	0	5	0.1	0.12	0.11	0.15
64	0	0	1	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
65	0	0	0	0	0	0	0	0	1	0	8	0	0.067	0	0
66	0	0	0	0	0	0	0	0	1	0	8	0	0.067	0	0
67	0.31	0	0	0.15	0	0.55	0	0	0	0	5	0.1	0.12	0.11	0.15
68	0.26	0	3.9e-06	0.19	0	0.55	0	0	0	0	5	0.1	0.12	0.11	0.15
69	0	0	0	0	0	0	0	0	1	0	8	0	0.067	0	0
70	0.0034	0	0	0.0049	0	0.99	0	0	0	0	5	0.1	0.12	0.11	0.15
71	0.053	0	0	0.032	0	0.92	0	0	0	0	5	0.1	0.12	0.11	0.15
72	0.0012	0	0	0.012	0	0.99	0	0	0	0	5	0.1	0.12	0.11	0.15
73	0	0	1	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
74	0.32	0	0	0.11	0	0.57	0	0	0	0	5	0.1	0.12	0.11	0.15
75	3.6e-06	0.0043	1	1.8e-05	0	2.3e-06	0	0	0	0	2	0.033	0.013	0.024	0.033
76	0	0	0	0	0	0	1	0	0	0	6	0.1	0	0	0
77	0.1	0	0	0.058	0	0.84	0	0	0	0	5	0.1	0.12	0.11	0.15
78	0.0053	0	0	0.028	0	0.97	0	0	0	0	5	0.1	0.12	0.11	0.15
79	0	0	1	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
80	0.22	0	0	0.24	0	0.54	0	0	0	0	5	0.1	0.12	0.11	0.15
81	0.8	0	0	0.075	0	0.13	0	0	0	0	0	0.1	0.093	0.11	0.083
82	0.0014	0.87	0.08	0.017	0	0.033	0	0	0	0	1	0	0.12	0.11	0.15
83	0.37	0	0	0.083	0	0.55	0	0	0	0	5	0.1	0.12	0.11	0.15
84	0.016	0	0	0.092	0	0.89	0	0	0	0	5	0.1	0.12	0.11	0.15
85	0.048	0	0	0.014	0	0.94	0	0	0	0	5	0.1	0.12	0.11	0.15
86	0.012	0	0	0.0059	0	0.98	0	0	0	0	5	0.1	0.12	0.11	0.15
87	0	0	0	0	0	1	0	0	0	0	5	0.1	0.12	0.11	0.15
88	0.0065	0	0	0.082	0	0.91	0	0	0	0	5	0.1	0.12	0.11	0.15
89	0	1	0	0	0	0	0	0	0	0	1	0	0.12	0.11	0.15
90	0.15	0	0	0.11	0	0.74	0	0	0	0	5	0.1	0.12	0.11	0.15
91	0.0026	0	0	0.0068	0	0.99	0	0	0	0	5	0.1	0.12	0.11	0.15
92	0.28	0	0	0.11	0	0.61	0	0.00088	0	0	5	0.1	0.12	0.11	0.15
93	0	0	7.8e-06	0	0	0	1	0	0	0	6	0.1	0	0	0
94	0.95	0	0	0.042	0	0.0055	0	0	0	0	0	0.1	0.093	0.11	0.083
95	0	0	0	0	0	0	1	0	0	0	6	0.1	0	0	0
96	0.65	0	0	0.11	0	0.24	0	0	0	0	0	0.1	0.093	0.11	0.083
97	0	0	0	0	0	0	1	0	0	0	6	0.1	0	0	0
98	0.21	0	0	0.075	0	0.71	0	0	0	0	5	0.1	0.12	0.11	0.15
99	0.069	0	0	0.22	0	0.71	0	0	0	0	5	0.1	0.12	0.11	0.15
100	8.1e-05	1	0	2.8e-05	0	0.0002	0	0	0	0	1	0	0.12	0.11	0.15
101	0.71	0	0.011	0.09	0	0.19	0	0	0	0	0	0.1	0.093	0.11	0.083
102	0	5.4e-05	1	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
103	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0.1
104	0.072	0	0	0.17	0	0.76	0	0	0	0	5	0.1	0.12	0.11	0.15
105	0.00083	0	0	0.098	0	0.9	0	0	0	0	5	0.1	0.12	0.11	0.15
106	0.06	0	0	0.51	0	0.43	0	0	0	0	3	0.1	0.093	0.11	0.15
107	0.59	0	0	0.2	0	0.17	0	0.037	0	0	0	0.1	0.093	0.11	0.083
108	0	0	0	0	0	1	0	0.0043	0	0	5	0.1	0.12	0.11	0.15
109	0	0	0	0	0	0	0	0	0	1	9	0.1	0	0.89	0.23
110	0	0.44	0.56	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
111	0	0	1	0	0	0	0	0	0	0	2	0.033	0.013	0.024	0.033
112	0.025	0	0	0.099	0	0.88	0	0	0	0	5	0.1	0.12	0.11	0.15
113	0	0	0	0	0	0	1	0	0	0	6	0.1	0	0	0
114	0.31	0	0	0.05	0	0.64	0	0	0	0	5	0.1	0.12	0.11	0.15
115	0.0093	0	0	0.0081	0	0.98	0	0.00015	0	0	5	0.1	0.12	0.11	0.15
116	4.3e-06	0	0	1.4e-05	0	1	0	5.3e-05	0	0	5	0.1	0.12	0.11	0.15
117	0.28	0	0	0.59	0	0.13	0	0	0	0	3	0.1	0.093	0.11	0.15
118	6e-05	1	0	6.8e-05	0	0.00095	0	0	0	0	1	0	0.12	0.11	0.15
119	0	1	0	0	0	0	0	0	0	0	1	0	0.12	0.11	0.15
120	0.17	0	0	0.047	0	0.78	0	0	0	0	5	0.1	0.12	0.11	0.15
