SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	0	0	5.6e-05	0	0.00032	0	0	1.4e-05	0.0014	0.0044	0	0.99	0	0	0	0	14	0.011	0.12	0.11	0.15
1	0	0	0	0	0	0.00021	0	1	0	0	8.8e-06	4.4e-05	0.0019	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
4	0	0	0	0	0	0.00062	0	0.26	0	0	0.065	0.0031	0.61	0	0.058	0	0	0	0	12	0.067	0.12	0.11	0.15
5	0	0	0	0	0	0.18	0	0.46	0	0	0.31	0.0062	0.049	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.067	0	0.012	0.15
7	0	0	0	0	0	0.095	0	0.83	0	0	0.011	0.013	0.048	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
8	0	0	0	0	0	0.045	0	0.81	0	0	0.11	0.0019	0.035	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
9	0	0	0	0	0	0.11	0	0.77	0	0	0.07	0.0045	0.043	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
10	0	0.00044	0	0	0.099	0	0.0013	0.63	0	0	0	0	0.11	0.16	0	0	0	0	0	7	0.1	0.12	0.11	0.15
11	0	0	0	0	0.05	0	6.9e-05	0.51	0	0	0	0	0.21	0.23	0	0	0	0	0	7	0.1	0.12	0.11	0.15
12	0	0	0	0	0	0.14	0	0.22	0	0	0.018	0.17	0.45	0	1.1e-05	0	0	0	0	12	0.067	0.12	0.11	0.15
13	0	0	0	0	0	0	0	1	0	0	0	0	0.00078	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.04	0	0.067
15	0	0	0	0	0	0.00018	0	2e-05	0	0	0.00011	0.00035	0.00079	0	1	0	0	0	0	14	0.011	0.12	0.11	0.15
16	0	2.6e-05	0	0	0.07	0	0.001	0.45	0	0	0	0	0.24	0.24	9.8e-05	0	0	0	0	7	0.1	0.12	0.11	0.15
17	0	0	0	0	0	0.039	0	0.36	0	0	0.55	0.0012	0.053	0	0	0	0	0	0	10	0.1	0.08	0.098	0.15
18	0	0	0	0	0	0.043	0	0.56	0	0	0.0093	0.047	0.31	0	0.037	0	0	0	0	7	0.1	0.12	0.11	0.15
19	0	0	0	0	0	0	0	0.81	0	0	0	0	0.19	0	6.5e-05	0	0	0	0	7	0.1	0.12	0.11	0.15
20	0	0	0	0	0	0	0	0.98	0	0	0	0	0.023	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
21	0	0	0	0	0	0	0	1	0	0	0	0	0.00011	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
22	0	0	0	0	0	0.0011	0	0.48	0	0	0.037	0.0037	0.48	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
23	0	0	0	0	0	0.73	0	0.11	0	0	0.16	0.00018	0.00029	0	0	0	0	0	0	5	0.1	0.093	0.11	0.083
24	0	0	0	0	0	0	0	0.99	0	0	0	0.00026	0.0071	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
25	0	0	0	0	0	0.33	0	0.5	0	0	0.053	0.041	0.081	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
26	0	0	0	0	0	0.28	0	0.28	0	0	0.027	0.15	0.26	0	0.0026	0	0	0	0	7	0.1	0.12	0.11	0.15
27	0	0	0	0	0	0	0	1	0	0	0	0	2.5e-06	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
28	0	0	0	0	0	0.038	0	0.81	0	0	0.015	0.014	0.12	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
29	0	0	0	0	0.026	0	1.5e-05	0	0	0	0	0	0	0.97	0	0	0	0	0	13	0.078	0	0	0
30	0	0	0	0	0	0.00015	0	0.00017	0	0	7.8e-05	0.00097	0.003	0	1	0	0	0	0	14	0.011	0.12	0.11	0.15
31	0	0	0	0	0	0.45	0	0.1	0	0	0.024	0.26	0.16	0	0	0	0	0	0	5	0.1	0.093	0.11	0.083
32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
33	0	0	0.0021	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0.067	0	0
34	0	0	0	0	0	0.7	0	0.064	0	0	0.13	0.048	0.057	0	0	0	0	0	0	5	0.1	0.093	0.11	0.083
35	0	0	0	0	0	0.8	0	0.18	0	0	0.019	5.5e-05	2.3e-05	0	0	0	0	0	0	5	0.1	0.093	0.11	0.083
36	0	0	0	0	0	1e-05	0	0.00028	0	0	2.3e-05	0.00038	0.0041	0	1	0	0	0	0	14	0.011	0.12	0.11	0.15
37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
38	0	0	0	0	0	0.26	0	0.17	0	0	0.28	0.066	0.22	0	0.0022	0	0	0	0	10	0.1	0.08	0.098	0.15
39	0	0	0	0	0	0.0022	0	0.96	0	0	2.5e-05	0.0033	0.031	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
40	0	0	0	0	0	0	0	0.24	0	0	0	0.3	0.45	0	0	0	0	0	0	12	0.067	0.12	0.11	0.15
41	0	0.0013	0	0	0.3	0	0.0078	0	0	0	0	0	0	0.69	0	0	0	0	0	13	0.078	0	0	0
42	0	0	0	0	0	0.0063	0	0.93	0	0	0.0073	0.0017	0.05	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
43	0	0	0	0	0	0.015	0	0.11	0	0	0.00047	0.21	0.67	0	1.8e-06	0	0	0	0	12	0.067	0.12	0.11	0.15
44	0	0	0	0	0	0.55	0	0.38	0	0	0.051	0.0068	0.013	0	0	0	0	0	0	5	0.1	0.093	0.11	0.083
45	0	0	0	0	0	0.023	0	0.66	0	0	0.0087	0.025	0.28	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
46	0	0	0	0	0.64	0	5.6e-05	0	0	0	0	0	0	0.36	0	0	0	0	0	4	0.1	0	0	0
47	0	0	0	0	0	0.12	0	0.66	0	0	0.16	0.0088	0.057	0	0	0	0	0	0	7	0.1	0.12	0.11	0.15
48	0	0	0	0	0	0.019	0	0.65	0	0	0.022	0.025	0.28	0	2.7e-06	0	0	0	0	7	0.1	0.12	0.11	0.15
49	0	0	0	0	0	0.036	0	0.38	0	0	0.0088	0.093	0.48	0	0.0024	0	0	0	0	12	0.067	0.12	0.11	0.15
50	0	0	0	0	0	0.019	0	0.15	0	0	0.0034	0.18	0.65	0	0.00028	0	0	0	0	12	0.067	0.12	0.11	0.15
51	0	0	0	0	0	0.23	0	0.1	0	0	0.19	0.16	0.32	0	0	0	0	0	0	12	0.067	0.12	0.11	0.15
52	0	0	0	0	0.31	0	0.00053	0.00088	0	0	0	0.00057	0.00014	0.68	0	0	0	0	0	13	0.078	0	0	0
53	0	0	0	0	0	0	0	2e-06	0	0	0	0.00011	0.00019	0	1	0	0	0	0	14	0.011	0.12	0.11	0.15
54	0	0	0	0	0	0.34	0	0.36	0	0	0.099	0.068	0.14	0	0.00058	0	0	0	0	7	0.1	0.12	0.11	0.15
