k	loglikelihood	observations	parameters	BIC
1	-21249	15894	4	42536.8
2	-12750.5	15894	6	25559
3	-10365.9	15894	8	20809.2
4	-8754.11	15894	10	17605
5	-8493.34	15894	12	17102.8
6	-8210.52	15894	14	16556.5
7	-8081.19	15894	16	16317.2
8	-8085.6	15894	18	16345.3
9	-7895.01	15894	20	15983.5
10	-7750.8	15894	22	15714.4
11	-7587.86	15894	24	15407.9
12	-7645.18	15894	26	15541.9
13	-7617.15	15894	28	15505.2
14	-7658.08	15894	30	15606.4
15	-7559.7	15894	32	15429
16	-7566.84	15894	34	15462.6
17	-7531.43	15894	36	15411.1
18	-7518.11	15894	38	15403.8
19	-7567.32	15894	40	15521.6
20	-7562.36	15894	42	15531
