SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0.38	0	0	0.0061	0	0	0	0	0	0	0.6	0.016	0	0	10	0.28	0.22
1	0	0	0	0	0	0.99	0	0	0	0	0	0	0.011	0	5	0.25	0
2	0	0	0	0	0	1	0	0	0	0	0	0	0.00021	0	5	0.25	0
3	0	0	0	0	0.4	0	0	0	0.6	0	0	0	0	0	8	0.031	0.14
4	0.83	0	0	0	4.6e-06	0	0.00033	0.17	7e-06	0	0.00065	0	0	0	0	0.28	0.14
5	0.89	0	0.00014	0.0092	0	0	0	0	0	0	0.086	0.016	0	0	0	0.28	0.14
6	0.93	0	0.018	0.0046	0	0	0	0	0	0	0.015	0.032	0	0	0	0.28	0.14
7	0.94	0	0.00019	0.019	0	0	0.0027	0	0	0	0.023	0.0078	9.2e-06	0.0023	0	0.28	0.14
8	0.82	0	0.026	0.0056	0	0	0	0	0	0	0.08	0.065	0	0	0	0.28	0.14
9	0.99	0	0	0.0052	0	0	0	0	0	0	0.00065	0.00087	0	5.5e-05	0	0.28	0.14
10	0.83	0	0	0	1.7e-05	0	0.0016	0.17	2.6e-05	0	0.00085	0	0	0	0	0.28	0.14
11	0.9	0	0	0.0095	0	0	0.0052	0	0	0	0.0069	0.0091	1.2e-05	0.071	0	0.28	0.14
12	0	0	0	0	0	0.95	0	0	0	0	0	0	0.048	0	5	0.25	0
13	0.82	0	0	0	0.00038	0	0.0011	0.17	0.00058	0	0.0099	0	0	0	0	0.28	0.14
14	0.82	0	0	0	3e-05	0	3.5e-05	0.16	4.6e-05	0	0.017	0	0	0	0	0.28	0.14
15	0.96	0	0	0.016	0	0	0.0031	0	0	0	0.012	0.0043	0	0.0059	0	0.28	0.14
16	0.83	0	0	0	0	0	2e-05	0.17	0	0	0.0028	0	0	0	0	0.28	0.14
17	0.27	0	8.2e-06	0.0017	0	0	0	0	0	0	0.37	0.35	0	0	10	0.28	0.22
18	0.57	0	0	0	0	0	0	0.047	0	0	0.38	0	0	0	0	0.28	0.14
19	0.83	0	0	0	4.2e-05	0	0.0009	0.17	6.4e-05	0	0.0024	0	0	0	0	0.28	0.14
20	0.82	0	0	0	0.00031	0	0.00066	0.16	0.00048	0	0.013	0	0	0	0	0.28	0.14
21	0.35	0	0	0.0028	0	0	0	0	0	0	0.21	0.44	0	0.00028	11	0.52	0.22
22	0.83	0	0	0	0	0	0	0.17	0	0	5e-06	0	0	0	0	0.28	0.14
23	0.99	0	0	0.0076	0	0	0	0	0	0	0.00027	0.00017	0	0.00019	0	0.28	0.14
24	0	0	0	0	0	0	0	0	0	0.98	0	0	0.022	0	9	0	0
25	1.9e-05	0	0	0	0	0	4.2e-05	0	0	0.93	0	0	0.068	0	9	0	0
26	0.79	0	0	0	0.0013	0	0.00011	0.14	0.002	0	0.067	0	0	0	0	0.28	0.14
27	0	0	0	0	0	0	0	0	0	1	0	0	0.0024	0	9	0	0
