SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0.0067	0	0.041	0.95	0	0	0	0	0	0	0	9	0.28	0.14
1	0	0	0	0	0.98	0.019	0	0	0	0	0	0	0	0	0	0	0	4	0.28	0
2	0	0	0	0	1	0.003	0	0	0	0	0	0	0	0	0	0	0	4	0.28	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.031	0.14
4	0	0	4.7e-05	0	0	0	0	0	0	0.84	0.16	0	0	0	9.7e-06	0	0	9	0.28	0.14
5	0	0	0	0	0	0	0.0027	0	0.072	0.92	0	0	0	0	0	0	0	9	0.28	0.14
6	0	0	0	0	0	0	6.1e-05	0	0.21	0.79	0	0	0	0	0	0	0	9	0.28	0.14
7	0.001	2.9e-05	0	0.0024	0	8.7e-06	0.023	0	0.0011	0.97	0	0.0029	0	0	0	0	0	9	0.28	0.14
8	0	0	0	0	0	0	0.00086	0	0.19	0.81	0	0	7.8e-05	0	0	7.8e-05	0	9	0.28	0.14
9	0	8.3e-05	0	0.00042	0	0	0	0	0	1	0	0.0014	0	0	0	0	0	9	0.28	0.14
10	0	0	0.00056	0	0	0	0	0	0	0.84	0.16	0	0	0	3.6e-05	0	0	9	0.28	0.14
11	0.0013	0.00062	0	0.0056	0	1.2e-05	0.001	0	0.00032	0.92	0	0.074	0	0	0	0	0	9	0.28	0.14
12	0	0	0	0	0.99	0.0054	0	0	0	0	0	0	0	0	0	0	0	4	0.28	0
13	0	0	0.00057	0	0	0	0	0	0	0.84	0.16	0	0	0	0.00082	0	0	9	0.28	0.14
14	0	0	0	0	0	0	0	0	0	0.84	0.16	0	0	0	6.5e-05	0	0	9	0.28	0.14
15	4.8e-05	6.7e-05	0	0.0023	0	0	0.0076	0	0.00021	0.98	0	0.0071	0	0	0	0	0	9	0.28	0.14
16	0	0	0	0	0	0	0	0	0	0.84	0.16	0	0	0	0	0	0	9	0.28	0.14
17	0	0	0	0	0	0	0.00014	0	0.022	0.98	0	0	0	0	0	0	0	9	0.28	0.14
18	0	0	0	0	0	0	0	0	0	0.93	0.073	0	0	0	0	0	0	9	0.28	0.14
19	0	0	0.00031	0	0	0	0	0	0	0.84	0.16	0	0	0	8.9e-05	0	0	9	0.28	0.14
20	0	0	0.00029	0	0	0	0	0	0	0.84	0.16	0	0	0	0.00067	0	0	9	0.28	0.14
