SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0	0	3.5e-05	0	0.35	0	0.092	0	0	0.56	0.0052	0	0	0	0	9	0.28	0.22
1	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0.017	0	7	0.28	0
2	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0027	0	7	0.28	0
3	0	0	0	0	0	0	0	0	0	0	2.1e-05	1	0	0	0	11	0.031	0.14
4	0	0	0	0	0.82	0	0	0	0	0.00066	0	1.1e-05	0.17	0	0	4	0.28	0.14
5	0	0	0.0036	0	0.89	0	0.0097	0	0	0.088	0.0052	0	0	0	0	4	0.28	0.14
6	0	0	0.064	0	0.92	0	0.0014	0	0	0.015	0.00031	0	0	0	0	4	0.28	0.14
7	0.0049	0.00097	0.01	0.00055	0.94	0	0.0062	0	0	0.023	0.013	0	0	8.7e-06	0.003	4	0.28	0.14
8	0	0	0.13	0	0.79	0	0.0065	0	0	0.078	0.0012	0	0	0	0	4	0.28	0.14
9	0.014	0	6.8e-06	0	0.98	0	4.5e-05	0	0	0.00065	2e-05	0	0	0	0.0086	4	0.28	0.14
10	0	0	0	0	0.82	0	0	0	0	0.00086	0	4.2e-05	0.17	0	0	4	0.28	0.14
11	0.094	0.0011	0.018	0.0042	0.82	0	0.00091	0	0	0.0064	0.0011	0	0	1.1e-05	0.058	4	0.28	0.14
12	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0048	0	7	0.28	0
13	0	0	0	0	0.82	0	0	0	0	0.01	5.9e-05	0.00095	0.17	0	0	4	0.28	0.14
14	0	0	0	0	0.81	0	0	0	0	0.018	0	7.4e-05	0.17	0	0	4	0.28	0.14
15	0.011	4.5e-05	0.0013	0.0011	0.96	0	0.0026	0	0	0.012	0.0061	0	0	0	0.0069	4	0.28	0.14
16	0	0	0	0	0.82	0	0	0	0	0.0028	0	3.4e-06	0.17	0	0	4	0.28	0.14
17	0	0	0.13	0	0.34	0	0.06	0	0	0.47	0.00021	0	0	0	0	9	0.28	0.22
18	0	0	0	0	0.56	0	0	0	0	0.39	0	0	0.049	0	0	4	0.28	0.14
19	0	0	0	0	0.82	0	0	0	0	0.0025	0	0.0001	0.17	0	0	4	0.28	0.14
20	0	0	0	0	0.81	0	0	0	0	0.013	4.2e-05	0.00077	0.17	0	0	4	0.28	0.14
21	0.051	0	0.3	0	0.37	0	0.021	0	0	0.23	6.4e-05	0	0	0	0.032	4	0.28	0.14
22	0	0	0	0	0.83	0	0	0	0	5e-06	0	0	0.17	0	0	4	0.28	0.14
23	0.0051	0	0	8.3e-06	0.99	0	2.8e-05	0	0	0.00027	0.0001	0	0	0	0.0032	4	0.28	0.14
24	0	0	0	0	0	0	0	0.97	0.017	0	0	0	0	0.013	0	7	0.28	0
25	0	0	0	0	1.1e-05	0	0	0.91	0.051	0	0	0	0	0.038	0	7	0.28	0
26	0	0	0	0	0.79	0	0	0	0	0.068	0.00051	0.0032	0.14	0	0	4	0.28	0.14
27	0	0	0	0	0	0	0	1	0.0019	0	0	0	0	0.0014	0	7	0.28	0
28	0	0	0.0001	0	0.9	0	0.019	0	0	0.061	0.016	0	0	0	0	4	0.28	0.14
29	0.0004	0	0	4.7e-05	0.99	0	0.00017	0	0	0.00064	0.0055	0	0	0	0.00025	4	0.28	0.14
30	0	0	0.0044	0	0.9	0	0.016	0	0	0.077	0.0053	0	0	0	0	4	0.28	0.14
31	0	0	0	0	0.79	0	0	0	0	0.14	2.8e-05	0.00035	0.074	0	0	4	0.28	0.14
32	0	0	0	0	0.82	0	0	0	0	0.00039	0	5.3e-06	0.17	0	0	4	0.28	0.14
33	0	0	0	0	0.82	0	0	0	0	0.0046	0.00012	0.0015	0.17	0	0	4	0.28	0.14
34	0.0018	0	3.1e-05	6.2e-05	0.98	0	0.0019	0	0	0.0084	0.0042	0	0	0	0.0011	4	0.28	0.14
35	0	0	0	0	0	0	0	0	0	0	8.6e-05	1	0	0	0	11	0.031	0.14
36	0.037	1.9e-06	0.15	9.9e-06	0.63	0	0.031	0	0	0.12	0.003	0	0	0	0.023	4	0.28	0.14
37	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0.0053	0	7	0.28	0
38	0	0	0	0	0.82	0	0	0	0	0.0019	0	5.3e-05	0.17	0	0	4	0.28	0.14
39	0	0	0	0	0.83	0	0	0	0	5.8e-06	0	0	0.17	0	0	4	0.28	0.14
40	0.0044	0	0.00018	6.3e-05	0.97	0	0.0026	0	0	0.013	0.0024	0	0	0	0.0027	4	0.28	0.14
41	0	0	0	0	0	0	0	0	0	0	0.00011	1	0	0	0	11	0.031	0.14
42	0	0	0.037	0	0.91	0	0.0034	0	0	0.048	0.00066	0	0	0	0	4	0.28	0.14
43	0	0	0.93	0	0.069	0	4.8e-05	0	0	0.0024	0	0	0	0	0	2	0.48	0.22
44	0	0	0.0048	0	0.95	0	0.0048	0	0	0.04	0.0028	0	0	0	0	4	0.28	0.14
45	0	0	0	0	0.76	0	0	0	0	0.14	1.7e-05	0.0003	0.1	0	0	4	0.28	0.14
46	0	0	0	0	0.82	0	0	0	0	0.00074	0	0	0.17	0	0	4	0.28	0.14
47	1.7e-05	0.00022	0.055	0	0.84	0	0.02	0	0	0.072	0.01	0	0	9.2e-06	1e-05	4	0.28	0.14
48	0.00057	2.8e-05	2.4e-05	0.00024	0.016	0	7.5e-06	0.93	0	3.8e-05	7.7e-05	0	0	0.057	0.00035	7	0.28	0
49	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0044	0	7	0.28	0
50	0	0	0	0	0	0	0	0.99	0.0073	0	0	0	0	0.0055	0	7	0.28	0
51	0	0	0	0	0.82	0	0	0	0	0.0091	8.3e-06	0.00027	0.17	0	0	4	0.28	0.14
52	0.098	1.8e-06	0.0002	0.0025	0.84	0	1.7e-05	0	0	0.00018	0.00014	0	0	0	0.061	4	0.28	0.14
53	0	0	0	0	0.79	0	0	0	0	0.078	0.00014	0.0013	0.13	0	0	4	0.28	0.14
54	0	0	0.97	0	0.015	0	0.00081	0	0	0.013	0	0	0	0	0	2	0.48	0.22
55	0	0	0.92	0	0.048	0	0.00013	0	0	0.00072	0.033	0	0	0	0	2	0.48	0.22
56	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0.013	0	7	0.28	0
57	0.0061	8.4e-05	5.7e-06	0.0039	0.98	0	0	0	0	0.0023	0.0064	0	0	0.00026	0.0038	4	0.28	0.14
58	0	0	0.016	0	0.8	0	5e-05	0	0	0.18	9.4e-05	0	0	0	0	4	0.28	0.14
