SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	1	0.00013	0	0	0	0	0	0	0.28	0.14
1	0	0	0.015	0.99	0	0	0	3	0.25	0
2	0	0	0.0023	1	0	0	0	3	0.25	0
3	0	0	0	0	0	0	1	6	0.031	0.12
4	0.84	0	0	0	0	0.16	8.1e-06	0	0.28	0.14
5	0.98	0.021	0	0	0	0	0	0	0.28	0.14
6	0.58	0.42	0	0	0	0	0	0	0.28	0.14
7	1	0.0019	2.7e-06	0	0	0	0	0	0.28	0.14
8	0.61	0.39	0	0	0	0	0	0	0.28	0.14
9	1	0	0	0	0	0	0	0	0.28	0.14
10	0.84	0	0	0	0	0.16	3.6e-05	0	0.28	0.14
11	1	0.00095	1.8e-05	0	0	0	0	0	0.28	0.14
12	0	0	0.0042	1	0	0	0	3	0.25	0
13	0.84	0	0	0	0	0.16	0.00061	0	0.28	0.14
14	0.84	0	0	0	0	0.16	3e-05	0	0.28	0.14
15	1	8.1e-05	0	0	0	0	0	0	0.28	0.14
16	0.84	0	0	0	0	0.16	0	0	0.28	0.14
17	0.99	0.0084	0	0	0	0	0	0	0.28	0.14
18	0.93	0	0	0	0	0.073	0	0	0.28	0.14
19	0.84	0	0	0	0	0.16	7.4e-05	0	0.28	0.14
20	0.84	0	0	0	0	0.16	0.00046	0	0.28	0.14
21	0.99	0.011	0	0	0	0	0	0	0.28	0.14
22	0.84	0	0	0	0	0.16	0	0	0.28	0.14
23	1	0	0	0	0	0	0	0	0.28	0.14
24	0	0	0	0	1	0	0	4	0	0.016
25	0.00015	0	0	0	1	2.8e-05	0	4	0	0.016
26	0.86	0	0	0	0	0.14	0.0011	0	0.28	0.14
27	0	0	0	0	1	0	0	4	0	0.016
28	1	0.00017	0	0	0	0	0	0	0.28	0.14
29	1	0	0	0	0	0	0	0	0.28	0.14
30	0.99	0.0074	0	0	0	0	0	0	0.28	0.14
31	0.92	0	0	0	0	0.079	5.8e-06	0	0.28	0.14
32	0.84	0	0	0	0	0.16	4e-06	0	0.28	0.14
33	0.84	0	0	0	0	0.16	0.0011	0	0.28	0.14
34	1	0	0	0	0	0	0	0	0.28	0.14
35	0	0	0	0	0	0	1	6	0.031	0.12
36	0.73	0.27	0	0	0	0	0	0	0.28	0.14
37	0	0	0.0046	1	0	0	0	3	0.25	0
38	0.84	0	0	0	0	0.16	4e-05	0	0.28	0.14
39	0.84	0	0	0	0	0.16	0	0	0.28	0.14
40	1	0	0	0	0	0	0	0	0.28	0.14
41	0	0	0	0	0	0	1	6	0.031	0.12
42	0.76	0.24	0	0	0	0	0	0	0.28	0.14
43	0.095	0.91	0	0	0	0	0	1	0.48	0.3
44	0.97	0.034	0	0	0	0	0	0	0.28	0.14
45	0.89	0	0	0	0	0.11	4.3e-05	0	0.28	0.14
46	0.84	0	0	0	0	0.16	0	0	0.28	0.14
47	0.94	0.06	0	0	0	0	0	0	0.28	0.14
48	0.021	0	0.05	0.93	0	0	0	3	0.25	0
49	0	0	0.0038	1	0	0	0	3	0.25	0
50	0	0	0	0	1	0	0	4	0	0.016
51	0.84	0	0	0	0	0.16	0.00015	0	0.28	0.14
52	1	0	0	0	0	0	0	0	0.28	0.14
53	0.87	0	0	0	0	0.13	0.0004	0	0.28	0.14
54	0.64	0.36	0	0	0	0	0	0	0.28	0.14
55	0.0046	1	0	0	0	0	0	1	0.48	0.3
56	0	0	0.011	0.99	0	0	0	3	0.25	0
57	1	0	0.00014	0	0	0	0	0	0.28	0.14
58	0.069	0.93	0	0	0	0	0	1	0.48	0.3
59	0.00011	0	1	0	0	0	0	2	0.25	0.016
60	1	0	0	0	0	0	0	0	0.28	0.14
61	1	0	0	0	0	0	0	0	0.28	0.14
62	1	0	0	0	0	0	0	0	0.28	0.14
63	1	0	3.7e-06	0	0	0	0	0	0.28	0.14
64	1	0	4.2e-06	0	0	0	0	0	0.28	0.14
65	0.99	0.00022	0.01	0	0	0	0	0	0.28	0.14
66	1	0	0	0	0	0	0	0	0.28	0.14
67	1	8e-06	0.00016	0	0	0	0	0	0.28	0.14
68	1	0	0	0	0	0	0	0	0.28	0.14
69	1	0	0	0	0	0	0	0	0.28	0.14
70	1	0	0	0	0	0	0	0	0.28	0.14
71	0	0	0.034	0.97	0	0	0	3	0.25	0
72	1	0.00029	1.2e-05	0	0	0	0	0	0.28	0.14
73	1	0	0	0	0	0	0	0	0.28	0.14
74	1	0.00028	0	0	0	0	0	0	0.28	0.14
75	1	5.6e-06	0	0	0	0	0.00028	0	0.28	0.14
76	1.4e-05	0	0.047	0.95	0	0	0	3	0.25	0
77	1	0	0	0	0	0	0	0	0.28	0.14
78	1	0	0	0	0	0	0	0	0.28	0.14
79	1	0	0	0	0	0	0	0	0.28	0.14
80	1	0	0	0	0	0	0	0	0.28	0.14
81	1	0	0	0	0	0	0	0	0.28	0.14
82	1	0	0	0	0	0	0	0	0.28	0.14
83	1	0	0	0	0	0	0	0	0.28	0.14
84	1	0.00016	0	0	0	0	0	0	0.28	0.14
85	1	0	0	0	0	0	0	0	0.28	0.14
86	1	0	0	0	0	0	0	0	0.28	0.14
87	0.82	0	0.18	0	0	0	0	0	0.28	0.14
88	0	0	0	0	1	0	0	4	0	0.016
89	0	0	0	0	6e-06	0.98	0.02	5	0	0.14
90	1	0	0	0	0	0	0	0	0.28	0.14
91	0.92	0.08	0	0	0	0	0	0	0.28	0.14
92	1	1.3e-05	0	0	0	0	0	0	0.28	0.14
93	1	0	0	0	0	0	0	0	0.28	0.14
94	1	0	0	0	0	0	0	0	0.28	0.14
95	0	0	0	0	0	0.99	0.01	5	0	0.14
96	1	0	0	0	0	0	0	0	0.28	0.14
97	1	1.3e-06	0	0	0	0	0	0	0.28	0.14
98	0	0	0	0	0	1	0.0006	5	0	0.14
99	1.4e-05	0	0	0	1	2.2e-06	0	4	0	0.016
100	1	4.7e-06	0	0	0	0	0	0	0.28	0.14
101	1	0.0021	2.7e-06	0	0	0	0	0	0.28	0.14
102	0.98	0	0.025	0	0	0	0	0	0.28	0.14
103	1	0	0	0	0	0	0	0	0.28	0.14
104	0	0	0	0	1	0	0	4	0	0.016
105	3.6e-06	0	0.04	0.96	0	0	0	3	0.25	0
106	0	0	0.018	0.98	0	0	0	3	0.25	0
107	1	0	3.8e-06	0	0	0	0	0	0.28	0.14
108	1	0	0	0	0	0	0	0	0.28	0.14
109	1	0	0	0	0	0	0	0	0.28	0.14
110	1	1.2e-05	0	0	0	0	0	0	0.28	0.14
111	1	0	0	0	0	0	0	0	0.28	0.14
112	0.89	0.11	0	0	0	0	0	0	0.28	0.14
113	0.77	0.23	0	0	0	0	0	0	0.28	0.14
114	1	0	0	0	0	0	0	0	0.28	0.14
115	1	0	0	0	0	0	0	0	0.28	0.14
116	1	0	0	0	0	0	0	0	0.28	0.14
117	0.99	0.01	0	0	0	0	0	0	0.28	0.14
118	1	0	0	0	0	0	0	0	0.28	0.14
