k	loglikelihood	observations	parameters	BIC
1	-4511.93	812	4	9050.66
2	-2275.59	812	6	4591.38
3	-1427.05	812	8	2907.7
4	-1096.32	812	10	2259.63
5	-1056.85	812	12	2194.09
6	-1028.2	812	14	2150.19
7	-977.735	812	16	2062.66
8	-976.286	812	18	2073.16
9	-967.227	812	20	2068.44
10	-968.077	812	22	2083.54
11	-921.428	812	24	2003.64
12	-887.394	812	26	1948.97
13	-905.519	812	28	1998.62
14	-952.35	812	30	2105.68
15	-921.428	812	32	2057.24
16	-947.868	812	34	2123.52
17	-942.342	812	36	2125.87
18	-942.342	812	38	2139.27
19	-919.391	812	40	2106.76
20	-895.088	812	42	2071.55
