SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	1	0	0	0.43	0.31
1	1	0	0	0.43	0.31
2	1	0	0	0.43	0.31
3	0	1	1	0.053	0.12
4	0	1	1	0.053	0.12
5	1	0	0	0.43	0.31
6	1	0	0	0.43	0.31
7	0	1	1	0.053	0.12
8	1	0	0	0.43	0.31
9	1	0	0	0.43	0.31
10	0	1	1	0.053	0.12
11	0	1	1	0.053	0.12
12	1	0	0	0.43	0.31
13	0	1	1	0.053	0.12
14	1	0	0	0.43	0.31
15	1	0	0	0.43	0.31
16	0	1	1	0.053	0.12
17	1	0	0	0.43	0.31
18	1	0	0	0.43	0.31
19	1	0.0011	0	0.43	0.31
20	1	0	0	0.43	0.31
21	1	0	0	0.43	0.31
22	1	0	0	0.43	0.31
23	1	0	0	0.43	0.31
24	0	1	1	0.053	0.12
25	0	1	1	0.053	0.12
26	1	0	0	0.43	0.31
27	1	0	0	0.43	0.31
28	0	1	1	0.053	0.12
29	1	0	0	0.43	0.31
30	0	1	1	0.053	0.12
31	1	0	0	0.43	0.31
32	0	1	1	0.053	0.12
33	1	0	0	0.43	0.31
34	1	0	0	0.43	0.31
35	1	0	0	0.43	0.31
36	1	0	0	0.43	0.31
37	0	1	1	0.053	0.12
38	1	0	0	0.43	0.31
39	1.8e-06	1	1	0.053	0.12
40	1	0	0	0.43	0.31
41	0	1	1	0.053	0.12
42	1	0	0	0.43	0.31
43	1	0	0	0.43	0.31
44	1	0	0	0.43	0.31
45	1	0	0	0.43	0.31
46	0	1	1	0.053	0.12
47	0	1	1	0.053	0.12
48	0	1	1	0.053	0.12
49	0	1	1	0.053	0.12
50	1	0	0	0.43	0.31
51	0	1	1	0.053	0.12
52	0	1	1	0.053	0.12
53	0	1	1	0.053	0.12
54	1	0	0	0.43	0.31
55	0	1	1	0.053	0.12
56	0	1	1	0.053	0.12
57	1	0	0	0.43	0.31
58	0	1	1	0.053	0.12
59	0	1	1	0.053	0.12
60	1	0	0	0.43	0.31
61	1	0	0	0.43	0.31
62	0	1	1	0.053	0.12
63	0	1	1	0.053	0.12
64	0	1	1	0.053	0.12
65	0	1	1	0.053	0.12
66	1	0	0	0.43	0.31
67	1	0	0	0.43	0.31
68	0	1	1	0.053	0.12
69	0	1	1	0.053	0.12
70	0	1	1	0.053	0.12
71	0	1	1	0.053	0.12
72	0	1	1	0.053	0.12
73	0	1	1	0.053	0.12
74	0	1	1	0.053	0.12
75	1	0	0	0.43	0.31
76	0	1	1	0.053	0.12
