SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	1	0	0.0008	0	0	0	0	0.43	0.27
1	0.46	0	0.54	0	0	0	2	0.54	0.35
2	0.18	0	0.82	0	0	0	2	0.54	0.35
3	0	0	0	0	1	0	4	0.058	0.29
4	0	0	0	1	0	0	3	0	0.12
5	1	0	0.0018	0	0	0	0	0.43	0.27
6	0.76	0	0.24	0	0	0	0	0.43	0.27
7	0	0	0	1	0	0	3	0	0.12
8	0.46	0	0.54	0	0	0	2	0.54	0.35
9	1	0	0	0	0	0	0	0.43	0.27
10	0	1	0	0	0	2.9e-06	1	0.11	0
11	0	0	0	1	0	0	3	0	0.12
12	0.99	0	0.0087	0	0	0	0	0.43	0.27
13	0	1	0	0	0	0.00031	1	0.11	0
14	0.99	0	0.0068	0	0	0	0	0.43	0.27
15	0.33	0	0.67	0	0	0	2	0.54	0.35
16	0	0	0	0	1	0	4	0.058	0.29
17	0.00016	0	1	0	0	0	2	0.54	0.35
18	0.47	0	0.53	0	0	0	2	0.54	0.35
19	0.98	0	0.018	0	1.5e-05	0	0	0.43	0.27
20	0.5	0	0.5	0	0	0	2	0.54	0.35
21	0	0	1	0	0	0	2	0.54	0.35
22	1.5e-06	0	1	0	0	0	2	0.54	0.35
23	1	0	0.0029	0	0	0	0	0.43	0.27
24	0	0	0	1	0.00021	0	3	0	0.12
25	0	1	0	0	0	0	1	0.11	0
26	0.022	0	0.98	0	0	0	2	0.54	0.35
27	0.46	0	0.54	0	0	0	2	0.54	0.35
28	0	0	0	0	1	0	4	0.058	0.29
29	1	0	0.00053	0	0	0	0	0.43	0.27
30	0	0.051	0	0	0	0.95	5	0.21	0
31	0.84	0	0.16	0	0	0	0	0.43	0.27
32	0	0	0	1	0.00063	0	3	0	0.12
33	0.86	0	0.14	0	0	0	0	0.43	0.27
34	1	0	8.9e-05	0	0	0	0	0.43	0.27
35	1	0	0.00053	0	0	0	0	0.43	0.27
36	0.0011	0	1	0	0	0	2	0.54	0.35
37	0	0	0	1	0	0	3	0	0.12
38	1	0	0.0016	0	0	0	0	0.43	0.27
39	0	0	0	0	1	0	4	0.058	0.29
40	1	0	0	0	0	0	0	0.43	0.27
41	0	0.58	0	0	0	0.42	1	0.11	0
42	0.0006	0	1	0	0	0	2	0.54	0.35
43	0.41	0	0.59	0	0	0	2	0.54	0.35
44	1	0	0.0036	0	0	0	0	0.43	0.27
45	0.023	0	0.98	0	0	0	2	0.54	0.35
46	0	1	0	0	0	0.0028	1	0.11	0
47	0	0	0	1	0	0	3	0	0.12
48	0	0	0	1	0	0	3	0	0.12
49	0	0	0	0	1	0	4	0.058	0.29
50	0	0	0	0	1	0	4	0.058	0.29
51	0	1	0	0	0	0.0012	1	0.11	0
52	0	0	0	0	0	1	5	0.21	0
53	0	1	0	0	0	0	1	0.11	0
54	0.83	0	0.17	0	0	0	0	0.43	0.27
55	0	0	0	0	1	0	4	0.058	0.29
56	0	1	0	0	0	4.4e-06	1	0.11	0
57	0.62	0	0.38	0	0	0	0	0.43	0.27
58	0	0.0058	0	0	0	0.99	5	0.21	0
59	0	0.064	0.94	0	0	0	2	0.54	0.35
60	0.59	0	0.41	0	0	0	0	0.43	0.27
61	1	0	0.00015	0	8.2e-06	0	0	0.43	0.27
62	0	0	0	0	1	0	4	0.058	0.29
63	0	0	0	1	0	0	3	0	0.12
64	0	0	0	1	0	0	3	0	0.12
65	0	1	0	0	0	0	1	0.11	0
66	0.83	0	0.17	0	0	0	0	0.43	0.27
67	0.89	0	0.11	0	0	0	0	0.43	0.27
68	0	9.5e-05	0	0	0	1	5	0.21	0
69	0	0	0	0	1	0	4	0.058	0.29
70	0	0.00094	0	0	0	1	5	0.21	0
71	0	0	0	1	0	0	3	0	0.12
72	0	0	0	1	0	0	3	0	0.12
73	0	0	0	0	0	1	5	0.21	0
74	0	0.038	0	0	0	0.96	5	0.21	0
75	1	0	0	0	0	0	0	0.43	0.27
76	0	0	0	1	0.00038	0	3	0	0.12
