SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1
0	0.98	0	0.018	0	0	0	0	0	0.43	0.27
1	0.25	0	0.75	0	0	0	0	2	0.52	0.29
2	0.057	0	0.94	0	0	0	0	2	0.52	0.29
3	0	0	0	0	0	0	1	6	0.11	0.14
4	0	0	0	0	1	0	1e-05	4	0	0.12
5	0.9	0	0.1	0	0	0	0	0	0.43	0.27
6	0.82	0	0.18	0	0	0	0	0	0.43	0.27
7	0	0	0	0	1	0	0	4	0	0.12
8	0.36	0	0.64	0	0	0	0	2	0.52	0.29
9	1	0	0.00034	0	0	0	0	0	0.43	0.27
10	0	1	0	2.6e-06	0	0	0	1	0.11	0
11	0	0	0	0	1	0	0	4	0	0.12
12	0.98	0	0.021	0	0	0	0	0	0.43	0.27
13	0	1	0	0.00027	0	0	0	1	0.11	0
14	0.69	0	0.31	0	0	0	0	0	0.43	0.27
15	0.21	0	0.79	0	0	0	0	2	0.52	0.29
16	0	0	0	0	0	1	1.5e-06	5	0.058	0.44
17	0.0029	0	1	0	0	0	0	2	0.52	0.29
18	0.45	0	0.55	0	0	0	0	2	0.52	0.29
19	0.83	0	0.17	0	0	0	8.4e-05	0	0.43	0.27
20	0.29	0	0.71	0	0	0	0	2	0.52	0.29
21	0	0	1	0	0	0	0	2	0.52	0.29
22	5.7e-05	0	1	0	0	0	0	2	0.52	0.29
23	0.9	0	0.099	0	0	0	0	0	0.43	0.27
24	0	0	0	0	1	0	0.0027	4	0	0.12
25	0	1	0	0	0	0	0	1	0.11	0
26	0.13	0	0.87	0	0	0	0	2	0.52	0.29
27	0.68	0	0.32	0	0	0	0	0	0.43	0.27
28	0	0	0	0	0	0	1	6	0.11	0.14
29	0.98	0	0.024	0	0	0	0	0	0.43	0.27
30	0	0.056	0	0.94	0	0	0	3	0.21	0
31	0.7	0	0.3	0	0	0	0	0	0.43	0.27
32	0	0	0	0	1	0	0.00038	4	0	0.12
33	0.79	0	0.21	0	0	0	0	0	0.43	0.27
34	1	0	0.0023	0	0	0	0	0	0.43	0.27
35	1	0	0.0047	0	0	0	0	0	0.43	0.27
36	0.025	0	0.98	0	0	0	0	2	0.52	0.29
37	0	0	0	0	1	0	0	4	0	0.12
38	0.99	0	0.011	0	0	0	0	0	0.43	0.27
39	0	0	0	0	0	1	0.0011	5	0.058	0.44
40	0.2	0	0.8	0	0	0	0	2	0.52	0.29
41	0	0.61	0	0.39	0	0	0	1	0.11	0
42	0.02	0	0.98	0	0	0	0	2	0.52	0.29
43	0.14	0	0.86	0	0	0	0	2	0.52	0.29
44	0.61	0	0.39	0	0	0	0	0	0.43	0.27
45	0.032	0	0.97	0	0	0	0	2	0.52	0.29
46	0	1	0	0.0025	0	0	0	1	0.11	0
47	0	0	0	0	1	0	0	4	0	0.12
48	0	0	0	0	1	0	0	4	0	0.12
49	0	0	0	0	0	0.2	0.8	6	0.11	0.14
50	0	0	0	0	0	1	0	5	0.058	0.44
51	0	1	0	0.0011	0	0	1.2e-05	1	0.11	0
52	0	0	0	1	0	0	0	3	0.21	0
53	0	1	0	0	0	0	0	1	0.11	0
54	0.58	0	0.42	0	0	0	0	0	0.43	0.27
55	0	0	0	0	0	1	0	5	0.058	0.44
56	0	1	0	4e-06	0	0	0	1	0.11	0
57	0.36	0	0.64	0	0	0	0	2	0.52	0.29
58	0	0.0065	0	0.99	0	0	0	3	0.21	0
59	0	1	0	0	0	0	0	1	0.11	0
60	0.14	0	0.86	0	0	0	0	2	0.52	0.29
61	1	0	0.00045	0	0	2.2e-05	0	0	0.43	0.27
62	0	0	0	0	0	6.9e-06	1	6	0.11	0.14
63	0	0	0	0	1	0	0	4	0	0.12
64	0	0	0	0	1	0	0	4	0	0.12
65	0	1	0	0	0	0	0	1	0.11	0
66	0.68	0	0.32	0	0	0	0	0	0.43	0.27
67	0.62	0	0.38	0	0	0	0	0	0.43	0.27
68	0	0.00011	0	1	0	0	0	3	0.21	0
69	0	0	0	0	0	1	0	5	0.058	0.44
70	0	0.001	0	1	0	0	0	3	0.21	0
71	0	0	0	0	1	0	0	4	0	0.12
72	0	0	0	0	1	0	0	4	0	0.12
73	0	0	0	1	0	0	0	3	0.21	0
74	0	0.042	0	0.96	0	0	0	3	0.21	0
75	1	0	1.9e-06	0	0	0	0	0	0.43	0.27
76	0	0	0	0	1	0	0.00074	4	0	0.12
