SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1
0	0.66	0.25	0.086	0	0	0.15	0.29
1	0.06	0	0	0.94	3	0.15	0.032
2	0.32	0.00015	0.68	0	2	0.31	0.52
3	0.65	0.05	0.3	0	0	0.15	0.29
4	1	0.00029	0	0	0	0.15	0.29
5	0.76	0.0081	0.23	0	0	0.15	0.29
6	0.74	0.024	0.24	0	0	0.15	0.29
7	0.34	0.0007	0.66	0	2	0.31	0.52
8	0.51	2e-05	0.49	0	0	0.15	0.29
9	1	0.0021	0	0	0	0.15	0.29
10	0.064	3.5e-05	0.94	0	2	0.31	0.52
11	0.65	0.17	0.18	0	0	0.15	0.29
12	0.44	0.00019	0.56	0	2	0.31	0.52
13	0.23	0	0.77	0	2	0.31	0.52
14	0.41	0.095	0.49	0	2	0.31	0.52
15	0.6	0.059	0.34	0	0	0.15	0.29
16	0.22	4.8e-05	0.78	0	2	0.31	0.52
17	0.43	0.00021	0.57	0	2	0.31	0.52
18	0.53	3.8e-05	0.47	0	0	0.15	0.29
19	0.58	0.0044	0.42	0	0	0.15	0.29
20	0.31	0.067	0.62	0	2	0.31	0.52
21	0.17	0.018	0.81	0	2	0.31	0.52
22	0.25	0.00021	0.75	0	2	0.31	0.52
23	0.22	0	0.78	0	2	0.31	0.52
24	0.69	0.0013	0.31	0	0	0.15	0.29
25	0.82	0.0035	0.18	0	0	0.15	0.29
26	0.6	0.067	0.33	0	0	0.15	0.29
27	0.56	0.14	0.3	0	0	0.15	0.29
28	0.42	0.0003	0.58	0	2	0.31	0.52
29	0.87	0.068	0.065	0	0	0.15	0.29
30	0.4	0.00015	0.59	0	2	0.31	0.52
31	0.6	0.0037	0.4	0	0	0.15	0.29
32	0.26	0.19	0.55	0	2	0.31	0.52
33	0.34	2.2e-06	0.66	0	2	0.31	0.52
34	1	0	0	0	0	0.15	0.29
35	0.56	0.018	0.43	0	0	0.15	0.29
36	0.54	0.018	0.45	0	0	0.15	0.29
37	0.57	0.028	0.41	0	0	0.15	0.29
38	0.59	0.05	0.36	0	0	0.15	0.29
39	0.62	0.23	0.15	0	0	0.15	0.29
40	0.45	0.53	0.017	0	1	0.15	0.43
41	0.00046	0	0	1	3	0.15	0.032
42	0.44	0.0016	0.56	0	2	0.31	0.52
43	0.74	0.083	0.17	0	0	0.15	0.29
44	0.48	0.0014	0.52	0	2	0.31	0.52
45	0.45	0.0027	0.54	0	2	0.31	0.52
46	0.53	0.0013	0.47	0	0	0.15	0.29
47	0.64	0.013	0.35	0	0	0.15	0.29
48	0.8	0.0043	0.19	0	0	0.15	0.29
49	0.31	4e-05	0.69	0	2	0.31	0.52
50	1	0.002	0	0	0	0.15	0.29
51	0.62	0.3	0.078	0	0	0.15	0.29
52	0.25	9.4e-05	0.75	0	2	0.31	0.52
53	0.59	0.26	0.15	0	0	0.15	0.29
54	0.61	0.13	0.26	0	0	0.15	0.29
55	0.21	0.73	0.054	0	1	0.15	0.43
56	0.63	0.25	0.12	0	0	0.15	0.29
57	0.27	0.7	0.038	0	1	0.15	0.43
58	0.85	0.017	0.13	0	0	0.15	0.29
59	0.56	0.17	0.27	0	0	0.15	0.29
60	0.36	0.0041	0.63	0	2	0.31	0.52
61	0.53	0.0043	0.47	0	0	0.15	0.29
