SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0.0018	0.097	0.0018	0.0018	0.66	0.035	0.014	0	0.11	0	0.022	0.027	0	0.0015	0.0012	0.0012	0.018	0	0	4	0.15	0.29
1	0	1.2e-06	0	0	0.014	1.1e-05	0	0	0	0.98	0	0	0.0073	0	0	0	7.2e-06	0	0	9	0.15	0.064
2	0.062	0.085	0.062	0.062	0.25	0.0015	0.011	0	5.4e-05	0	0.017	1.4e-05	0	1.9e-06	0.16	0.16	0.14	1e-05	0	4	0.15	0.29
3	0.023	0.034	0.023	0.023	0.77	0.018	0.018	0	0.026	0	0.028	0.013	0	0.0042	0.0041	0.0041	0.014	1.7e-06	0	4	0.15	0.29
4	1.1e-06	0.31	1.1e-06	1.1e-06	0.35	0.0015	0	0	4.6e-05	0	0	3e-06	0	0	0	0	0.34	0	0	4	0.15	0.29
5	0.0082	0.00098	0.0082	0.0082	0.88	0.016	0.018	0	0.0042	0	0.027	0.018	0	0.01	8.9e-05	8.9e-05	0.00053	0	0	4	0.15	0.29
6	0.011	0.0027	0.011	0.011	0.87	0.019	0.018	0	0.013	0	0.027	0.013	0	0.0071	0.00022	0.00022	0.0012	0	0	4	0.15	0.29
7	0.01	0.21	0.01	0.01	0.041	0.00035	0.002	0	3.9e-05	0	0.003	8.2e-05	0	0	0.24	0.24	0.23	0.0032	0	14	0.38	0.52
8	0.034	6.9e-05	0.034	0.034	0.83	0.0035	0.023	0	1.5e-05	0	0.035	0.0019	0	0.00044	6.5e-05	6.5e-05	0.00016	0	0	4	0.15	0.29
9	0	0.00016	0	0	0.99	0.0053	0	0	0.00096	0	0	0	0	0	0	0	0.00014	0	0	4	0.15	0.29
10	0.26	0.17	0.26	0.26	0.017	1.7e-05	0.00066	0	4.2e-06	0	0.001	0.019	0	0.00042	8.9e-05	8.9e-05	0.011	8.9e-05	0	0	0.31	0.48
11	0.01	0.013	0.01	0.01	0.73	0.025	0.014	0	0.087	0	0.022	0.047	0	0.023	0.00069	0.00069	0.0038	0	0	4	0.15	0.29
12	0.065	0.00024	0.065	0.065	0.38	0.002	0.0084	0	7.4e-05	0	0.013	0.35	0	0.052	1.4e-05	1.4e-05	2e-05	0	0	4	0.15	0.29
13	0.19	2.1e-06	0.19	0.19	0.36	0.00056	0.01	0	0	0	0.016	0.04	0	0.003	1.9e-05	1.9e-05	1.3e-05	0	0	4	0.15	0.29
14	0.079	0.076	0.079	0.079	0.41	0.012	0.016	0	0.043	0	0.025	0.11	0	0.022	0.011	0.011	0.025	0.0013	0	4	0.15	0.29
15	0.039	0.029	0.039	0.039	0.67	0.015	0.016	0	0.03	0	0.024	0.059	0	0.018	0.005	0.005	0.012	4.8e-05	0	4	0.15	0.29
16	0.21	0.0077	0.21	0.21	0.24	0.00095	0.0096	0	2.4e-05	0	0.015	0.00044	0	4.2e-05	0.037	0.037	0.019	2e-05	0	4	0.15	0.29
17	0.094	0.00019	0.094	0.094	0.51	0.0029	0.012	0	0.00011	0	0.019	0.15	0	0.023	7.3e-05	7.3e-05	9.8e-05	0	0	4	0.15	0.29
18	0.036	3.3e-05	0.036	0.036	0.82	0.0038	0.02	0	2.7e-05	0	0.031	0.011	0	0.0026	2.7e-05	2.7e-05	6.9e-05	0	0	4	0.15	0.29
19	0.041	0.012	0.041	0.041	0.78	0.01	0.021	0	0.0027	0	0.032	0.0019	0	0.00058	0.0036	0.0036	0.009	0	0	4	0.15	0.29
20	0.11	0.091	0.11	0.11	0.3	0.0085	0.017	0	0.029	0	0.026	0.12	0	0.022	0.016	0.016	0.031	0.0023	0	4	0.15	0.29
21	0.16	0.088	0.16	0.16	0.16	0.0034	0.017	0	0.0077	0	0.026	0.06	0	0.011	0.044	0.044	0.04	0.023	0	4	0.15	0.29
22	0.21	0.023	0.21	0.21	0.22	0.00088	0.0062	0	8.3e-05	0	0.0095	0.11	0	0.0091	0.00034	0.00034	0.0012	5e-06	0	4	0.15	0.29
23	0.18	0.00018	0.18	0.18	0.42	0.00076	0.016	0	0	0	0.025	0.00032	0	3e-05	0.0014	0.0014	0.00095	0	0	4	0.15	0.29
24	0.011	0.0044	0.011	0.011	0.89	0.011	0.023	0	0.00078	0	0.035	0.00084	0	0.00041	0.00079	0.00079	0.0036	0	0	4	0.15	0.29
25	0.0036	0.00013	0.0036	0.0036	0.91	0.015	0.017	0	0.0018	0	0.026	0.0097	0	0.0069	8.3e-06	8.3e-06	8e-05	0	0	4	0.15	0.29
26	0.034	0.054	0.034	0.034	0.67	0.016	0.017	0	0.034	0	0.025	0.032	0	0.0069	0.0077	0.0077	0.022	4.4e-05	0	4	0.15	0.29
27	0.032	0.049	0.032	0.032	0.6	0.018	0.015	0	0.067	0	0.023	0.088	0	0.02	0.0047	0.0047	0.016	5e-05	0	4	0.15	0.29
28	0.09	0.00082	0.09	0.09	0.41	0.0024	0.0096	0	0.00013	0	0.015	0.25	0	0.036	4.3e-05	4.3e-05	6.1e-05	0	0	4	0.15	0.29
29	0.00055	0.00023	0.00055	0.00055	0.86	0.035	0.012	0	0.03	0	0.019	0.015	0	0.025	2.2e-06	2.2e-06	5.6e-05	0	0	4	0.15	0.29
30	0.1	0.00018	0.1	0.1	0.51	0.0027	0.013	0	8.5e-05	0	0.02	0.12	0	0.018	0.00014	0.00014	0.00017	0	0	4	0.15	0.29
31	0.039	0.00081	0.039	0.039	0.74	0.0089	0.016	0	0.0021	0	0.025	0.07	0	0.02	0.00025	0.00025	0.00063	0	0	4	0.15	0.29
32	0.072	0.07	0.072	0.072	0.22	0.01	0.015	0	0.072	0	0.022	0.29	0	0.061	0.0034	0.0034	0.015	8.6e-05	0	11	0.23	0.52
33	0.066	0.00068	0.066	0.066	0.72	0.0019	0.029	0	2e-06	0	0.044	7.2e-06	0	1.3e-06	0.0017	0.0017	0.0025	0	0	4	0.15	0.29
34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.017	0.29
35	0.058	0.0076	0.058	0.058	0.59	0.0091	0.013	0	0.0087	0	0.021	0.14	0	0.034	0.0014	0.0014	0.0029	3.4e-06	0	4	0.15	0.29
36	0.061	0.011	0.061	0.061	0.51	0.0073	0.011	0	0.0077	0	0.017	0.2	0	0.046	0.00065	0.00065	0.0019	3.7e-06	0	4	0.15	0.29
37	0.052	0.041	0.052	0.052	0.66	0.012	0.017	0	0.015	0	0.026	0.021	0	0.0054	0.01	0.01	0.021	5.9e-05	0	4	0.15	0.29
38	0.045	0.022	0.045	0.045	0.67	0.014	0.016	0	0.026	0	0.024	0.061	0	0.018	0.0041	0.0041	0.0097	2.2e-05	0	4	0.15	0.29
39	0.0098	0.049	0.0098	0.0098	0.66	0.027	0.014	0	0.11	0	0.021	0.057	0	0.011	0.0017	0.0017	0.012	3.1e-06	0	4	0.15	0.29
40	0.00012	0.002	0.00012	0.00012	0.59	0.052	0.008	0	0.31	0	0.012	0.0047	0	0.011	4.6e-06	4.6e-06	0.00021	0	0	4	0.15	0.29
41	0	0	0	0	0.0009	0	0	0	0	0.91	0	0	0.09	0	0	0	1.6e-06	0	0	9	0.15	0.064
42	0.051	0.12	0.051	0.051	0.42	0.0043	0.015	0	0.00071	0	0.024	0.00014	0	9e-06	0.076	0.076	0.11	3.2e-06	0	4	0.15	0.29
