SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0.056	0.12	0.0051	0.025	3.6e-05	0	0.1	8.5e-05	4.4e-05	0.59	0.00097	0	0	0.1	9	0.15	0.29
1	0	0.0002	0	0	0	0	0	0	0	0.068	0	0	0.93	0	12	0.15	0.032
2	0.49	0.0069	0.11	1.8e-05	0.051	0	0.014	0	5.4e-06	0.31	0	0	0	0.014	0	0.31	0.52
3	0.22	0.058	0.0051	0.012	0.00054	0	0.021	0.00042	2.3e-05	0.66	0.00033	0	0	0.021	9	0.15	0.29
4	0	0.013	0	7.2e-06	0	0	0.095	0	0	0.8	0	0	0	0.095	9	0.15	0.29
5	0.17	0.051	0.00014	0.016	5.5e-06	0	0.00031	0.0002	1.9e-05	0.76	0	0	0	0.00031	9	0.15	0.29
6	0.17	0.061	0.00034	0.012	1.8e-05	0	0.0013	0.00038	2.2e-05	0.75	1.4e-05	0	0	0.0013	9	0.15	0.29
7	0.14	0.0032	0.39	0.00021	0.15	0	0.11	0	2.7e-06	0.1	0	0	0	0.11	2	0.38	0.57
8	0.41	0.0091	3.5e-05	0.0014	4.5e-06	0	2.7e-06	0	4.9e-06	0.58	0	0	0	2.7e-06	9	0.15	0.29
9	0	0.02	0	0	0	0	4.2e-05	0	0	0.98	0	0	0	4.2e-05	9	0.15	0.29
10	0.23	8.2e-05	8.4e-06	0.025	0.00028	0	0.36	0	0	0.022	0	0	0	0.36	6	0.23	0.38
11	0.14	0.088	0.0013	0.046	7.4e-05	0	0.014	0.0085	2.8e-05	0.69	0.0058	0	0	0.014	9	0.15	0.29
12	0.31	0.0068	5.9e-06	0.33	3.8e-06	0	0.0055	3.6e-05	2.7e-06	0.34	4.2e-06	0	0	0.0055	9	0.15	0.29
13	0.68	0.0016	3.7e-06	0.033	5.7e-06	0	0.00014	0	0	0.28	0	0	0	0.00014	0	0.31	0.52
14	0.32	0.04	0.012	0.1	0.0028	1.3e-06	0.071	0.0017	2e-05	0.37	0.0057	0	0	0.071	9	0.15	0.29
15	0.25	0.05	0.0051	0.055	0.001	0	0.022	0.0022	1.9e-05	0.59	0.0018	0	0	0.022	9	0.15	0.29
16	0.69	0.004	0.013	0.00051	0.023	0	0.00095	0	2.8e-06	0.26	0	0	0	0.00095	0	0.31	0.52
17	0.42	0.0091	3.1e-05	0.13	2e-05	0	0.0026	1.8e-05	3.9e-06	0.43	0	0	0	0.0026	9	0.15	0.29
18	0.39	0.01	1.5e-05	0.0084	2.2e-06	0	1.6e-06	0	5e-06	0.59	0	0	0	1.6e-06	9	0.15	0.29
19	0.33	0.031	0.003	0.0016	0.00049	0	0.0033	6.6e-06	1.5e-05	0.63	0	0	0	0.0033	9	0.15	0.29
20	0.4	0.029	0.017	0.11	0.0042	0	0.083	0.00099	1.8e-05	0.27	0.0038	0	0	0.083	0	0.31	0.52
21	0.56	0.013	0.035	0.065	0.019	0.001	0.072	0.00044	1.6e-05	0.17	0.00088	0	0	0.072	0	0.31	0.52
22	0.49	0.0034	9.5e-05	0.12	0.00027	0	0.08	5e-06	1.6e-06	0.23	2.4e-06	0	0	0.08	0	0.31	0.52
23	0.72	0.0019	0.00029	0.00022	0.00026	0	3.1e-06	0	1.5e-06	0.28	0	0	0	3.1e-06	0	0.31	0.52
24	0.24	0.033	0.001	0.00072	4.3e-05	0	0.00075	1.5e-06	1.6e-05	0.73	0	0	0	0.00075	9	0.15	0.29
25	0.13	0.05	1.7e-05	0.009	0	0	3.2e-05	6.4e-05	1.8e-05	0.81	0	0	0	3.2e-05	9	0.15	0.29
26	0.24	0.054	0.0086	0.03	0.0013	0	0.039	0.00069	2.1e-05	0.59	0.0014	0	0	0.039	9	0.15	0.29
27	0.21	0.061	0.0063	0.083	0.0008	0	0.047	0.0027	2.2e-05	0.54	0.0097	0	0	0.047	9	0.15	0.29
28	0.37	0.0081	1.8e-05	0.24	1.4e-05	0	0.0098	4e-05	3.2e-06	0.37	4.1e-06	0	0	0.0098	0	0.31	0.52
29	0.045	0.12	1.1e-05	0.015	0	0	0.00016	0.0043	3.4e-05	0.81	6.4e-06	0	0	0.00016	9	0.15	0.29
30	0.46	0.0084	5.5e-05	0.11	3.7e-05	0	0.0019	1.1e-05	3.7e-06	0.43	0	0	0	0.0019	0	0.31	0.52
31	0.3	0.028	0.00019	0.061	3.9e-05	0	0.00057	0.00019	1.1e-05	0.61	2.3e-06	0	0	0.00057	9	0.15	0.29
32	0.29	0.034	0.0059	0.27	0.00057	0	0.093	0.0025	1.9e-05	0.19	0.017	0	0	0.093	0	0.31	0.52
33	0.58	0.004	0.00056	4.3e-06	0.00011	0	1.2e-05	0	3.3e-06	0.41	0	0	0	1.2e-05	0	0.31	0.52
34	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.017	0.29
35	0.29	0.03	0.001	0.13	0.00038	0	0.013	0.0013	1.1e-05	0.52	0.00082	0	0	0.013	9	0.15	0.29
36	0.28	0.025	0.00044	0.19	0.0002	0	0.025	0.0014	8.8e-06	0.46	0.0011	0	0	0.025	9	0.15	0.29
37	0.3	0.04	0.009	0.02	0.0023	0	0.023	0.00034	1.7e-05	0.58	0.00027	0	0	0.023	9	0.15	0.29
38	0.26	0.047	0.0038	0.056	0.00091	0	0.017	0.002	1.7e-05	0.59	0.0014	0	0	0.017	9	0.15	0.29
