SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.032	0.34	0.0019	5e-05	0	0	0.13	0.026	3.5e-05	0.0019	0.34	0.033	0.0016	0	0.089	0.0019	1	0.15	0.29
1	0	0.0069	0	0	0	0.99	0	0	0	0	0.0069	1.3e-05	0	0.00082	1.1e-06	0	5	0.15	0.064
2	0.029	0.16	0.078	0.0076	0	0	7.5e-05	1.6e-05	0.00054	0.078	0.16	0.32	2.4e-06	0	0.096	0.078	11	0.23	0.29
3	0.04	0.39	0.024	0.00016	0	0	0.029	0.013	0.00017	0.024	0.39	0.026	0.0043	0	0.031	0.024	1	0.15	0.29
4	0	0.14	0	0	0	0	4e-05	2.3e-06	0	0	0.14	0.5	0	0	0.22	0	11	0.23	0.29
5	0.039	0.45	0.0084	3.5e-06	0	0	0.0047	0.017	1.4e-05	0.0084	0.45	0.00099	0.01	0	0.00089	0.0084	1	0.15	0.29
6	0.039	0.44	0.011	8.8e-06	0	0	0.014	0.013	3.2e-05	0.011	0.44	0.0022	0.0072	0	0.0025	0.011	1	0.15	0.29
7	0.0061	0.03	0.015	0.013	0	0	6.2e-05	0.00011	0.00058	0.015	0.03	0.61	1.4e-06	0	0.27	0.015	11	0.23	0.29
8	0.049	0.42	0.035	2.6e-06	0	0	1.6e-05	0.0018	4.3e-05	0.035	0.42	0.00029	0.00045	0	6.3e-05	0.035	1	0.15	0.29
9	0	0.5	0	0	0	0	0.0011	0	0	0	0.5	0.00026	0	0	0.00014	0	1	0.15	0.29
10	0.0014	0.0084	0.26	3.4e-06	0	0	4.5e-06	0.017	0.021	0.26	0.0084	0.021	0.00041	0	0.15	0.26	2	0.31	0.48
11	0.032	0.38	0.01	2.7e-05	0	0	0.097	0.045	6.3e-05	0.01	0.38	0.007	0.023	0	0.012	0.01	1	0.15	0.29
12	0.018	0.19	0.066	0	0	0	8.3e-05	0.34	0.00057	0.066	0.19	3.8e-05	0.053	0	0.00022	0.066	7	0.23	0.52
13	0.023	0.18	0.19	0	0	0	0	0.038	0.0011	0.19	0.18	2.3e-05	0.003	0	1.9e-06	0.19	2	0.31	0.48
14	0.036	0.21	0.082	0.00046	1.3e-06	0	0.048	0.11	0.0021	0.082	0.21	0.047	0.023	0	0.07	0.082	1	0.15	0.29
15	0.034	0.34	0.04	0.0002	0	0	0.033	0.057	0.00054	0.04	0.34	0.023	0.019	0	0.027	0.04	1	0.15	0.29
16	0.022	0.13	0.22	0.0015	0	0	2.8e-05	0.00044	0.0042	0.22	0.13	0.036	4.4e-05	0	0.0073	0.22	2	0.31	0.48
17	0.027	0.26	0.095	2.9e-06	0	0	0.00013	0.15	0.00086	0.095	0.26	0.00018	0.023	0	0.00017	0.095	1	0.15	0.29
18	0.044	0.42	0.036	1.1e-06	0	0	3e-05	0.011	5.8e-05	0.036	0.42	0.00013	0.0026	0	3e-05	0.036	1	0.15	0.29
19	0.047	0.4	0.042	0.00014	0	0	0.003	0.0018	0.00022	0.042	0.4	0.017	0.00059	0	0.011	0.042	1	0.15	0.29
20	0.038	0.15	0.11	0.00064	0	0	0.033	0.12	0.003	0.11	0.15	0.058	0.023	0	0.084	0.11	1	0.15	0.29
21	0.04	0.088	0.18	0.0019	0.00098	0	0.0092	0.062	0.0055	0.18	0.088	0.08	0.012	0	0.086	0.18	2	0.31	0.48
22	0.013	0.11	0.21	1.3e-05	0	0	9.1e-05	0.1	0.006	0.21	0.11	0.0022	0.0091	0	0.021	0.21	2	0.31	0.48
23	0.036	0.21	0.18	5.5e-05	0	0	0	0.0003	0.0007	0.18	0.21	0.0017	3e-05	0	0.00016	0.18	1	0.15	0.29
24	0.05	0.45	0.011	3.1e-05	0	0	0.00086	0.00081	1.3e-05	0.011	0.45	0.0066	0.00042	0	0.004	0.011	1	0.15	0.29
25	0.037	0.47	0.0037	0	0	0	0.002	0.0093	2.5e-06	0.0037	0.47	0.00015	0.0071	0	0.00012	0.0037	1	0.15	0.29
26	0.036	0.35	0.035	0.00031	0	0	0.038	0.031	0.00049	0.035	0.35	0.04	0.0071	0	0.049	0.035	1	0.15	0.29
27	0.033	0.31	0.033	0.00019	0	0	0.075	0.085	0.00055	0.033	0.31	0.029	0.021	0	0.045	0.033	1	0.15	0.29
28	0.021	0.21	0.092	1.7e-06	0	0	0.00015	0.24	0.0011	0.092	0.21	0.00011	0.037	0	0.00074	0.092	7	0.23	0.52
