SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1
0	0.024	0.00041	0.12	0.00041	0.14	0.015	0	0	0.005	0.032	0.66	10	0.15	0.29
1	0	0	0	0	1.3e-06	0	0	0.99	0	0	0.01	7	0.15	0.064
2	0.028	0.075	8.5e-05	0.075	0.19	0.017	0	0	0.25	2.5e-05	0.37	10	0.15	0.29
3	0.032	0.0014	0.029	0.0014	0.052	0.019	0	0	0.066	0.017	0.78	10	0.15	0.29
4	0	0	6e-05	0	0.57	0	0	0	3.7e-06	4.5e-06	0.43	4	0.23	0.34
5	0.031	3e-05	0.0046	3e-05	0.0015	0.019	0	0	0.023	0.023	0.9	10	0.15	0.29
6	0.031	7.5e-05	0.014	7.5e-05	0.0041	0.019	0	0	0.032	0.016	0.88	10	0.15	0.29
7	0.0063	0.15	7.7e-05	0.15	0.57	0.0038	0	0	0.053	0.00019	0.077	4	0.23	0.34
8	0.04	2.2e-05	1.6e-05	2.2e-05	0.0001	0.024	0	0	0.097	0.0023	0.84	10	0.15	0.29
9	0	0	0.001	0	0.00024	0	0	0	0	0	1	10	0.15	0.29
10	0.0011	2.9e-05	4.4e-06	2.9e-05	0.24	0.00067	0	0	0.72	0.023	0.017	8	0.31	0.48
11	0.026	0.00023	0.095	0.00023	0.02	0.015	0	0	0.029	0.059	0.76	10	0.15	0.29
12	0.014	4.5e-06	7.7e-05	4.5e-06	0.00035	0.0086	0	0	0.18	0.43	0.37	9	0.23	0.52
13	0.019	6.6e-06	0	6.6e-06	4.7e-06	0.011	0	0	0.55	0.051	0.37	8	0.31	0.48
14	0.029	0.0039	0.047	0.0039	0.12	0.017	1.3e-06	0	0.23	0.14	0.42	10	0.15	0.29
15	0.028	0.0017	0.032	0.0017	0.045	0.017	0	0	0.11	0.074	0.69	10	0.15	0.29
16	0.019	0.014	2.9e-05	0.014	0.013	0.011	0	0	0.66	0.00061	0.27	8	0.31	0.48
17	0.021	2.5e-05	0.00012	2.5e-05	0.00028	0.013	0	0	0.26	0.19	0.51	10	0.15	0.29
18	0.035	9.1e-06	2.9e-05	9.1e-06	5e-05	0.021	0	0	0.1	0.014	0.83	10	0.15	0.29
19	0.038	0.0012	0.003	0.0012	0.019	0.023	0	0	0.12	0.0023	0.8	10	0.15	0.29
20	0.031	0.0055	0.032	0.0055	0.14	0.018	0	0	0.31	0.15	0.31	8	0.31	0.48
21	0.033	0.016	0.0092	0.016	0.15	0.02	0.00098	0	0.5	0.083	0.18	8	0.31	0.48
22	0.011	0.00011	8.9e-05	0.00011	0.035	0.0066	0	0	0.59	0.14	0.22	8	0.31	0.48
23	0.03	0.00049	0	0.00049	0.00027	0.018	0	0	0.52	0.00041	0.44	8	0.31	0.48
24	0.04	0.00027	0.00083	0.00027	0.0066	0.024	0	0	0.031	0.001	0.9	10	0.15	0.29
25	0.03	2.8e-06	0.0019	2.8e-06	0.0002	0.018	0	0	0.01	0.012	0.93	10	0.15	0.29
26	0.029	0.0026	0.037	0.0026	0.082	0.018	0	0	0.098	0.04	0.69	10	0.15	0.29
27	0.026	0.0016	0.073	0.0016	0.074	0.016	0	0	0.091	0.11	0.61	10	0.15	0.29
28	0.017	1.4e-05	0.00014	1.4e-05	0.0012	0.0099	0	0	0.25	0.31	0.41	10	0.15	0.29
29	0.023	0	0.034	0	0.00037	0.014	0	0	0.0016	0.02	0.91	10	0.15	0.29
30	0.023	4.7e-05	9.1e-05	4.7e-05	0.00027	0.014	0	0	0.29	0.15	0.52	10	0.15	0.29
31	0.029	8.4e-05	0.0023	8.4e-05	0.0012	0.017	0	0	0.11	0.087	0.75	10	0.15	0.29
32	0.025	0.0011	0.077	0.0011	0.1	0.015	0	0	0.2	0.36	0.22	9	0.23	0.52
33	0.051	0.00056	2.2e-06	0.00056	0.001	0.03	0	0	0.19	8.9e-06	0.73	10	0.15	0.29
34	0	0	0	0	0	0	0	0.018	0	0	0.98	10	0.15	0.29
35	0.024	0.00048	0.0095	0.00048	0.012	0.014	0	0	0.17	0.17	0.6	10	0.15	0.29
36	0.02	0.00022	0.0083	0.00022	0.016	0.012	0	0	0.17	0.25	0.52	10	0.15	0.29
37	0.03	0.0035	0.017	0.0035	0.064	0.018	0	0	0.15	0.027	0.69	10	0.15	0.29
38	0.028	0.0014	0.028	0.0014	0.034	0.017	0	0	0.13	0.077	0.69	10	0.15	0.29
39	0.024	0.00058	0.12	0.00058	0.074	0.015	0	0	0.027	0.07	0.67	10	0.15	0.29
40	0.014	1.6e-06	0.35	1.6e-06	0.003	0.0086	0	0	0.00035	0.006	0.62	10	0.15	0.29
41	0	0	0	0	0	0	0	1	0	0	0.00074	7	0.15	0.064
42	0.032	0.03	0.00091	0.03	0.21	0.019	0	0	0.17	0.00021	0.5	10	0.15	0.29
43	0.0071	0.00033	0.037	0.00033	0.072	0.0042	0	2.9e-05	0.083	0.11	0.69	10	0.15	0.29
44	0.039	0.0035	0.001	0.0035	0.029	0.023	0	0	0.18	0.00047	0.72	10	0.15	0.29
45	0.033	0.0064	0.0018	0.0064	0.043	0.02	0	0	0.26	0.0036	0.62	10	0.15	0.29
46	0.034	0.00053	0.00087	0.00053	0.0045	0.02	0	0	0.15	0.028	0.76	10	0.15	0.29
47	0.037	0.0035	0.0074	0.0035	0.09	0.022	0	0	0.066	0.0016	0.77	10	0.15	0.29
48	0.033	1.3e-05	0.0024	1.3e-05	0.00085	0.02	0	0	0.012	0.0035	0.93	10	0.15	0.29
49	0.025	0.00025	2.9e-05	0.00025	0.00041	0.015	0	0	0.48	0.0095	0.47	8	0.31	0.48
50	0	0	0.00096	0	0.0064	0	0	0	0	3e-06	0.99	10	0.15	0.29
51	0.0056	0	0.057	0	0.00011	0.0034	0	0	0.0025	0.69	0.25	9	0.23	0.52
52	0.02	0.0053	5.8e-05	0.0053	0.0069	0.012	0	0	0.62	0.002	0.32	8	0.31	0.48
53	0.022	0.00018	0.14	0.00018	0.019	0.013	0	0	0.026	0.11	0.67	10	0.15	0.29
54	0.027	0.0016	0.067	0.0016	0.089	0.016	0	0	0.066	0.071	0.66	10	0.15	0.29
55	0.00043	0	0.031	0	1.7e-05	0.00026	0	0	0.00065	0.95	0.019	9	0.23	0.52
56	0.024	0.00044	0.13	0.00044	0.083	0.014	0	0	0.018	0.051	0.68	10	0.15	0.29
57	0.0099	3.7e-05	0.4	3.7e-05	0.024	0.0059	0	0	0.0096	0.23	0.32	2	0.15	0.43
58	0.023	0	0.0082	0	0.00011	0.014	0	0	0.0071	0.1	0.85	10	0.15	0.29
59	0.02	0.0023	0.062	0.0023	0.24	0.012	0	0	0.088	0.14	0.43	10	0.15	0.29
60	0.019	0.0062	0.0021	0.0062	0.07	0.012	0	0	0.48	0.032	0.38	8	0.31	0.48
61	0.012	0.045	0.00067	0.045	0.69	0.0071	0	0	0.027	0.00097	0.17	4	0.23	0.34
62	0.028	3.5e-06	0.0076	3.5e-06	0.00053	0.017	0	0	0.0055	0.0093	0.93	10	0.15	0.29
63	0.004	0	6.8e-05	0	0.0024	0.0024	0	0	0.11	0.77	0.11	9	0.23	0.52
64	0	0	0.032	0	0.018	0	0	0	5.3e-05	0.0014	0.95	10	0.15	0.29
65	0.028	0.014	0.0025	0.014	0.41	0.017	0	0	0.028	0.00054	0.49	10	0.15	0.29
66	0.03	0.0048	0.0033	0.0048	0.035	0.018	0	0	0.3	0.012	0.6	10	0.15	0.29
67	0.03	0.0087	0.022	0.0087	0.12	0.018	0.00011	0	0.31	0.09	0.39	10	0.15	0.29
68	0.029	0.00079	0.015	0.00079	0.017	0.018	0	0	0.12	0.064	0.73	10	0.15	0.29
69	0.012	0.0001	0.0013	0.0001	0.052	0.007	0	0	0.39	0.28	0.26	8	0.31	0.48
70	0.027	8e-06	0.0032	8e-06	0.0003	0.016	0	0	0.033	0.092	0.83	10	0.15	0.29
71	0.036	0.014	0.0019	0.014	0.19	0.022	0	0	0.088	0.00027	0.63	10	0.15	0.29
72	0.0023	2.2e-05	0.13	2.2e-05	0.039	0.0014	0	0	0.025	0.15	0.65	10	0.15	0.29
73	0.04	0.00078	0.0031	0.00078	0.028	0.024	0	0	0.54	0.34	0.017	8	0.31	0.48
74	0.025	0.015	0.0022	0.015	0.0014	0.015	0	0	0.18	0.00091	0.75	10	0.15	0.29
75	0.025	0.0015	0.062	0.0015	0.071	0.015	2.6e-05	0	0.16	0.2	0.46	10	0.15	0.29
76	0.041	0.0085	0.013	0.0085	0.0037	0.024	0	0	0.12	0.0039	0.78	10	0.15	0.29
77	0.03	0.00088	0.0032	0.00088	0.039	0.018	0	0	0.67	0.23	0.0017	8	0.31	0.48
78	0.00012	0.00064	0.016	0.00064	0.084	7.1e-05	0	0	0.0041	0.0032	0.89	10	0.15	0.29
79	0.0053	1.3e-05	0.24	1.3e-05	0.042	0.0032	0	0	0.049	0.51	0.16	9	0.23	0.52
80	0.0049	0.00021	0.083	0.00021	0.038	0.003	0	0	0.028	0.098	0.75	10	0.15	0.29
81	0.18	0.0033	2.9e-05	0.0033	1.1e-05	0.11	0	0	0.64	0.056	0.0094	8	0.31	0.48
82	0.019	0.0028	0	0.0028	2.8e-05	0.011	0	0	0.96	0.0023	0.0014	8	0.31	0.48
83	0.0019	6.2e-06	0.11	6.2e-06	0.22	0.0011	0	0	0.083	0.39	0.19	9	0.23	0.52
84	0	0	0	0	0	0	0	0.93	0	0	0.067	7	0.15	0.064
85	0.16	0.0013	0	0.0013	0	0.094	0	0	0.74	0.0056	9.3e-05	8	0.31	0.48
86	0.043	3.6e-05	0.00068	3.6e-05	0.12	0.026	0	0	0.13	0.63	0.044	9	0.23	0.52
87	0.077	0.0071	0.012	0.0071	0.076	0.046	1e-05	0	0.49	0.21	0.075	8	0.31	0.48
88	0.16	0.0011	0.00042	0.0011	0.00017	0.095	0	0	0.29	0.44	0.01	9	0.23	0.52
89	0	0	0	0	0	0	0	1	0	0	0	7	0.15	0.064
90	0.1	0.011	0.0032	0.011	0.00042	0.061	0	0	0.49	0.021	0.3	8	0.31	0.48
91	0.036	2.8e-05	0.00012	2.8e-05	0.00015	0.022	0	0	0.16	0.78	7.2e-06	9	0.23	0.52
92	0	0	0.027	0	2e-05	0	0	0	0	0	0.97	10	0.15	0.29
93	0.0095	9.7e-06	0.033	9.7e-06	0.0052	0.0057	0	0	0.046	0.75	0.15	9	0.23	0.52
94	1.3e-05	0	0.038	0	0.017	7.5e-06	0	0	0.00056	0.0043	0.94	10	0.15	0.29
95	0	0	0.0013	0	0.00036	0	0	0	0	0	1	10	0.15	0.29
96	0	0	9.4e-05	0	0.00052	0	0	4.9e-06	0	0	1	10	0.15	0.29
97	8.8e-05	0	0.00016	0	0.002	5.3e-05	0	0	0.01	0.99	0.0013	9	0.23	0.52
