k	loglikelihood	observations	parameters	BIC
1	-4561.26	7690	4	9158.31
2	-4229.18	7690	6	8512.05
3	-4073.34	7690	8	8218.25
4	-4052.69	7690	10	8194.85
5	-3865.5	7690	12	7838.38
6	-3868.96	7690	14	7863.19
7	-3920.7	7690	16	7984.56
8	-3863.94	7690	18	7888.93
9	-4005.12	7690	20	8189.2
10	-3992.18	7690	22	8181.21
11	-3982.73	7690	24	8180.2
12	-3905.49	7690	26	8043.62
13	-3986.25	7690	28	8223.04
14	-3895.67	7690	30	8059.78
15	-3900.81	7690	32	8087.94
16	-3904.19	7690	34	8112.6
17	-3830.56	7690	36	7983.23
18	-3865.25	7690	38	8070.5
19	-3871.84	7690	40	8101.59
20	-3818.09	7690	42	8011.98
