SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.0023	0	0.019	0.18	8e-05	0.0021	0	0.0067	0.019	0.67	0	0	0	0.0016	0	0.096	0.0039	9	0.15	0.29
1	0	0	0	0	0	0	0	0	0	0.096	0.9	0	0	0	0	0	0	10	0.1	0.032
2	0.087	0	0.14	0.002	7.9e-06	0.0019	0	0.11	0.14	0.29	0	0	0	0.23	0	5.2e-05	5.7e-06	9	0.15	0.29
3	0.028	0	0.075	0.028	4.1e-05	0.0026	0	0.0066	0.075	0.75	0	0	0	0.0053	0	0.021	0.01	9	0.15	0.29
4	3.8e-06	0	0	0.015	0	0	0	0	0	0.99	0	0	0	0	0	0.00011	0	9	0.15	0.29
5	0.0097	0	0.056	0.00036	3.3e-05	0.0025	0	0.00018	0.056	0.85	0	0	0	0.00011	0	0.0034	0.025	9	0.15	0.29
6	0.013	0	0.059	0.0013	3.9e-05	0.0026	0	0.00043	0.059	0.84	0	0	0	0.00028	0	0.01	0.017	9	0.15	0.29
7	0.021	0	0.03	0.021	2.9e-06	0.00049	0	0.31	0.03	0.069	0	0	0	0.52	0	5.4e-05	4e-06	13	0.38	0.52
8	0.034	0	0.15	1.9e-05	9.2e-06	0.0027	0	4.7e-05	0.15	0.67	0	0	0	6.9e-05	0	1e-05	0.00091	9	0.15	0.29
9	0	0	0	1.6e-05	0	0	0	0	0	1	0	0	0	0	0	0.00081	0	9	0.15	0.29
10	0.39	0	0.067	0.46	0	0.00012	0	9e-06	0.067	0.02	0	0	0	0.00014	0	4.2e-06	0.0013	3	0.23	0.43
11	0.013	0	0.045	0.028	4.9e-05	0.0022	0	0.0016	0.045	0.73	0	0	0	0.00091	0	0.073	0.058	9	0.15	0.29
12	0.088	0	0.12	0.11	5.3e-06	0.0014	0	8.4e-06	0.12	0.42	0	0	0	2e-05	0	6.8e-05	0.15	9	0.15	0.29
13	0.21	0	0.23	0.0078	1.7e-06	0.0014	0	4.7e-06	0.23	0.31	0	0	0	2.2e-05	0	0	0.0067	9	0.15	0.29
14	0.097	0	0.11	0.15	3.6e-05	0.0024	0	0.016	0.11	0.41	0	1.3e-06	0	0.015	0	0.036	0.057	9	0.15	0.29
15	0.047	0	0.083	0.044	3.3e-05	0.0023	0	0.0064	0.083	0.66	0	0	0	0.0064	0	0.024	0.045	9	0.15	0.29
16	0.28	0	0.2	0.00063	4.2e-06	0.0015	0	0.014	0.2	0.25	0	0	0	0.052	0	2.1e-05	0.00011	0	0.31	0.48
17	0.11	0	0.15	0.044	7.1e-06	0.0018	0	4e-05	0.15	0.49	0	0	0	9.3e-05	0	9e-05	0.056	9	0.15	0.29
18	0.037	0	0.14	0.00017	9.3e-06	0.0025	0	2e-05	0.14	0.68	0	0	0	3e-05	0	1.9e-05	0.0055	9	0.15	0.29
19	0.046	0	0.11	0.0018	2.6e-05	0.0029	0	0.0039	0.11	0.71	0	0	0	0.0043	0	0.0021	0.0013	9	0.15	0.29
20	0.13	0	0.13	0.17	3.3e-05	0.0026	0	0.021	0.13	0.3	0	0	0	0.021	0	0.024	0.056	9	0.15	0.29
21	0.21	0	0.18	0.12	2.6e-05	0.0027	0	0.042	0.18	0.17	0	0.00098	0	0.062	0	0.0069	0.029	0	0.31	0.48
22	0.25	0	0.14	0.24	2.5e-06	0.0009	0	0.0001	0.14	0.21	0	0	0	0.00043	0	6.7e-05	0.023	0	0.31	0.48
23	0.17	0	0.25	2.7e-05	2.7e-06	0.0019	0	0.00038	0.25	0.32	0	0	0	0.0014	0	0	5.8e-05	9	0.15	0.29
24	0.013	0	0.081	0.00017	2.9e-05	0.0031	0	0.0013	0.081	0.82	0	0	0	0.00096	0	0.0006	0.00096	9	0.15	0.29
25	0.0043	0	0.043	3.7e-05	3.1e-05	0.0024	0	2.2e-05	0.043	0.89	0	0	0	1.1e-05	0	0.0014	0.017	9	0.15	0.29
26	0.042	0	0.081	0.064	3.8e-05	0.0024	0	0.011	0.081	0.66	0	0	0	0.01	0	0.028	0.017	9	0.15	0.29
27	0.039	0	0.069	0.1	4.1e-05	0.0022	0	0.0079	0.069	0.59	0	0	0	0.0062	0	0.056	0.052	9	0.15	0.29
28	0.11	0	0.13	0.11	6e-06	0.0015	0	2.4e-05	0.13	0.42	0	0	0	5.8e-05	0	0.00011	0.094	9	0.15	0.29
29	0.0007	0	0.015	0.00013	5.8e-05	0.0019	0	1.3e-05	0.015	0.88	0	0	0	2.9e-06	0	0.026	0.064	9	0.15	0.29
30	0.12	0	0.16	0.034	6.8e-06	0.0018	0	7.2e-05	0.16	0.48	0	0	0	0.00017	0	6.6e-05	0.043	9	0.15	0.29
31	0.045	0	0.1	0.0078	1.9e-05	0.0023	0	0.00025	0.1	0.69	0	0	0	0.00031	0	0.0016	0.047	9	0.15	0.29
32	0.088	0	0.099	0.27	3.5e-05	0.0022	0	0.0076	0.099	0.22	0	0	0	0.0044	0	0.059	0.15	3	0.23	0.43
33	0.057	0	0.22	0	6.5e-06	0.003	0	0.00078	0.22	0.51	0	0	0	0.0016	0	1.2e-06	2.3e-06	9	0.15	0.29
34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0.097
35	0.07	0	0.098	0.061	2e-05	0.002	0	0.0013	0.098	0.58	0	0	0	0.0018	0	0.0071	0.085	9	0.15	0.29
36	0.074	0	0.092	0.11	1.6e-05	0.0017	0	0.00055	0.092	0.5	0	0	0	0.00085	0	0.0063	0.11	9	0.15	0.29
37	0.063	0	0.1	0.032	3e-05	0.0025	0	0.011	0.1	0.65	0	0	0	0.013	0	0.012	0.013	9	0.15	0.29
38	0.054	0	0.089	0.038	3.1e-05	0.0023	0	0.0048	0.089	0.65	0	0	0	0.0053	0	0.021	0.045	9	0.15	0.29
39	0.012	0	0.037	0.12	5.6e-05	0.0021	0	0.0051	0.037	0.67	0	0	0	0.0023	0	0.094	0.028	9	0.15	0.29
40	0.00017	0	0.0055	0.0073	8.7e-05	0.0013	0	5.7e-05	0.0055	0.66	0	0	0	6.7e-06	0	0.29	0.031	9	0.15	0.29
41	0	0	0	0	0	0	0	0	0	0.00089	1	0	0	0	0	0	0	10	0.1	0.032
42	0.069	0	0.13	0.012	1.8e-05	0.0026	0	0.077	0.13	0.46	0	0	0	0.11	0	0.00065	2.6e-05	9	0.15	0.29
43	0.038	0	0.036	0.1	6.4e-06	0.00062	5.8e-05	0.00081	0.036	0.7	0	0	0	0.0013	0	0.03	0.048	9	0.15	0.29
44	0.07	0	0.15	0.0013	2e-05	0.0029	0	0.0085	0.15	0.61	0	0	0	0.012	0	0.00069	0.0002	9	0.15	0.29
45	0.1	0	0.15	0.0045	1.8e-05	0.0025	0	0.014	0.15	0.55	0	0	0	0.023	0	0.0012	0.0014	9	0.15	0.29
46	0.059	0	0.13	0.0024	1.7e-05	0.0026	0	0.0013	0.13	0.66	0	0	0	0.0018	0	0.0006	0.013	9	0.15	0.29
