SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0.76	0.054	0.0047	0.16	0.022	0	0	0	0	0.15	0.29
1	0.11	0	0	0	0	0	0.89	0	6	0.1	0.032
2	0.35	0.051	0.19	0.00021	0.4	0	0	0	4	0.38	0.57
3	0.83	0.065	0.056	0.028	0.021	0	0	0	0	0.15	0.29
4	1	0	7e-06	0.00078	0	0	0	0	0	0.15	0.29
5	0.91	0.061	0.019	0.0057	0.00057	0	0	0	0	0.15	0.29
6	0.9	0.062	0.026	0.0058	0.0014	0	0	0	0	0.15	0.29
7	0.068	0.011	0.038	0.0033	0.88	0	0	0	4	0.38	0.57
8	0.84	0.076	0.079	0.00079	0.00017	0	0	0	0	0.15	0.29
9	1	0	0	3.6e-06	0	0	0	0	0	0.15	0.29
10	0.021	0.0027	0.73	0.24	2.7e-05	0	0	0	2	0.31	0.48
11	0.86	0.056	0.027	0.056	0.0053	0	0	0	0	0.15	0.29
12	0.37	0.027	0.14	0.46	2.2e-05	0	0	0	3	0.23	0.48
13	0.4	0.039	0.49	0.072	1.8e-05	0	0	0	2	0.31	0.48
14	0.45	0.06	0.2	0.24	0.051	0	0	0	0	0.15	0.29
15	0.74	0.057	0.097	0.086	0.021	0	0	0	0	0.15	0.29
16	0.3	0.041	0.6	0.0014	0.049	0	0	0	2	0.31	0.48
17	0.53	0.042	0.22	0.21	0.00013	0	0	0	0	0.15	0.29
18	0.84	0.069	0.082	0.0054	7.1e-05	0	0	0	0	0.15	0.29
19	0.82	0.074	0.096	0.0018	0.013	0	0	0	0	0.15	0.29
20	0.33	0.063	0.27	0.27	0.067	0	0	0	0	0.15	0.29
21	0.19	0.069	0.43	0.17	0.14	0	0	0	2	0.31	0.48
22	0.21	0.02	0.44	0.33	0.00029	0	0	0	2	0.31	0.48
23	0.48	0.062	0.46	0.00043	0.0016	0	0	0	0	0.15	0.29
24	0.89	0.076	0.025	0.00025	0.0042	0	0	0	0	0.15	0.29
25	0.93	0.057	0.0082	0.0017	6.6e-05	0	0	0	0	0.15	0.29
26	0.74	0.06	0.085	0.08	0.036	0	0	0	0	0.15	0.29
27	0.66	0.055	0.08	0.18	0.026	0	0	0	0	0.15	0.29
28	0.4	0.031	0.19	0.38	6.5e-05	0	0	0	0	0.15	0.29
29	0.95	0.046	0.0014	0.0015	4.2e-05	0	0	0	0	0.15	0.29
30	0.54	0.045	0.24	0.17	0.00023	0	0	0	0	0.15	0.29
31	0.79	0.058	0.094	0.059	0.00082	0	0	0	0	0.15	0.29
32	0.23	0.051	0.17	0.52	0.023	0	0	0	3	0.23	0.48
33	0.74	0.099	0.15	3.5e-06	0.0034	0	0	0	0	0.15	0.29
34	0	0	0	0	0	1	0	0	5	0	0.13
35	0.63	0.048	0.14	0.18	0.0042	0	0	0	0	0.15	0.29
36	0.52	0.039	0.14	0.29	0.0017	0	0	0	0	0.15	0.29
37	0.73	0.062	0.13	0.042	0.038	0	0	0	0	0.15	0.29
38	0.73	0.057	0.11	0.085	0.016	0	0	0	0	0.15	0.29
39	0.75	0.052	0.025	0.16	0.017	0	0	0	0	0.15	0.29
40	0.95	0.042	0.00044	0.0093	0.00024	0	0	0	0	0.15	0.29
41	0.001	0	0	0	0	0	1	0	6	0.1	0.032
