SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0.053	0.00011	0.07	0.07	0.002	0.023	0.17	0.58	0.026	0	7	0.15	0.29
1	0	0	1.6e-05	1.6e-05	0	7e-06	0	0.0089	0	0.99	9	0.15	0.064
2	0.33	0	0.003	0.003	0.25	0.18	0.017	0.22	1.4e-05	0	0	0.31	0.52
3	0.21	6.6e-05	0.035	0.035	0.0064	0.018	0.035	0.65	0.013	0	7	0.15	0.29
4	0	0	0.0038	0.0038	0	0.54	0.076	0.37	3.6e-06	0	5	0.23	0.29
5	0.16	0	0.031	0.031	0.00014	0.00068	0.00053	0.76	0.018	0	7	0.15	0.29
6	0.17	0	0.037	0.037	0.00035	0.0015	0.0021	0.74	0.013	0	7	0.15	0.29
7	0.06	0	0.00085	0.00085	0.46	0.36	0.078	0.043	9.5e-05	0	4	0.38	0.52
8	0.4	0	0.0057	0.0057	8.5e-05	0.00017	4.7e-06	0.59	0.0015	0	7	0.15	0.29
9	0	0	0.012	0.012	0	0.00021	7.2e-05	0.98	0	0	7	0.15	0.29
10	0.25	0	5.6e-05	5.6e-05	0.00023	0.024	0.67	0.024	0.03	0	6	0.23	0.38
11	0.13	0.0022	0.054	0.054	0.0012	0.0052	0.023	0.68	0.048	0	7	0.15	0.29
12	0.3	1.1e-06	0.0042	0.0042	2.2e-05	2.6e-05	0.0093	0.33	0.35	0	8	0.23	0.52
13	0.67	0	0.001	0.001	2.9e-05	1.5e-05	0.00025	0.29	0.036	0	0	0.31	0.52
14	0.31	0.0032	0.025	0.025	0.019	0.033	0.12	0.36	0.11	0	7	0.15	0.29
15	0.24	0.0009	0.03	0.03	0.008	0.016	0.037	0.58	0.058	0	7	0.15	0.29
16	0.64	0	0.0023	0.0023	0.072	0.029	0.0016	0.25	0.00052	0	0	0.31	0.52
17	0.41	0	0.0057	0.0057	0.00011	0.00012	0.0044	0.43	0.14	0	7	0.15	0.29
18	0.38	0	0.0065	0.0065	3.7e-05	7.4e-05	4.2e-06	0.6	0.0091	0	7	0.15	0.29
19	0.32	0	0.019	0.019	0.0053	0.011	0.0055	0.62	0.0017	0	7	0.15	0.29
20	0.37	0.0021	0.017	0.017	0.026	0.04	0.14	0.26	0.12	0	0	0.31	0.52
21	0.51	0.00046	0.0077	0.0077	0.079	0.058	0.12	0.16	0.066	0	0	0.31	0.52
22	0.48	0	0.0022	0.0022	0.00067	0.0019	0.14	0.23	0.13	0	0	0.31	0.52
23	0.71	0	0.0012	0.0012	0.0018	0.00095	5.4e-06	0.28	0.00024	0	0	0.31	0.52
24	0.23	0	0.02	0.02	0.0012	0.0043	0.0013	0.73	0.00077	0	7	0.15	0.29
25	0.12	0	0.031	0.031	1.4e-05	0.0001	5.5e-05	0.81	0.0096	0	7	0.15	0.29
26	0.22	0.0005	0.032	0.032	0.012	0.027	0.065	0.58	0.031	0	7	0.15	0.29
27	0.2	0.0055	0.037	0.037	0.0078	0.021	0.08	0.53	0.088	0	7	0.15	0.29
28	0.35	1.1e-06	0.005	0.005	7.1e-05	8e-05	0.017	0.37	0.25	0	7	0.15	0.29
29	0.042	0	0.075	0.075	3.7e-06	7.6e-05	0.00026	0.79	0.016	0	7	0.15	0.29
30	0.44	0	0.0052	0.0052	0.00022	0.00021	0.0033	0.43	0.12	0	0	0.31	0.52
31	0.28	1.3e-06	0.017	0.017	0.00038	0.00078	0.00097	0.61	0.065	0	7	0.15	0.29
32	0.28	0.01	0.021	0.021	0.0055	0.019	0.16	0.19	0.29	0	8	0.23	0.52
33	0.57	0	0.0025	0.0025	0.0018	0.0022	2.1e-05	0.42	4.7e-06	0	0	0.31	0.52
34	0	0	0.00038	0.00038	0	0	0	0.98	0	0.021	7	0.15	0.29
35	0.28	0.00052	0.019	0.019	0.0023	0.0038	0.022	0.52	0.13	0	7	0.15	0.29
36	0.27	0.00066	0.015	0.015	0.0011	0.0024	0.043	0.46	0.2	0	7	0.15	0.29
37	0.28	7.4e-05	0.024	0.024	0.016	0.027	0.039	0.56	0.02	0	7	0.15	0.29
38	0.25	0.00068	0.029	0.029	0.0066	0.012	0.028	0.58	0.06	0	7	0.15	0.29
39	0.11	0.0022	0.057	0.057	0.003	0.016	0.093	0.61	0.058	0	7	0.15	0.29
40	0.018	0.00031	0.14	0.14	9.8e-06	0.00037	0.0068	0.69	0.0061	0	7	0.15	0.29
41	0	0	1.4e-06	1.4e-06	0	1.7e-06	0	0.00065	0	1	9	0.15	0.064
42	0.32	0	0.0084	0.0084	0.12	0.14	0.045	0.36	0.00013	0	7	0.15	0.29
43	0.11	0.0045	0.023	0.023	0.0017	0.022	0.081	0.65	0.09	3.1e-05	7	0.15	0.29
44	0.4	0	0.012	0.012	0.015	0.021	0.0061	0.53	0.00032	0	7	0.15	0.29
45	0.41	0	0.012	0.012	0.028	0.031	0.012	0.49	0.0026	0	7	0.15	0.29
46	0.36	0	0.013	0.013	0.0023	0.0035	0.001	0.59	0.02	0	7	0.15	0.29
47	0.24	0	0.025	0.025	0.016	0.039	0.037	0.62	0.0012	0	7	0.15	0.29
48	0.14	0	0.032	0.032	6e-05	0.00041	0.00024	0.8	0.0028	0	7	0.15	0.29
49	0.6	0	0.0035	0.0035	0.0011	0.00079	0.00028	0.38	0.007	0	0	0.31	0.52
50	0	0	0.014	0.014	0	0.0048	0.0019	0.97	2.7e-06	0	7	0.15	0.29
51	0.01	0.54	0.012	0.012	1.1e-06	1.1e-05	0.00028	0.12	0.3	0	1	0.15	0.62
52	0.64	0	0.0033	0.0033	0.028	0.014	0.0014	0.31	0.0018	0	0	0.31	0.52
53	0.11	0.016	0.056	0.056	0.00096	0.0044	0.026	0.63	0.099	0	7	0.15	0.29
54	0.17	0.0019	0.04	0.04	0.0079	0.024	0.089	0.57	0.056	0	7	0.15	0.29
55	0.0028	0.26	0.00061	0.00061	0	0	0.001	0.016	0.72	0	8	0.23	0.52
56	0.081	0.00086	0.065	0.065	0.0023	0.016	0.11	0.62	0.042	0	7	0.15	0.29
57	0.039	0.086	0.073	0.073	0.00025	0.0035	0.078	0.39	0.25	0	7	0.15	0.29
58	0.084	2.1e-06	0.041	0.041	4.4e-06	4.1e-05	5.5e-05	0.75	0.082	0	7	0.15	0.29
59	0.12	0.00066	0.033	0.033	0.011	0.052	0.27	0.37	0.11	0	7	0.15	0.29
60	0.45	9.4e-06	0.0087	0.0087	0.034	0.036	0.063	0.37	0.029	0	0	0.31	0.52
61	0.084	0	0.0045	0.0045	0.2	0.36	0.21	0.13	0.0007	0	5	0.23	0.29
62	0.085	0	0.046	0.046	1.7e-05	0.00018	0.00023	0.81	0.0075	0	7	0.15	0.29
63	0.14	2e-06	0.00088	0.00088	1.5e-06	1.1e-05	0.054	0.11	0.7	0	8	0.23	0.52
64	2.1e-05	2.3e-05	0.04	0.04	0	0.0042	0.016	0.9	0.0012	0	7	0.15	0.29
65	0.16	0	0.016	0.016	0.067	0.19	0.14	0.41	0.00041	0	7	0.15	0.29
66	0.41	1.2e-06	0.014	0.014	0.022	0.023	0.014	0.49	0.0093	0	7	0.15	0.29
67	0.37	0.0013	0.017	0.017	0.042	0.046	0.1	0.34	0.07	0	0	0.31	0.52
68	0.26	8e-05	0.026	0.026	0.0037	0.0072	0.012	0.61	0.049	0	7	0.15	0.29
69	0.34	2e-05	0.0032	0.0032	0.00051	0.0029	0.17	0.24	0.24	0	0	0.31	0.52
70	0.17	0	0.025	0.025	3.8e-05	0.00016	0.00014	0.7	0.072	0	7	0.15	0.29
71	0.28	0	0.014	0.014	0.058	0.11	0.051	0.48	0.00018	0	7	0.15	0.29
72	0.037	0.022	0.039	0.039	0.00012	0.007	0.072	0.65	0.14	0	7	0.15	0.29
73	0.67	0.00028	0.00034	0.00034	0.0035	0.02	0.043	0.013	0.25	0	0	0.31	0.52
74	0.31	0	0.015	0.015	0.065	0.00097	0.00042	0.59	0.00066	0	7	0.15	0.29
75	0.25	0.023	0.026	0.026	0.0075	0.022	0.079	0.4	0.16	0	7	0.15	0.29
76	0.3	8.1e-06	0.026	0.026	0.037	0.0015	0.0019	0.6	0.0028	0	7	0.15	0.29
77	0.69	0.00035	0.00039	0.00039	0.0045	0.0032	0.11	0.0016	0.2	0	0	0.31	0.52
78	0.0023	1.3e-05	0.036	0.036	0.0033	0.04	0.05	0.83	0.0027	0	7	0.15	0.29
79	0.086	0.073	0.032	0.032	7.4e-05	0.0049	0.12	0.16	0.49	0	8	0.23	0.52
80	0.049	0.028	0.04	0.04	0.0011	0.014	0.043	0.7	0.084	0	7	0.15	0.29
81	0.96	0	0.00012	0.00012	0.0083	0	0.00017	0.0043	0.023	0	0	0.31	0.52
82	0.98	0	7.6e-06	7.6e-06	0.017	0	0.00049	0.0015	0.0023	0	0	0.31	0.52
83	0.055	0.00094	0.021	0.021	2.8e-05	0.016	0.44	0.15	0.29	0	6	0.23	0.38
84	0	0	0	0	0	0	0	0.06	0	0.94	9	0.15	0.064
85	1	0	0	0	0.0026	0	0	3.4e-05	0.0019	0	0	0.31	0.52
86	0.38	0.0011	0.001	0.001	0.00016	0.078	0.036	0.036	0.47	0	8	0.23	0.52
87	0.65	0.0045	0.0043	0.0043	0.03	0.018	0.078	0.058	0.15	0	0	0.31	0.52
88	0.74	0.00038	0.00033	0.00033	0.0037	0	0.0019	0.0061	0.25	0	0	0.31	0.52
89	0	0	0	0	0	0	0	0	0	1	9	0.15	0.064
90	0.75	0	0.0066	0.0066	0.038	0.00013	0.00061	0.18	0.012	0	0	0.31	0.52
91	0.41	0.00011	0	0	0.00013	0	0.0048	5.9e-06	0.59	0	8	0.23	0.52
92	0	0	0.13	0.13	0	0	1.2e-05	0.74	0	0	7	0.15	0.29
93	0.11	0.027	0.0062	0.0062	5.2e-05	0.00021	0.036	0.15	0.67	0	8	0.23	0.52
94	0.00039	0.00036	0.038	0.038	0	0.0056	0.015	0.9	0.0038	0	7	0.15	0.29
95	0	0	0.024	0.024	0	0.0002	0.0001	0.95	0	0	7	0.15	0.29
96	0	0	0.0067	0.0067	0	0.0011	6.5e-05	0.99	0	5.5e-06	7	0.15	0.29
