k	loglikelihood	observations	parameters	BIC
1	-78288.5	55518	4	156621
2	-47271.1	55518	6	94607.7
3	-39163.4	55518	8	78414.2
4	-40116.8	55518	10	80342.9
5	-33845.3	55518	12	67821.6
6	-32034.2	55518	14	64221.4
7	-32637.7	55518	16	65450.2
8	-32045.4	55518	18	64287.5
9	-31278.7	55518	20	62776
10	-30110.8	55518	22	60462
11	-30621	55518	24	61504.3
12	-30650.7	55518	26	61585.4
13	-30383.7	55518	28	61073.4
14	-29912.6	55518	30	60152.8
15	-29855.1	55518	32	60059.7
16	-29723	55518	34	59817.5
17	-29194	55518	36	58781.3
18	-29576.8	55518	38	59568.8
19	-29159.3	55518	40	58755.7
20	-29601.5	55518	42	59661.8
