SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.038	0	0	0.11	0.42	0	0	0	6.3e-05	0	0	0	0	0	0.0067	0	0.42	4	0.16	0
1	0	3.3e-05	0	0	0	0.14	0	0	0	0	0	0.71	0	0.15	0	0	0	11	0.24	0.26
2	0	0	0	0	0	0.014	0.00022	0	0	0	0	0.34	0	0.65	0	0	0	13	0.41	0.33
3	0.038	0	0	0.051	0.45	0	0	0	0.0005	0	0	0	0	0	0.0029	0	0.45	4	0.16	0
4	0	0	0	0	0	0.98	0	0	0	0	0	0.00059	0	0.019	0	0	0	5	0.36	0.26
5	0	0.99	0.0049	0	0	0	0	0	0	0	0	0.00016	0	0	0	0	0	1	0.24	0.15
6	0	0.0017	0	0	0	0.25	0.0012	0	0	0	0	0.73	0	0.0085	0	0	0	11	0.24	0.26
7	0	0.0024	0	0	0	0.76	0	0	0	0	0	0.2	0	0.033	0	0	0	5	0.36	0.26
8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0.053	0.13
9	0.0093	0	0	0.00077	0.49	0	0	0	0.0063	0	0	0	0	0	1.3e-05	0	0.49	4	0.16	0
10	0.00027	0.71	0.28	0	0	0	0	0	0	0	0	1.5e-05	0	0	0.0082	0	0	1	0.24	0.15
11	1.3e-05	0	0	0	0.00042	0	0	0	1	0	0	0	0	0	0	0	0.00042	8	0.08	0
12	0.082	5e-05	0.00027	0.053	0.34	0	0	0	0.18	1.5e-05	0	0	1.5e-05	0	0.012	0	0.34	4	0.16	0
13	0	0.03	0	0	0	0.94	0	0	0	0	0	0.026	0	0.0012	0	0	0	5	0.36	0.26
14	0.0032	0.054	0.0007	0.55	0.0073	0.0023	1.7e-05	0	1.7e-05	0	0	0.001	0.081	0.00016	0.3	0	0.0073	3	0.24	0
15	0	0.00044	0	0	0	0.54	0.00013	0	0	0	0	0.017	0	0.44	0	0	0	5	0.36	0.26
16	0	1	1.2e-05	0	0	0.0019	0	0	0	0	0	0.00022	0	0	0	0	0	1	0.24	0.15
17	0	0.064	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.19	0.11
18	0	3.6e-06	0	0	0	0.99	0	0	0	0	0	0.0029	0	0.0047	0	0	0	5	0.36	0.26
19	0	1	0.0017	0	0	6.3e-05	0	0	0	0	0	0.00014	0	0	0	0	0	1	0.24	0.15
20	0	0.059	0	0	0	0.39	0.17	0	0	0	0.026	0.11	0	0.24	0	0	0	5	0.36	0.26
21	0	0.99	0.00042	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	1	0.24	0.15
22	0	0.64	1.3e-05	0	0	0.35	0	0	0	0	0	0.0046	0	0.00025	0	0	0	1	0.24	0.15
23	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0.99	0	15	0	0.11
24	0.0041	0	0	0.83	0.053	0	0	0	0	0	0	0	0.00032	0	0.058	0	0.053	3	0.24	0
25	0	0.00019	0	0	0	0.14	0.019	0	0	0	0.00055	0.16	0	0.68	0	0	0	13	0.41	0.33
26	0	1	0.0017	0	0	0.0011	0	0	0	0	0	0.00071	0	0	0	0	0	1	0.24	0.15
27	0	0.71	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.24	0.15
28	0	0	0	0	0	0.23	0.29	0	0	0	2.4e-05	1.8e-06	0	0.48	0	0	0	13	0.41	0.33
29	0	1	0.00038	0	0	0	0	0	0	0	0	8.7e-05	0	0	0	0	0	1	0.24	0.15
30	0.00035	0.74	0.046	0	0	2.8e-06	0	0	0	0	0	9.1e-06	0	0	0.21	0	0	1	0.24	0.15
31	0	0	0	0	0	0.67	0	0	0	0	0	0.0003	0	0.33	0	0	0	5	0.36	0.26
32	8.3e-05	0	0	0.97	0.015	0	0	0	0	0	0	0	0.00018	0	0.0049	0	0.015	3	0.24	0
33	0.00015	0	0	0.15	0.42	0	0	0	0	0	0	0	0	0	4.9e-05	0	0.42	4	0.16	0
34	0	0.99	0.0072	0	0	0.0013	0	0	0	0	0	0.0045	0	0	0	0	0	1	0.24	0.15
35	0	0.73	0.27	0	0	0	0	0	0	0	0	2.7e-05	0	0	0	0	0	1	0.24	0.15
36	0	0.32	9.3e-06	0	0	0.66	0	0	0	0	0	0.02	0	0.0056	0	0	0	5	0.36	0.26
37	0	0	0	0	0	0	0	0	0	4e-05	0	0	0	0	0	1	0	15	0	0.11
38	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	1	0	15	0	0.11
39	0	0.57	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.24	0.15
40	0	0	0	0	0	0	0	0	0	2.3e-05	0	0	0	0	0	1	0	15	0	0.11
41	0	0.0063	0	0	0	0.79	3.9e-06	0	0	0	0	0.071	0	0.13	0	0	0	5	0.36	0.26
42	0.017	0	1.4e-06	0.49	0.23	0	0	0	2.4e-05	0	0	0	8e-05	0	0.032	0	0.23	3	0.24	0
43	0.86	0	1.8e-05	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0.16	0.021
44	0	0.65	0.35	0	0	0	0	0	0	0	0	8e-06	0	0	0	0	0	1	0.24	0.15
45	0	0.00047	0	0	0	0.028	2.2e-06	0	0	0	0	0.93	0	0.039	0	0	0	11	0.24	0.26
46	0.072	0	1.2e-05	0.17	0.37	0	0	0	0.0012	0	0	0	4.4e-05	0	0.023	0	0.37	4	0.16	0
47	0	0	0	0	0	0	0	0	0	1.3e-05	0	0	0	0	0	1	0	15	0	0.11
48	0.075	0.35	0.55	0	0	2e-05	0	0	0	0.0028	0	0.0087	0	0	0.0067	0	0	2	0.19	0.11
49	0.44	7.2e-05	0.00086	0	0	0	0	0	0	0	0	0	0	0	0.56	0	0	14	0.24	0.021
50	0.6	0	5e-05	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0.16	0.021
51	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0	15	0	0.11
52	0.00084	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.24	0.021
53	0.05	0	6.6e-06	0.019	0.43	0	0	0	0.073	0	0	0	0	0	0.002	0	0.43	4	0.16	0
54	0	0.9	0	0	0	0	0	5.5e-06	0	0.00063	0	0	0	0	0	0.096	0	1	0.24	0.15
55	0	0.0013	0	0	0	0.048	1.1e-05	0	0	0	0	0.95	0	0.0019	0	0	0	11	0.24	0.26
56	0.059	0.00083	0.00079	0.4	0.22	0	0	0	0.0014	0	0	0	0.00054	0	0.099	0	0.22	3	0.24	0
57	0	0.00036	0	0	0	0.0054	0	0	0	0	0	0.99	0	0.0045	0	0	0	11	0.24	0.26
58	0.2	0.00016	0.00054	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	14	0.24	0.021
59	0.9	3.3e-06	0.00022	0	0	0	0	0	0	0	0	0	0	0	0.097	0	0	0	0.16	0.021
60	0.00017	0	0	0	0.028	0	0	0	0.94	0	0	0	0	0	0	0	0.028	8	0.08	0
61	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0.053	0.13
62	0	0.034	2.6e-06	0	0	0.93	0	0	0	0	0	0.013	0	0.025	0	0	0	5	0.36	0.26
63	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0.16	0.021
64	0.86	0.00015	0.0026	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0.16	0.021
65	0.15	0.00011	0.00078	0.14	0.33	0	0	0	0.00066	0	0	0	1.9e-05	0	0.043	0	0.33	4	0.16	0
66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038	0	0	0	0.16	0.021
67	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.16	0.021
68	0.0016	0	0	0	0.018	0	0	0	0.96	0	0	0	0	0	0	0	0.018	8	0.08	0
69	0	0.98	0.00031	0	0	0.0071	0	0	0	0	0	0.0092	0	0	0	0	0	1	0.24	0.15
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0.11
71	1.5e-05	0.34	0.0036	0	0	0.54	0.00024	0	0	0	0	0.043	0	0.068	0.0012	0	0	5	0.36	0.26
72	0	0.95	0.047	0	0	0	0	0	0	0	0	6.8e-05	0	0	0	0	0	1	0.24	0.15
73	0	1	0.0011	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	1	0.24	0.15
74	0	0.99	0.011	0	0	0.00058	0	0	0	0	0	0.00082	0	0	0.00023	0	0	1	0.24	0.15
75	0.46	3.6e-06	0.00016	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	14	0.24	0.021
76	0	0.27	0.00028	0	0	0.00027	0	0	0	0	0	0.73	0	0	0	0	0	11	0.24	0.26
77	4.8e-06	0	0	0	0.00017	0	0	0	1	0	0	0	0	0	0	0	0.00017	8	0.08	0
78	0	0.94	0.012	0	0	0.0072	0	0	0	0	0	0.039	0	8.4e-06	0	0	0	1	0.24	0.15
79	0.12	0.00038	0.00095	0.29	0.25	0	0	0	0.0022	0	0	0	0.0006	0	0.094	0	0.25	3	0.24	0
80	0	0	0	0	0	0.49	0.026	0	0	0	0.00033	0.45	0	0.027	0	0	0	5	0.36	0.26
81	0.0001	0.91	0.076	0	0	0.0025	0	0	0	0	0	0.0084	0	4.9e-06	0.00091	0	0	1	0.24	0.15
82	0	0	0	0	0	0	0	0	0	2.4e-05	0	0	0	0	0	1	0	15	0	0.11
83	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0.053	0.13
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0.11
85	0	0	0	0	0	0.29	0.0051	0	0	0	0.0037	0.6	0	0.1	0	0	0	11	0.24	0.26
86	0.038	0	0	0.2	0.37	0	0	0	1.1e-05	0	0	0	1.3e-06	0	0.014	0	0.37	4	0.16	0
87	0	0.83	1.2e-05	0	0	0.16	0	0	0	0	0	0.012	0	1.2e-05	0	0	0	1	0.24	0.15
88	0	8e-06	0	0	0	0.34	0.021	0	0	0	4.2e-05	0.057	0	0.58	0	0	0	13	0.41	0.33
89	0	0.31	1e-05	0	0	0.68	0	0	0	0	0	0.015	0	0.00094	0	0	0	5	0.36	0.26
90	0	0	0	0	0	0.11	9.6e-06	0	0	0	0	0.00023	0	0.89	0	0	0	13	0.41	0.33
91	0.011	0.76	0.19	0	0	0.0045	0	0	0	4.5e-05	0	0.019	0	4.2e-05	0.015	0	0	1	0.24	0.15
