SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	0	0.11	0.41	0.072	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2e-05	2	0.16	0
1	5.8e-06	0	0	0	0	0	0.2	0.018	0.31	0	0	0	0.46	0	8e-06	0	0	0	0	0	12	0.41	0.26
2	0	0	0	0	0	0	0.36	0.3	0.13	0	0	0	0.19	0	0.024	0	0	0	0	0	6	0.24	0.26
3	0	0.054	0.45	0.052	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	2	0.16	0
4	0	0	0	0	0	0	0.002	0.029	0.39	0	0	0	0.58	0	0	0	0	0	0	0	12	0.41	0.26
5	0.87	0	0	0	0.002	0	0.00022	0	0	0	0.13	0.00026	0	0	0	0	0	0	0.002	0	0	0.24	0.15
6	0.0012	0	0	0	0	0	0.85	0.0042	0.043	0	8.9e-06	0	0.063	0	0.038	0	0.00041	0	0	0	6	0.24	0.26
7	0.005	0	0	0	0	0	0.68	0.049	0.11	0	0.00014	0	0.16	0	0	0	0	0	0	0	6	0.24	0.26
8	0	0	0	0	8.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	1	8.6e-06	0	17	0.053	0.13
9	0	0.00083	0.49	0.0032	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065	2	0.16	0
10	0.19	0	0	0.0015	0.0016	0	6.2e-06	0	0	0	0.21	0.6	0	0	0	0	0	0	0.0016	0	11	0.24	0.084
11	0	0	0.00041	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0.08	0
12	3.7e-05	0.058	0.34	0.073	6e-05	0.34	0	0	0	1.6e-05	3.7e-05	0.00025	0	0	0	0	0	1.7e-05	6e-05	0.19	2	0.16	0
13	0.091	0	0	0	0	0	0.13	0.0026	0.31	0	0.0038	1.2e-06	0.46	0	0	0	0	0	0	0	12	0.41	0.26
14	0.049	0.73	0.009	0.019	6.6e-05	0.009	0.0015	0.0001	0.0014	0.11	0.026	0.049	0.002	0	5.8e-05	0	0.00018	0	6.6e-05	2.2e-05	1	0.24	0
15	0.00041	0	0	0	0	0	0.025	0.28	0.28	0	2.1e-05	0	0.41	0	0.0037	0	6.9e-06	0	0	0	12	0.41	0.26
16	0.82	0	0	0	0	0	0.00029	0	2.6e-05	0	0.18	0.002	3.8e-05	0	0	0	0	0	0	0	0	0.24	0.15
17	0.14	0	0	0	0.028	0	0	0	0	0	0.47	0.33	0	0	0	0	0	0	0.028	0	10	0.24	0.13
18	3.3e-06	0	0	0	0	0	0.0044	0.0031	0.4	0	0	0	0.59	0	0	0	0	0	0	0	12	0.41	0.26
19	0.66	0	0	0	1.8e-05	0	0.00016	0	0	0	0.29	0.044	0	0	0	0	0	0	1.8e-05	0	0	0.24	0.15
20	0.037	0	0	0	0	0	0.11	0.11	0.2	0	0.0057	0.00039	0.3	0	0.23	0	0.0049	0	0	0	12	0.41	0.26
21	0.94	0	0	0	0.00031	0	0.021	0	0	0	0.041	3.2e-06	0	0	0	0	0	0	0.00031	0	0	0.24	0.15
22	0.67	0	0	0	0	0	0.0078	0.00018	0.063	0	0.15	0.0069	0.093	0	0	0	0	0	0	0	0	0.24	0.15
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99	0	0.013	0	0	15	0	0.11
24	0	0.87	0.051	0.029	0	0.051	0	0	0	0.00032	0	3.3e-05	0	0	0	0	0	0	0	0	1	0.24	0
25	0.00014	0	0	0	0	0	0.18	0.33	0.14	0	2.6e-06	0	0.21	0	0.13	0	1.7e-05	0	0	0	7	0.41	0.33
26	0.65	0	0	0	2e-05	0	0.00075	0	2.7e-05	0	0.28	0.065	4e-05	0	0	0	0	0	2e-05	0	0	0.24	0.15
27	0.41	0	0	0	0.0068	0	0	0	0	0	0.47	0.099	0	0	0	0	0	0	0.0068	0	10	0.24	0.13
28	0	0	0	0	0	0	0	0.071	0.37	0	0	0	0.54	0	0.016	0	3.1e-05	0	0	0	12	0.41	0.26
29	0.89	0	0	0	3.9e-05	0	0.00013	0	0	0	0.11	8e-05	0	0	0	0	0	0	3.9e-05	0	0	0.24	0.15
30	0.11	0	0	0.0022	5.5e-05	0	2.2e-06	0	0	0	0.15	0.74	0	0	0	0	0	0	5.5e-05	0	11	0.24	0.084
31	0	0	0	0	0	0	0.00028	0.13	0.35	0	0	0	0.52	0	0.00012	0	0	0	0	0	12	0.41	0.26
32	0	0.97	0.014	0.0012	0	0.014	0	0	0	0.00018	0	0	0	0	0	0	0	0	0	0	1	0.24	0
33	0	0.16	0.42	0.00063	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.16	0
34	0.74	0	0	0	0.00034	0	0.0055	0	2.2e-05	0	0.23	0.027	3.3e-05	0	0	0	0	0	0.00034	0	0	0.24	0.15
35	0.25	0	0	0	0.36	0	1.5e-05	0	0	0	0.028	1e-05	0	0	0	0	0	0	0.36	0	4	0.16	0.13
36	0.35	0	0	0	0	0	0.035	0.0043	0.22	0	0.067	0.0031	0.32	0	0	0	6e-06	0	0	0	0	0.24	0.15
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4.4e-05	0	0	15	0	0.11
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00035	0	0	15	0	0.11
39	0.33	0	0	0	0.0081	0	0	0	0	0	0.34	0.31	0	0	0	0	0	0	0.0081	0	10	0.24	0.13
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2.6e-05	0	0	15	0	0.11
41	0.0067	0	0	0	0	0	0.12	0.097	0.31	0	0.00038	0	0.46	0	0.00024	0	4e-06	0	0	0	12	0.41	0.26
42	0	0.5	0.22	0.051	0	0.22	0	0	0	8.1e-05	0	1.6e-05	0	0	0	0	0	0	0	2.4e-05	1	0.24	0
43	0	0	0	1	0	0	0	0	0	0	0	5.2e-05	0	0	0	0	0	0	0	0	3	0.19	0.021
