SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1
0	0.69	0	0.31	0	0	0.1	0.23
1	0	0	0	1	3	0.067	0.026
2	0	1	0	0	1	0.011	0.23
3	0.15	0	0.85	0	2	0.1	0.35
4	0.98	0	0.021	0	0	0.1	0.23
5	0.39	0.56	0.05	0	1	0.011	0.23
6	0.99	0	0.0081	0	0	0.1	0.23
7	0.87	0.13	0	0	0	0.1	0.23
8	0.74	0	0.26	0	0	0.1	0.23
9	0.82	0.018	0.17	0	0	0.1	0.23
10	0.77	0	0.23	0	0	0.1	0.23
11	0.99	0	0	0.0074	0	0.1	0.23
12	0.99	0	0.013	0	0	0.1	0.23
13	0	1	0	0	1	0.011	0.23
14	1	0	0	0	0	0.1	0.23
15	0.26	0	0.74	0	2	0.1	0.35
16	1	0	5.5e-05	0	0	0.1	0.23
17	0.76	1.5e-05	0.24	0	0	0.1	0.23
18	0.99	0.011	0	0	0	0.1	0.23
19	0.89	0	0.11	0	0	0.1	0.23
20	0.99	0	0.007	0	0	0.1	0.23
21	0.95	0.019	0.031	0.00029	0	0.1	0.23
22	0	0.99	0	0.0084	1	0.011	0.23
23	0.75	0	0.25	0	0	0.1	0.23
24	1	0	0.0031	0	0	0.1	0.23
25	0.89	0	0.11	0	0	0.1	0.23
26	0.023	0.98	5.2e-05	0	1	0.011	0.23
27	0.8	0	0.2	0	0	0.1	0.23
28	1	0	0	0	0	0.1	0.23
29	0.024	0	2.5e-05	0.98	3	0.067	0.026
30	0	0	0	1	3	0.067	0.026
31	0.71	0	0.29	0	0	0.1	0.23
32	0.88	0	0.12	0	0	0.1	0.23
33	0.87	0	0.13	0	0	0.1	0.23
34	0.91	0	0.086	0	0	0.1	0.23
35	1.5e-05	1	0	0	1	0.011	0.23
36	0.053	0.94	0.011	0	1	0.011	0.23
37	0.84	0	0.16	0	0	0.1	0.23
38	3.4e-06	1	0	0	1	0.011	0.23
39	0.39	0.61	0	0	1	0.011	0.23
40	0.0039	1	0	0	1	0.011	0.23
41	0.8	0	0.2	0	0	0.1	0.23
42	0.82	1.4e-05	0.18	0	0	0.1	0.23
43	0.2	0.8	0.0036	0	1	0.011	0.23
44	0.00069	1	0	0	1	0.011	0.23
45	0.85	0	0.15	0	0	0.1	0.23
46	0.73	0	0.27	0	0	0.1	0.23
47	0.77	2e-06	0.23	0	0	0.1	0.23
48	0.98	0.00048	0.016	0	0	0.1	0.23
49	0.44	0	0.56	0	2	0.1	0.35
50	0.98	4.1e-05	0.016	0	0	0.1	0.23
51	0.99	0	0.0068	0	0	0.1	0.23
52	0.76	0.18	0.063	1e-05	0	0.1	0.23
53	0.29	0.71	0.0037	0	1	0.011	0.23
54	0.00014	1	0	0	1	0.011	0.23
55	0.014	0	0	0.99	3	0.067	0.026
56	0.73	0.27	0.00044	0	0	0.1	0.23
57	0.89	0	0.11	0	0	0.1	0.23
58	0.013	2.8e-06	0.99	0	2	0.1	0.35
59	0	1	0	0	1	0.011	0.23
60	0	1	0	0	1	0.011	0.23
61	0.99	0	0.0067	0	0	0.1	0.23
62	0.018	0.98	3e-05	0	1	0.011	0.23
63	1	0.00043	0.0016	3.8e-06	0	0.1	0.23
64	1	0	0	0	0	0.1	0.23
65	1	0	0.0023	0	0	0.1	0.23
66	0	1	0	0	1	0.011	0.23
67	1	0	0.00016	0	0	0.1	0.23
68	0	0	0	1	3	0.067	0.026
69	8.5e-06	1	0	0	1	0.011	0.23
70	0.78	0.013	0.21	0	0	0.1	0.23
71	0.45	0.51	0.04	0	1	0.011	0.23
72	0.49	0	0.51	0	2	0.1	0.35
73	1	0.00048	1.2e-05	0	0	0.1	0.23
74	0.26	0	0.74	0	2	0.1	0.35
75	1	0	1.1e-05	0	0	0.1	0.23
76	1	0	0.00011	0.0004	0	0.1	0.23
77	1	0	9.9e-05	0	0	0.1	0.23
