SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.17	0.14	0.04	0.0018	0	0.21	0	0.064	0	0	0	0.0017	0.12	0	0.26	0	14	0.1	0.23
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.078	0.026
2	2.9e-06	2.3e-06	0	0.013	0	0	0.0011	0	0.99	0	0	0	0	0	4.2e-06	0	8	0.022	0.23
3	0.0091	0.0072	0.33	0	0	0.52	0	0.0034	0	0	0	0.031	0.089	0	0.014	0	5	0.1	0.41
4	0.27	0.21	0.00063	0	0	0.0028	0	0.1	0	0	0	0.0015	0.0087	0	0.4	0	14	0.1	0.23
5	0.093	0.074	0.0011	0.35	0	0.069	0.0001	0.035	0.23	0	0	0.00019	0.00048	0	0.14	0	3	0.056	0.23
6	0.14	0.11	0.018	0	0	0.00084	0	0.054	0	0	0	0.0005	0.46	0	0.21	0	12	0.19	0.35
7	0.14	0.11	0	9.7e-05	0.00022	0	0	0.051	0.0056	0	0	0	0	0.49	0.2	0	13	0	0.23
8	0.026	0.02	0.49	0	0	0.32	0	0.0095	0	0	0	0.081	0.016	0	0.038	0	2	0.19	0.47
9	0.17	0.13	0.0034	0.23	0	0.11	0.001	0.063	0.026	0	0	0.00042	0.004	0	0.25	9.2e-06	14	0.1	0.23
10	0.0088	0.007	0.41	0	0	0.015	0	0.0033	0	0	0	0.011	0.53	0	0.013	0	12	0.19	0.35
11	0.23	0.18	0	0.17	0	0	0	0.084	0	0.0096	0	0	0	0	0.33	0	14	0.1	0.23
12	0.25	0.2	0	0.095	0	0.00091	0.0007	0.092	6.5e-05	0	0	0	1.8e-05	0	0.37	2.6e-05	14	0.1	0.23
13	0	0	0	0.0074	0	0	0	0	0.99	0	0	0	0	0	0	0	8	0.022	0.23
14	0.27	0.22	0	0.0004	0	0	0.0005	0.1	0	0	0	0	0	0	0.41	5.2e-06	14	0.1	0.23
15	0.039	0.031	0.093	0	0	0.72	0	0.014	0	0	0	0.012	0.039	0	0.057	0	5	0.1	0.41
16	0.27	0.22	0	0.0071	0	0	0.00053	0.1	0	0	0	0	0	0	0.4	1.6e-05	14	0.1	0.23
17	0.13	0.1	0	0.5	0	0.032	9.7e-05	0.047	0.0019	0	0	0	0	0	0.19	2.7e-05	3	0.056	0.23
18	0.14	0.11	0	0	0	0	0	0.052	3.4e-05	0	0	0	0	0.49	0.21	0	13	0	0.23
19	0.25	0.2	0.0018	0	0	0.027	0	0.094	0	0	0	5.5e-05	0.051	0	0.37	0	14	0.1	0.23
20	0.16	0.13	0.22	0	0	0.0025	0	0.061	0	0	0	0.17	0.015	0	0.24	0	14	0.1	0.23
21	0.19	0.15	8.5e-05	0.25	0	0.0073	0.018	0.071	0.027	0.00025	0	3.7e-06	0.00079	0	0.28	4.3e-05	14	0.1	0.23
22	0	0	0	0	1	0	0	0	3.5e-06	0	0	0	0	0.00054	0	0	4	0	0.1
23	1.4e-06	1.1e-06	0.41	0	0	2.5e-06	0	0	0	0	0	0.0098	0.58	0	2.1e-06	0	12	0.19	0.35
24	0.27	0.21	0	0.0087	0	0.00019	0.0011	0.1	0	0	0	0	0.00037	0	0.4	7.8e-06	14	0.1	0.23
25	6.2e-06	4.9e-06	0.65	0	0	5.1e-06	0	2.3e-06	0	0	0	0.062	0.29	0	9.2e-06	0	2	0.19	0.47
26	0.00086	0.00068	0	0.43	0	0	0.0094	0.00032	0.55	0	0	0	0	0	0.0013	1.9e-05	8	0.022	0.23
27	0.041	0.032	0.43	7.8e-05	0	0.032	0	0.015	0	0	0	0.11	0.28	0	0.061	0	2	0.19	0.47
28	0.22	0.18	0	0.094	0	0	0.089	0.083	0	0	0	0	0	0	0.33	0.00062	14	0.1	0.23
29	0.0033	0.0026	0	0.00056	0	0	0.00073	0.0012	0	0.99	0	0	0	0	0.0049	0	9	0.078	0.026
30	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0.078	0.026
31	0	0	0.47	0	0	0	0	0	0	0	0	0.13	0.4	0	1.2e-06	0	2	0.19	0.47
32	1.1e-05	8.5e-06	0.63	0	0	6e-06	0	4e-06	0	0	0	0.12	0.26	0	1.6e-05	0	2	0.19	0.47
33	6.9e-05	5.5e-05	0.59	0	0	2.8e-05	0	2.6e-05	0	0	0	0.14	0.26	0	0.0001	0	2	0.19	0.47
34	0.2	0.16	0.045	3.9e-05	0	0.21	0	0.074	0	0	0	0.0018	0.017	0	0.3	0	14	0.1	0.23
35	1.3e-05	1e-05	0	0.033	0	0	2.8e-05	4.7e-06	0.97	0	0	0	0	0	1.9e-05	0	8	0.022	0.23
36	0.0077	0.0061	1.2e-05	0.064	0.00095	0.0041	0.00036	0.0029	0.12	0	4.1e-05	0	2.4e-05	0.79	0.011	2.1e-06	13	0	0.23
37	0.12	0.096	0.23	0.00043	0	0.13	0	0.045	0	0	0	0.016	0.18	0	0.18	0	2	0.19	0.47
38	0	0	0	0.031	0	0	2.4e-05	0	0.97	0	0	0	0	0	0	0	8	0.022	0.23
39	0	0	0	0.89	0	0	0.046	0	0.061	0	0	0	0	0	0	3.5e-05	3	0.056	0.23
40	8.3e-05	6.6e-05	0	0.29	0	0	0.11	3.1e-05	0.6	0	0	0	0	0	0.00012	2.4e-05	8	0.022	0.23
41	0.18	0.14	0.037	0.00014	0	0.28	0	0.066	0	0	0	0.00098	0.039	0	0.26	0	5	0.1	0.41
42	0.2	0.16	0.0039	0.098	0	0.16	0	0.075	0.00047	0	0	0.00085	0.0023	0	0.3	0	14	0.1	0.23
43	0.0026	0.0021	0	0.67	0	8.1e-06	0.0014	0.00097	0.32	0	0	0	0	0	0.0039	1.9e-05	3	0.056	0.23
44	9.7e-06	7.7e-06	0	0.24	0	0	0.018	3.6e-06	0.75	0	0	0	0	0	1.4e-05	9.6e-06	8	0.022	0.23
45	0.074	0.058	0.39	0.00019	0	0.055	0	0.028	0	0	0	0.078	0.21	0	0.11	0	2	0.19	0.47
