SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0.017	0.35	0	0.35	0.032	0	0	0	0.24	1.2e-05	0	0	0.0023	0	1	0.1	0.23
1	0	0	0	0	0	0	0.8	0	0	0	0	0.2	0	0	6	0.1	0
2	0	2.8e-05	0.92	2.8e-05	0	0	0	0	0	0	0	0	0.082	0	2	0.033	0.18
3	0.42	0.025	0	0.025	0.31	0	0	0	0.22	0	0	0	0	0	0	0.19	0.53
4	0.013	0.49	0	0.49	0.00029	0	0	0	0.016	0	0	0	0	0	1	0.1	0.23
5	0.0021	0.21	0.002	0.21	0.036	0	0	0	0.04	0	0	0	0.5	0	12	0.056	0.23
6	0.0085	0.49	0	0.49	9.5e-05	0	0	0	0.0061	0.0019	0	0	0	0	1	0.1	0.23
7	0	0.3	0.00038	0.3	0	0.0012	0	0	0	0	0.4	0	0.00013	0	10	0	0.2
8	0.64	0.041	0	0.041	0.26	0	0	0	0.021	0	0	0	0	0	0	0.19	0.53
9	0.0037	0.3	0.0031	0.3	0.031	0	0	0	0.094	7.3e-06	0	0	0.26	0	1	0.1	0.23
10	0.7	0.12	0	0.12	0.016	0	0	0	0.052	0	0	0	0	0	0	0.19	0.53
11	0	0.29	0	0.29	0	0	0.29	0	0	0	0	0.0021	0.13	0	6	0.1	0
12	0	0.44	0.00032	0.44	1.2e-05	0	0	0	0.0088	0	0	0	0.11	0	1	0.1	0.23
13	0	0.00025	0.14	0.00025	0	0	0	0	0.00021	0	0	0	0.86	0	12	0.056	0.23
14	0	0.5	0	0.5	0	0	0	0	0	0.00021	0	0	0.00046	0	1	0.1	0.23
15	0.13	0.085	0	0.085	0.34	0	0	0	0.36	0	0	0	0	0	8	0.1	0.35
16	0	0.5	0	0.5	0	0	0	0	4.1e-05	0	0	0	0.0082	0	1	0.1	0.23
17	0	0.2	0.00051	0.2	0.00081	0	0	0	0.098	0	0	0	0.5	0	12	0.056	0.23
18	0	0.43	0	0.43	0	0.004	0	0	0	0	0.13	0	0	0	1	0.1	0.23
19	0.00049	0.46	0	0.46	0.0011	0	0	0	0.083	0	0	0	0	0	1	0.1	0.23
20	0.71	0.14	0	0.14	0.0043	0	0	0	0.0015	0	0	0	0	0	0	0.19	0.53
21	3.3e-05	0.34	0.027	0.34	0.00069	0	0	0	0.017	9.2e-05	0	0.0001	0.28	0	1	0.1	0.23
22	0	0	1e-05	0	0	0	0	1	0	0	0.0022	0	0	0	7	0	0.077
23	1	2.9e-05	0	2.9e-05	3.9e-06	0	0	0	1.4e-05	0	0	0	0	0	0	0.19	0.53
24	0	0.49	2.3e-05	0.49	3.1e-06	0	0	0	0.0023	0.00079	0	0	0.01	0	1	0.1	0.23
25	1	2e-05	0	2e-05	3.3e-06	0	0	0	3e-06	0	0	0	0	0	0	0.19	0.53
26	0	0.0021	0.33	0.0021	0	0	0	0	7.2e-06	0	0	0	0.67	0	12	0.056	0.23
27	0.83	0.064	0	0.064	0.014	0	0	0	0.025	0	0	0	7.7e-05	0	0	0.19	0.53
28	0	0.44	1.2e-05	0.44	0	0	0	0	0	0	0	0	0.12	0	1	0.1	0.23
29	0	0.0023	1.8e-05	0.0023	0	0	0.9	0	3.6e-06	1.8e-05	0	0.093	0.00025	0	6	0.1	0
30	0	0	0	0	0	0	1	0	0	0	0	0.00071	0	0	6	0.1	0
31	1	1.2e-06	0	1.2e-06	0	0	0	0	0	0	0	0	0	0	0	0.19	0.53
32	1	1.8e-05	0	1.8e-05	3.4e-06	0	0	0	3.1e-06	0	0	0	0	0	0	0.19	0.53
33	1	9.7e-05	0	9.7e-05	1.9e-05	0	0	0	2.2e-05	0	0	0	0	0	0	0.19	0.53
34	0.019	0.43	0	0.43	0.064	0	0	0	0.061	0	0	0	5.2e-05	0	1	0.1	0.23
35	0	0.00044	0.27	0.00044	0	0	0	0	3.4e-05	0	0	0	0.73	0	12	0.056	0.23
36	2.4e-05	0.036	0.015	0.036	0.0022	0.15	0	0.0002	0.011	0	0.56	0	0.19	0	10	0	0.2
37	0.21	0.32	0	0.32	0.049	0	0	0	0.096	0	0	0	0.00072	0	1	0.1	0.23
38	0	1.2e-05	0.43	1.2e-05	0	0	0	0	0	0	0	0	0.57	0	12	0.056	0.23
39	0	0	0.62	0	0	0	0	0	0	0	0	0	0.38	0	2	0.033	0.18
40	0	6.5e-05	0.85	6.5e-05	0	0	0	0	0	0	0	0	0.15	0	2	0.033	0.18
41	0.011	0.39	0	0.39	0.054	0	0	0	0.15	0	0	0	0.0002	0	1	0.1	0.23
42	0.0072	0.35	0	0.35	0.076	0	0	0	0.11	0	0	0	0.11	0	1	0.1	0.23
43	0	0.0057	0.065	0.0057	0	0	0	0	0.00016	0	0	0	0.92	0	12	0.056	0.23
44	0	1.2e-05	0.82	1.2e-05	0	0	0	0	0	0	0	0	0.18	0	2	0.033	0.18
45	0.68	0.13	0	0.13	0.026	0	0	0	0.036	0	0	0	0.00021	0	0	0.19	0.53
46	1	0.0013	0	0.0013	0.00049	0	0	0	0.00075	0	0	0	0	0	0	0.19	0.53
47	0.23	0.28	0	0.28	0.082	0	0	0	0.13	0	0	0	0.00042	0	1	0.1	0.23
48	0	0.39	0.0095	0.39	6.1e-05	0	0	0	0.0095	7e-06	0	0	0.19	0	1	0.1	0.23
49	0	0.019	0	0.019	0.0018	0	0	0	0.037	0	0	0	0.92	0	12	0.056	0.23
50	0	0.37	0.0057	0.37	3.8e-05	0	0	0	0.0091	0	0	0	0.25	0	1	0.1	0.23
51	0	0.5	0	0.5	3.9e-06	0	0	0	0.0051	8.6e-05	0	0	0.0013	0	1	0.1	0.23
