SNV	cluster0	cluster1	cluster	dcf0	dcf1
0	1	0	0	0.1	0.23
1	0	1	1	0.033	0.13
2	9.2e-05	1	1	0.033	0.13
3	1	0	0	0.1	0.23
4	1	0	0	0.1	0.23
5	1	0.00059	0	0.1	0.23
6	1	0	0	0.1	0.23
7	1	0.00012	0	0.1	0.23
8	1	0	0	0.1	0.23
9	1	0.0027	0	0.1	0.23
10	1	0	0	0.1	0.23
11	1	0	0	0.1	0.23
12	1	3.6e-05	0	0.1	0.23
13	0.63	0.37	0	0.1	0.23
14	1	0	0	0.1	0.23
15	1	0	0	0.1	0.23
16	1	0	0	0.1	0.23
17	1	5.3e-06	0	0.1	0.23
18	1	0	0	0.1	0.23
19	1	0	0	0.1	0.23
20	1	0	0	0.1	0.23
21	0.91	0.086	0	0.1	0.23
22	0	1	1	0.033	0.13
23	1	0	0	0.1	0.23
24	1	5.1e-05	0	0.1	0.23
25	1	0	0	0.1	0.23
26	0.044	0.96	1	0.033	0.13
27	1	0	0	0.1	0.23
28	1	4.4e-06	0	0.1	0.23
29	0.92	0.081	0	0.1	0.23
30	0.99	0.005	0	0.1	0.23
31	1	0	0	0.1	0.23
32	1	0	0	0.1	0.23
33	1	0	0	0.1	0.23
34	1	0	0	0.1	0.23
35	0.16	0.84	1	0.033	0.13
36	0.92	0.08	0	0.1	0.23
37	1	0	0	0.1	0.23
38	0.0087	0.99	1	0.033	0.13
39	0.0001	1	1	0.033	0.13
40	0.00011	1	1	0.033	0.13
41	1	0	0	0.1	0.23
42	1	0	0	0.1	0.23
43	0.83	0.17	0	0.1	0.23
44	0.00015	1	1	0.033	0.13
45	1	0	0	0.1	0.23
46	1	0	0	0.1	0.23
47	1	0	0	0.1	0.23
48	0.99	0.0059	0	0.1	0.23
49	1	0	0	0.1	0.23
50	1	0.0023	0	0.1	0.23
51	1	0	0	0.1	0.23
52	0.91	0.087	0	0.1	0.23
53	0.54	0.46	0	0.1	0.23
54	0.012	0.99	1	0.033	0.13
55	1	0.00049	0	0.1	0.23
56	0.12	0.88	1	0.033	0.13
57	1	0	0	0.1	0.23
58	1	0	0	0.1	0.23
59	0	1	1	0.033	0.13
60	0.00023	1	1	0.033	0.13
61	1	0.0011	0	0.1	0.23
62	0.12	0.88	1	0.033	0.13
63	0.86	0.14	0	0.1	0.23
64	1	0.00017	0	0.1	0.23
65	1	0	0	0.1	0.23
66	4.7e-05	1	1	0.033	0.13
67	1	0	0	0.1	0.23
68	0.61	0.39	0	0.1	0.23
69	0.00049	1	1	0.033	0.13
70	0.99	0.0068	0	0.1	0.23
71	0.87	0.13	0	0.1	0.23
72	1	0	0	0.1	0.23
73	0.22	0.78	1	0.033	0.13
74	1	0	0	0.1	0.23
75	1	0	0	0.1	0.23
76	1	0.00089	0	0.1	0.23
77	1	0	0	0.1	0.23
78	1	3.1e-05	0	0.1	0.23
79	1	0	0	0.1	0.23
80	1	0	0	0.1	0.23
81	1	1.8e-05	0	0.1	0.23
82	1	0	0	0.1	0.23
83	1	0	0	0.1	0.23
84	1	0	0	0.1	0.23
85	1	0	0	0.1	0.23
86	0.98	0.015	0	0.1	0.23
87	0.45	0.55	1	0.033	0.13
88	1	0	0	0.1	0.23
89	1	0	0	0.1	0.23
90	1	0	0	0.1	0.23
91	1	2.8e-05	0	0.1	0.23
92	1	3e-05	0	0.1	0.23
93	1	0	0	0.1	0.23
94	1	0	0	0.1	0.23
95	1	0	0	0.1	0.23
96	0.97	0.026	0	0.1	0.23
97	0.013	0.99	1	0.033	0.13
98	1	0	0	0.1	0.23
99	1	0	0	0.1	0.23
100	1	0	0	0.1	0.23
101	1	0	0	0.1	0.23
102	0.82	0.18	0	0.1	0.23
103	0.99	0.0088	0	0.1	0.23
104	0.75	0.25	0	0.1	0.23
105	1	0	0	0.1	0.23
106	1	0	0	0.1	0.23
107	1	0	0	0.1	0.23
108	0.99	0.0085	0	0.1	0.23
109	0.13	0.87	1	0.033	0.13
110	1	7.6e-06	0	0.1	0.23
111	1	0	0	0.1	0.23
112	0	1	1	0.033	0.13
113	1	0	0	0.1	0.23
114	1	0	0	0.1	0.23
115	1	0.0037	0	0.1	0.23
116	1	0	0	0.1	0.23
117	4.2e-05	1	1	0.033	0.13
118	1	0.0015	0	0.1	0.23
119	0.96	0.043	0	0.1	0.23
120	1	0	0	0.1	0.23
121	0.21	0.79	1	0.033	0.13
122	0.99	0.0076	0	0.1	0.23
