SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0.34	0.00018	0.27	0.22	0	0.18	0	0	0	0.1	0.23
1	0	0	0	0	1	0	8.1e-05	0	4	0.056	0
2	5.4e-05	1	0	3.4e-05	0	0	0	0	1	0.044	0.23
3	0.025	0	0.25	0.016	0	0.71	0	0	5	0.19	0.41
4	0.59	0	0.022	0.38	0	0.0028	0	0	0	0.1	0.23
5	0.21	0.61	0.047	0.14	0	0.0019	0	0	1	0.044	0.23
6	0.43	0	0.0062	0.28	0	0.28	0.0013	0	0	0.1	0.23
7	0.42	0.00092	0	0.27	0	0	0	0.31	0	0.1	0.23
8	0.11	0	0.069	0.073	0	0.74	0	0	5	0.19	0.41
9	0.37	0.25	0.13	0.24	0	0.0085	0	0	0	0.1	0.23
10	0.0099	0	0.0052	0.0063	0	0.98	0	0	5	0.19	0.41
11	0.43	0.027	0	0.28	0.26	0	0.0021	0	0	0.1	0.23
12	0.58	0.042	0.013	0.37	0	3.5e-06	0	0	0	0.1	0.23
13	4.1e-05	1	4.1e-05	2.5e-05	0	0	0	0	1	0.044	0.23
14	0.61	1e-05	0	0.39	0	0	0	0	0	0.1	0.23
15	0.12	0	0.58	0.075	0	0.22	0	0	2	0.1	0.35
16	0.61	0.00049	5.9e-05	0.39	0	0	0	0	0	0.1	0.23
17	0.28	0.38	0.16	0.18	0	0	0	0	1	0.044	0.23
18	0.6	0	0	0.39	0	0	0	0.01	0	0.1	0.23
19	0.53	0	0.11	0.34	0	0.028	0	0	0	0.1	0.23
20	0.57	0	0.0071	0.36	0	0.063	0	0	0	0.1	0.23
21	0.43	0.27	0.025	0.27	0	0.00061	9e-05	0	0	0.1	0.23
22	0	6.3e-06	0	0	0	0	0	1	7	0	0.18
23	1.5e-06	0	0	0	0	1	0	0	5	0.19	0.41
24	0.61	0.0016	0.0033	0.39	0	5.7e-05	0	0	0	0.1	0.23
25	1.1e-05	0	0	7e-06	0	1	0	0	5	0.19	0.41
26	0.0013	1	5.1e-06	0.00081	0	0	0	0	1	0.044	0.23
27	0.12	7.6e-06	0.054	0.078	0	0.75	0	0	5	0.19	0.41
28	0.61	0.0039	0	0.39	0	0	0	0	0	0.1	0.23
29	0.0058	0.0002	1.1e-05	0.0037	0.37	0	0.62	0	6	0.1	0.026
30	0	0	0	0	0.027	0	0.97	0	6	0.1	0.026
31	2.3e-06	0	1.7e-06	1.5e-06	0	1	0	0	5	0.19	0.41
32	3.4e-05	0	6.6e-06	2.2e-05	0	1	0	0	5	0.19	0.41
33	0.00034	0	9.3e-05	0.00022	0	1	0	0	5	0.19	0.41
34	0.48	0	0.08	0.31	0	0.13	0	0	0	0.1	0.23
35	0.00012	1	1.1e-05	7.7e-05	0	0	0	0	1	0.044	0.23
36	0.056	0.45	0.02	0.036	0	0.00014	0	0.44	1	0.044	0.23
37	0.23	3.1e-05	0.08	0.15	0	0.54	0	0	5	0.19	0.41
38	2.7e-06	1	0	0	0	0	0	0	1	0.044	0.23
39	0	1	0	0	0	0	0	0	1	0.044	0.23
40	0.00013	1	0	8.4e-05	0	0	0	0	1	0.044	0.23
41	0.4	4.2e-06	0.18	0.26	0	0.16	0	0	0	0.1	0.23
42	0.46	0.059	0.18	0.3	0	0.0057	0	0	0	0.1	0.23
43	0.0032	0.99	0.0001	0.002	0	0	0	0	1	0.044	0.23
44	1.4e-05	1	0	8.9e-06	0	0	0	0	1	0.044	0.23
45	0.19	1.7e-05	0.061	0.12	0	0.63	0	0	5	0.19	0.41
46	0.0019	0	0.0012	0.0012	0	1	0	0	5	0.19	0.41
47	0.38	0.00027	0.2	0.24	0	0.17	0	0	0	0.1	0.23
48	0.51	0.15	0.014	0.33	0	3.6e-05	0	0	0	0.1	0.23
49	0.052	0.8	0.12	0.033	0	0	0	0	1	0.044	0.23
50	0.5	0.17	0.014	0.32	0	2.7e-06	0	0	0	0.1	0.23
51	0.6	8.8e-05	0.0073	0.39	0	0.0001	0	0	0	0.1	0.23
52	0.38	0.31	0.056	0.25	0	0.0037	2.8e-06	0	0	0.1	0.23
53	0.047	0.92	0.0011	0.03	0	0	0	0	1	0.044	0.23
54	2.9e-05	0.0089	0	1.9e-05	0	0	0	0.99	7	0	0.18
55	0.00042	0	0	0.00027	0	0	1	0	6	0.1	0.026
56	0.081	0.87	8.6e-05	0.052	0	0	0	0	1	0.044	0.23
57	0.44	2.4e-06	0.096	0.29	0	0.17	0	0	0	0.1	0.23
58	0.0073	0	0.98	0.0047	0	0.0053	0	0	2	0.1	0.35
59	0	0	0	0	0	0	0	1	7	0	0.18
60	0	0.0002	0	0	0	0	0	1	7	0	0.18
61	0.55	0.088	0.0066	0.35	0	0	0	0	0	0.1	0.23
62	0.0023	1	6.5e-06	0.0015	0	0	0	0	1	0.044	0.23
63	0.47	0.23	0.0013	0.3	0	0	0	0	0	0.1	0.23
64	0.6	0.012	0	0.39	0	0	0	0	0	0.1	0.23
65	0.61	0.0001	0.0025	0.39	0	0	0	0	0	0.1	0.23
66	0	0.00025	0	0	0	0	0	1	7	0	0.18
67	0.61	0.0018	0.00017	0.39	0	0	0	0	0	0.1	0.23
68	0	0	0	0	0	0	1	0	6	0.1	0.026
69	0	0.0014	0	0	0	0	0	1	7	0	0.18
70	0.38	0.18	0.18	0.25	0	0.011	0	0	0	0.1	0.23
71	0.18	0.68	0.028	0.11	0	5.2e-05	0	0	1	0.044	0.23
72	0.21	0	0.4	0.14	0	0.25	0	0	2	0.1	0.35
73	0.094	0.85	0	0.06	0	0	0	0	1	0.044	0.23
74	0.14	1e-05	0.7	0.09	0	0.073	0	0	2	0.1	0.35
75	0.61	8.9e-06	1.2e-05	0.39	0	0	0	0	0	0.1	0.23
76	0.61	0.001	0.00012	0.39	0	0	0.0016	0	0	0.1	0.23
77	0.61	0.0011	0.00011	0.39	0	0	0	0	0	0.1	0.23
78	0.52	0.017	0.13	0.33	0	0.004	0	0	0	0.1	0.23
79	0.037	0.00036	0.93	0.024	0	0.0038	0	0	2	0.1	0.35
80	0.56	0.014	0.068	0.36	0	0	0	0	0	0.1	0.23
81	0.44	0.043	0.2	0.28	0	0.036	0	0	0	0.1	0.23
82	0.58	0.028	0.028	0.37	0	5.6e-06	0	0	0	0.1	0.23
83	0.5	2e-05	0.078	0.32	0	0.099	0	0	0	0.1	0.23
84	0.00015	1	3.8e-06	9.4e-05	0	0	0	0	1	0.044	0.23
85	0.61	2e-05	0.00032	0.39	0	0	0	0	0	0.1	0.23
86	0.39	0.29	0.059	0.25	0	0.0011	0	0	0	0.1	0.23
87	0.18	0.7	0.0023	0.11	0	0	1.5e-06	0	1	0.044	0.23
88	0.6	0	0.018	0.38	0	0.0008	0	0	0	0.1	0.23
89	0.61	0	0.0016	0.39	0	0.00023	0	0	0	0.1	0.23
90	0.59	0	0.031	0.38	0	0.0055	0	0	0	0.1	0.23
91	0.55	0.089	0.007	0.35	0	0	0	0	0	0.1	0.23
92	0.57	0.037	0.024	0.37	0	2.1e-06	0	0	0	0.1	0.23
93	0.066	0.89	0.0024	0.043	0	0	0	0	1	0.044	0.23
94	0.61	0.00037	0.0014	0.39	0	0	0	0	0	0.1	0.23
95	0.084	0.6	0.26	0.054	0	0	0	0	1	0.044	0.23
96	0.49	0.2	0	0.31	0	0	0	0	0	0.1	0.23
97	0.00072	1	0	0.00046	0	0	0	0	1	0.044	0.23
98	0	0	0	0	0	1	0	0	5	0.19	0.41
99	0.45	0	0.023	0.29	0	0.23	0	0	0	0.1	0.23
100	0.61	0	0	0.39	0	0	0	0	0	0.1	0.23
101	0.094	0	0.84	0.06	0	0.004	0	0	2	0.1	0.35
102	0.32	0.43	0.05	0.2	0	0.0059	2.2e-06	0	1	0.044	0.23
103	0.2	0.61	0.063	0.13	0	0.00026	0	0	1	0.044	0.23
104	0.25	0.1	0.48	0.16	0	4.7e-05	0	0	2	0.1	0.35
105	0.47	0.18	0.042	0.3	0	4.1e-05	0	0	0	0.1	0.23
106	0.44	5.1e-05	0.099	0.28	0	0.19	0	0	0	0.1	0.23
107	0.29	3e-06	0.15	0.18	0	0.38	0	0	5	0.19	0.41
108	0.53	0.061	0.073	0.34	0	0.0029	0	0	0	0.1	0.23
109	3.9e-05	0.02	7.2e-06	2.4e-05	0	0	0	0.98	7	0	0.18
110	0.3	0.5	0.00041	0.19	0	0	0	0	1	0.044	0.23
111	0.6	0.00059	0.018	0.38	0	0.0039	0	0	0	0.1	0.23
112	0	0	0	0	0	0	0	1	7	0	0.18
113	0.57	0.031	0	0.37	0.029	0	0.0034	0	0	0.1	0.23
114	0.52	0.092	3.4e-06	0.33	0.051	0	0.0057	0	0	0.1	0.23
115	0.11	0.00093	0.81	0.072	0	8.3e-05	0	0	2	0.1	0.35
116	0.046	0.75	0	0.029	0.18	0	0.00019	0	1	0.044	0.23
117	5.8e-06	0.0007	0.00024	3.7e-06	0	0	1.9e-06	1	7	0	0.18
118	0.54	0.11	0.00075	0.35	0	0	0	0	0	0.1	0.23
119	0.44	0.21	0.06	0.28	0	0.0017	1e-05	0	0	0.1	0.23
120	0.44	0.017	0.26	0.28	0	0	0	0	0	0.1	0.23
121	0.11	0.82	0.00026	0.069	0	0	0	0	1	0.044	0.23
122	0.46	0.23	0.016	0.3	0	1.3e-05	0	0	0	0.1	0.23
123	0.57	0.028	0.029	0.37	0	0.00022	0	0	0	0.1	0.23
124	0.047	0.49	0.43	0.03	0	0.0002	0	0	1	0.044	0.23
125	0.061	0.88	0.019	0.039	0	0.00073	0	0	1	0.044	0.23
126	0.57	0.033	0.011	0.37	0	0.015	0	0	0	0.1	0.23
127	0.58	0.01	0.022	0.37	0	0.019	0	0	0	0.1	0.23
128	0	0	0	0	0.89	0	0.11	0	4	0.056	0
