k	loglikelihood	observations	parameters	BIC
1	-7898.63	11422	4	15834.6
2	-6747.24	11422	6	13550.5
3	-5842.68	11422	8	11760.1
4	-5670.48	11422	10	11434.4
5	-5622.98	11422	12	11358.1
6	-5487.72	11422	14	11106.2
7	-5314.02	11422	16	10777.5
8	-5313.21	11422	18	10794.6
9	-5373.76	11422	20	10934.4
10	-5278.49	11422	22	10762.5
11	-5286.04	11422	24	10796.3
12	-5317.76	11422	26	10878.4
13	-5282.24	11422	28	10826.1
14	-5291.25	11422	30	10862.8
15	-5244.78	11422	32	10788.6
16	-5262.68	11422	34	10843
17	-5236.77	11422	36	10809.9
18	-5257.61	11422	38	10870.3
19	-5257.61	11422	40	10888.9
20	-5251.84	11422	42	10896.1
