SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	0	1e-05	0	0	0	0	0.012	0	0	0	0.051	0	0	0	0	0	0	0.94	0.00071	17	0.19	0.22	0.18	0.17
1	0	0.00028	0	0	0	0	0.00026	0	0	0	0.24	3.6e-05	0	0	0	1.7e-05	0	0.76	2.6e-05	17	0.19	0.22	0.18	0.17
2	0	0.0061	0	0	0	0	0.0031	0	0	0	0.29	1.4e-05	0	0	0.00036	4.8e-05	0	0.7	6e-06	17	0.19	0.22	0.18	0.17
3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0.04	0.076
4	0	0	0	0.99	0	0	0	0.0082	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0.18	0.17
5	0.037	1.6e-06	0	0	0	0.0027	0	0	0	0	0.0031	0	0	0	0	2e-05	0	0.96	0	17	0.19	0.22	0.18	0.17
6	0	9.3e-06	0	0	0	0	0.0016	0	0	0	0.019	0	0	0	0	0	0	0.98	0.0011	17	0.19	0.22	0.18	0.17
7	0.036	0.00023	0	0	0	0.034	0	0	0	0	0.14	2e-06	0	0	0	0.00088	0	0.79	0	17	0.19	0.22	0.18	0.17
8	0.092	1.1e-06	0	0	0	2.6e-05	0	0	0	0	4.3e-05	0	0	0	0	0	0	0.91	0	17	0.19	0.22	0.18	0.17
9	0.14	0.00023	0	0	0	0.013	0	0	0	0	0.059	0	0	0	0	0	0	0.79	0	17	0.19	0.22	0.18	0.17
10	0.00096	0	0	0	0	0.0021	0	0	0	0	0.0016	0	0	0	0	0.03	0	0.97	0	17	0.19	0.22	0.18	0.17
11	0.036	0.00011	0	0	0	0.028	0	0	0	0	0.023	0	0	0	0	0.00014	0	0.91	0	17	0.19	0.22	0.18	0.17
12	0.11	0.24	0	0	0	0.031	0	0	0	0	0.25	0.00076	0	0	2.3e-05	0.0013	0	0.37	0	17	0.19	0.22	0.18	0.17
13	0	2.3e-05	0	0	0	0	0.00012	0	0	0	0.0086	0	0	0	0	0	0	0.99	0.0011	17	0.19	0.22	0.18	0.17
14	0.018	2.1e-05	0	0	0	0.042	0	0	0	0	0.69	0	0	0	0.00018	0	0	0.25	0	10	0.26	0.22	0.25	0.17
