SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	3.1e-06	0	0	0	0	0	0.97	0	0.0019	0	0.0061	0	0.00013	0.0006	0	0.017	0	0	0	0	6	0.19	0.22	0.18	0.17
1	8.1e-06	0	0	0	0	0	0.81	0	0.0096	0	0.16	9e-06	7.7e-05	0.016	0	0.00024	0	0	0	0	6	0.19	0.22	0.18	0.17
2	0.0014	0	0	0	0	0	0.78	0	0.06	0	0.14	0	0.0095	0.013	0	0.00076	0	0	0	0	6	0.19	0.22	0.18	0.17
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0	0.04	0.076
4	0	0	0	0	0	0	0	0.0082	0	0	0	0	0	0	0.99	0	0	0	0	0	14	0	0	0.18	0.17
5	0	0	0	0.023	0	0.024	0.95	0	0.00018	0	0.0035	0	0.00021	0.00034	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
6	1.6e-05	0	0	0	0	0	0.98	0	0.0006	0	0.0067	0	0.00011	0.00065	0	0.0095	0	0	0	0	6	0.19	0.22	0.18	0.17
7	2.1e-06	0	0	0.02	0	0.23	0.7	0	0.014	0	0.028	0	0.00062	0.0027	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
8	0	0	0	0.06	0	0.00083	0.94	0	2.2e-05	0	0.00016	0	0.00086	1.6e-05	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
9	0	0	0	0.091	0	0.063	0.8	0	0.015	0	0.029	0	0.0017	0.0029	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
10	0	0	0	0.00053	0	0.15	0.84	0	1.2e-05	0	0.00014	0	0	1.4e-05	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
11	6.1e-06	0	0	0.022	0	0.021	0.9	0	0.0018	0	0.048	0	0.00088	0.0047	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
12	0.00045	0	0	0.058	0	0.0096	0.32	0	0.26	0	0.28	0.00077	0.04	0.027	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
13	0	0	0	0	0	0	0.99	0	0.0008	0	0.0026	0	0.00015	0.00025	0	0.0015	0	0	0	0	6	0.19	0.22	0.18	0.17
14	0.0034	0	0	0.0015	0	0.0017	0.034	0	0.00049	0	0.87	0	0.0017	0.085	0	0	0	0	0	0	10	0.26	0.28	0.25	0.17
15	0.0017	0	0	0	0	0	0.73	0	0.0017	0	0.24	0	0.00092	0.023	0	0.00014	0	0	0	0	6	0.19	0.22	0.18	0.17
16	0	0.5	0	0	0.5	0	0	0	0	0.0083	0	0	0	0	0	0	0.0011	0	0	0	1	0.19	0.22	0	0
17	0	0	0	0.0027	0	0.11	0.89	0	0.00072	0	0.00083	0	3e-05	8.1e-05	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
18	0.22	0	0.018	0.0025	0	0.0068	0.5	0	0.0036	0	0.22	0.00082	0.004	0.022	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
19	0.037	0	0.0011	0.0073	0	0.017	0.72	0	0.03	0	0.16	0.0087	0.011	0.015	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
20	0.0014	0	0	0.0038	0	0.015	0.87	0	0.036	0	0.063	0.0011	0.0047	0.0062	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
21	3.1e-06	0	0	0	0	0	0.13	0	0.021	0	0.69	0	0.09	0.067	0	0	0	0	0	0	10	0.26	0.28	0.25	0.17
22	0	0.47	0	0	0.47	0	0	0	0	0.042	0	0	0	0	0	0	0.019	0	0	0	1	0.19	0.22	0	0
23	0.076	0	0.00044	0.0052	0	0.026	0.81	0	0.005	0	0.0038	0.0042	0.07	0.00037	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
24	6.8e-06	0	0	0.064	0	0.0089	0.051	0	0.071	0	0.73	0	0.0042	0.071	0	0	0	0	0	0	10	0.26	0.28	0.25	0.17
25	2.6e-06	0	0	0	0	0	0.99	0	0.0001	0	0.0099	0	0.0019	0.00096	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
26	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0.18	0.17
27	0	0	0	0	0	0	0.99	0	0.0023	0	0.0036	0	5.5e-05	0.00035	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
28	0	0	0	0	0	0	0.98	0	0.00037	0	0.00055	0	1.3e-05	5.3e-05	0	0.014	0	0	0	0	6	0.19	0.22	0.18	0.17
29	0	0	0	0	0	0	1	0	0	0	0.00046	0	1.8e-05	4.5e-05	0	2.7e-05	0	0	0	0	6	0.19	0.22	0.18	0.17
30	0.0012	0	0	0.096	0	0.032	0.77	0	0.015	0	0.07	0.0014	0.0089	0.0068	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
31	0	0	0	0	0	0	0.99	0	0.00043	0	0.013	0	2.5e-05	0.0013	0	0.00014	0	0	0	0	6	0.19	0.22	0.18	0.17
32	0	0	0	0	0	0	0.8	0	7.1e-06	0	0.18	0	3.7e-05	0.018	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
33	0.57	0	0.094	0.00055	0	0.013	0.1	0	0.014	0	0.18	2.1e-05	0.0072	0.018	0	2.3e-05	0	0	0	0	0	0.33	0.41	0.18	0.17
34	0.02	0	0.98	0	0	0	3.3e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.4	0.53	0.25	0.17
35	7.1e-05	0	0	7.7e-05	0	0.00025	0.037	0	0.007	0	0.0011	0.95	0.0083	0.0001	0	0	0	0	0	0	11	0.19	0.34	0.32	0.39
36	0	0.14	0	0	0.14	0	0	0	0	0.008	0	0	0	0	0	0	0.7	0	0	0	16	0.17	0.17	0	0
37	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.19	0.34	0.32	0.39
38	0	0	0	0	0	0	7.8e-05	0	1	0	8.3e-05	0.0036	0.00064	8.1e-06	0	0	0	0	0	0	8	0.26	0.22	0.25	0.24
39	0.023	0	5.7e-05	1.3e-06	0	2.1e-05	0.84	0	0.018	0	0.073	0.0047	0.036	0.0071	0	7.2e-06	0	0	0	0	6	0.19	0.22	0.18	0.17
40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.41	0.18	0.17
41	0	0	0	0	0	0	0.98	0	0.011	0	0.0011	0.0028	0.001	0.00011	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
42	0.99	0	0.0065	0	0	1.1e-06	2e-05	0	0	0	2.9e-05	0	1.1e-05	2.8e-06	0	0	0	0	0	0	0	0.33	0.41	0.18	0.17
43	0.46	0	0.52	1.8e-05	0	0.00078	0.0096	0	5.5e-06	0	0.0039	0	2.7e-05	0.00039	0	0	0	0	0	0	2	0.4	0.53	0.25	0.17
44	0.033	0	0.96	0	0	5.7e-05	0.0019	0	0	0	3.3e-05	0	0	3.3e-06	0	0	0	0	0	0	2	0.4	0.53	0.25	0.17
45	0.0012	0	0	0	0	0.00019	0.3	0	0.35	0	0.25	8.4e-05	0.074	0.024	0	0	0	0	0	0	8	0.26	0.22	0.25	0.24
46	0	0	0	0	0	0	1	0	4.9e-05	0	0.00055	0	0	5.4e-05	0	0.00048	0	0	0	0	6	0.19	0.22	0.18	0.17
47	0	0	0	0	0	0	0.95	0	0.013	0	0.0078	8.6e-05	0.031	0.00076	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
48	0.42	0	0.00019	0	0	2.1e-05	0.00077	0	0.00071	0	0.52	0	0.0036	0.051	0	0	0	0	0	0	10	0.26	0.28	0.25	0.17
49	0.44	0	0.3	0.00099	0	0.0052	0.25	0	9.9e-05	0	0.006	2.3e-05	0.00071	0.00059	0	0	0	0	0	0	0	0.33	0.41	0.18	0.17
50	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.19	0.22	0.02	0
51	0.0083	0	8.7e-06	3.4e-06	0	0.00035	0.76	0	0.024	0	0.18	0.0017	0.012	0.018	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
52	0.00012	0	0	0.0039	0	0.012	0.081	0	0.022	0	0.004	0.87	0.0054	0.00039	0	0	0	0	0	0	11	0.19	0.34	0.32	0.39
53	0.0011	0	0	0	0	0	0.71	0	0.0086	0	0.24	0	0.016	0.023	0	0	0	0	0	0	6	0.19	0.22	0.18	0.17
