SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	0	0.19	0.22	0.18	0.17
1	1	0	0	0	0.19	0.22	0.18	0.17
2	1	0	0	0	0.19	0.22	0.18	0.17
3	0	0	1	2	0	0	0.12	0.11
4	0	0	1	2	0	0	0.12	0.11
5	1	0	0	0	0.19	0.22	0.18	0.17
6	1	0	0	0	0.19	0.22	0.18	0.17
7	1	0	0	0	0.19	0.22	0.18	0.17
8	1	0	0	0	0.19	0.22	0.18	0.17
9	1	0	0	0	0.19	0.22	0.18	0.17
10	1	0	0	0	0.19	0.22	0.18	0.17
11	1	0	0	0	0.19	0.22	0.18	0.17
12	1	0	0	0	0.19	0.22	0.18	0.17
13	1	0	0	0	0.19	0.22	0.18	0.17
14	1	0	0	0	0.19	0.22	0.18	0.17
15	1	0	0	0	0.19	0.22	0.18	0.17
16	0	1	0	1	0.19	0.2	0	0
17	1	0	0	0	0.19	0.22	0.18	0.17
18	1	0	0	0	0.19	0.22	0.18	0.17
19	1	0	0	0	0.19	0.22	0.18	0.17
20	1	0	0	0	0.19	0.22	0.18	0.17
21	1	0	0	0	0.19	0.22	0.18	0.17
22	0	1	0	1	0.19	0.2	0	0
23	1	0	0	0	0.19	0.22	0.18	0.17
24	1	0	0	0	0.19	0.22	0.18	0.17
25	1	0	0	0	0.19	0.22	0.18	0.17
26	0	0	1	2	0	0	0.12	0.11
27	1	0	0	0	0.19	0.22	0.18	0.17
28	1	0	0	0	0.19	0.22	0.18	0.17
29	1	0	0	0	0.19	0.22	0.18	0.17
30	1	0	0	0	0.19	0.22	0.18	0.17
31	1	0	0	0	0.19	0.22	0.18	0.17
32	1	0	0	0	0.19	0.22	0.18	0.17
33	1	0	0	0	0.19	0.22	0.18	0.17
34	1	0	0	0	0.19	0.22	0.18	0.17
35	1	0	0	0	0.19	0.22	0.18	0.17
36	0	1	0	1	0.19	0.2	0	0
37	1	0	0	0	0.19	0.22	0.18	0.17
38	1	0	0	0	0.19	0.22	0.18	0.17
39	1	0	0	0	0.19	0.22	0.18	0.17
40	1	0	0	0	0.19	0.22	0.18	0.17
41	1	0	0	0	0.19	0.22	0.18	0.17
42	1	0	0	0	0.19	0.22	0.18	0.17
43	1	0	0	0	0.19	0.22	0.18	0.17
44	1	0	0	0	0.19	0.22	0.18	0.17
45	1	0	0	0	0.19	0.22	0.18	0.17
46	1	0	0	0	0.19	0.22	0.18	0.17
47	1	0	0	0	0.19	0.22	0.18	0.17
48	1	0	0	0	0.19	0.22	0.18	0.17
49	1	0	0	0	0.19	0.22	0.18	0.17
50	1	0	0	0	0.19	0.22	0.18	0.17
51	1	0	0	0	0.19	0.22	0.18	0.17
52	1	0	0	0	0.19	0.22	0.18	0.17
53	1	0	0	0	0.19	0.22	0.18	0.17
54	0	0	1	2	0	0	0.12	0.11
55	1	0	0	0	0.19	0.22	0.18	0.17
56	1	0	0	0	0.19	0.22	0.18	0.17
57	1	0	0	0	0.19	0.22	0.18	0.17
58	1	0	0	0	0.19	0.22	0.18	0.17
59	1	0	0	0	0.19	0.22	0.18	0.17
60	1	0	0	0	0.19	0.22	0.18	0.17
61	1	0	0	0	0.19	0.22	0.18	0.17
62	1	0	0	0	0.19	0.22	0.18	0.17
63	1	0	0	0	0.19	0.22	0.18	0.17
64	1	0	0	0	0.19	0.22	0.18	0.17
65	1	0	0	0	0.19	0.22	0.18	0.17
66	1	0	0	0	0.19	0.22	0.18	0.17
67	1	0	0	0	0.19	0.22	0.18	0.17
68	1	0	0	0	0.19	0.22	0.18	0.17
69	1	0	0	0	0.19	0.22	0.18	0.17
70	0	0	1	2	0	0	0.12	0.11
71	1	0	0	0	0.19	0.22	0.18	0.17
72	1	0	0	0	0.19	0.22	0.18	0.17
