k	loglikelihood	observations	parameters	BIC
1	-8818.17	12564	8	17711.8
2	-7258.29	12564	12	14629.8
3	-6062.71	12564	16	12276.4
4	-5734.81	12564	20	11658.4
5	-5724.88	12564	24	11676.3
6	-5336.56	12564	28	10937.4
7	-5380.25	12564	32	11062.5
8	-5384.43	12564	36	11108.6
9	-5126.23	12564	40	10630
10	-4822.01	12564	44	10059.3
11	-5048.51	12564	48	10550.1
12	-4994.35	12564	52	10479.5
13	-4738.4	12564	56	10005.4
14	-5165.89	12564	60	10898.1
15	-4735.89	12564	64	10075.9
16	-4722.3	12564	68	10086.4
17	-4751.24	12564	72	10182.1
18	-4981.34	12564	76	10680
19	-4720.41	12564	80	10195.9
20	-4710.18	12564	84	10213.2
