SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0.85	0	0.00063	0.07	0	0.078	6	0	0.093	0
1	0	2.8e-05	0.5	0.5	0	0	0	0	0	0	0	0	3	0.26	0.28	0.28
2	0	0	0.5	0.5	0	0	0	0	0	0	0	0	3	0.26	0.28	0.28
3	2.5e-05	0	0.5	0.5	0	0.0005	0	0	0	0	0	0	3	0.26	0.28	0.28
4	0.0019	0	0.48	0.48	0	0.043	0	1.9e-06	0	0	0	0	3	0.26	0.28	0.28
5	0	0	0	0	0	0	0.92	0	0	5.9e-05	0	0.084	6	0	0.093	0
6	0	0.0027	0.5	0.5	1.5e-05	0.00013	0	0	0	0	0	0	3	0.26	0.28	0.28
7	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0.093	0.28
8	0	0	0	0	0	0	0.85	0	0	0.07	0	0.078	6	0	0.093	0
9	0	0	0	0	0	0	0.91	0	0	0.012	0	0.083	6	0	0.093	0
10	0.0049	0	0.49	0.5	0	0.0053	0	3.5e-05	0	0	0	0	3	0.26	0.28	0.28
11	0	0	0	0	1e-06	0	0.93	0	4.6e-06	0.072	0	0	6	0	0.093	0
12	0	0	0	0	0	0	0.9	0	0.0022	0.094	0	0	6	0	0.093	0
13	0	0	0	0	0	0	0.15	0	0	0.85	0	0	9	0	0.12	0
14	6.2e-05	0	0.5	0.5	0	0	0	8.8e-06	0	0	0	0	3	0.26	0.28	0.28
15	9.2e-05	0	0.0026	0.0026	0	1.9e-05	0	0.99	0	0	0	0	7	0.47	0.43	0.48
16	0.004	0	0.47	0.47	0	0.01	0	0.052	0	0	0	0	3	0.26	0.28	0.28
17	0.0014	0	0.5	0.5	0	0.0022	0	2e-06	0	0	0	0	3	0.26	0.28	0.28
18	0	1	0	0	0	0	0	0	0	0	0	0	1	0.26	0.28	0.031
19	0.0026	0	0.49	0.49	0	0.00013	0	0.025	0	0	0	0	3	0.26	0.28	0.28
20	0.00057	0	0.49	0.49	0	0.014	0	0	0	0	0	0	3	0.26	0.28	0.28
21	0	0	0	0	0	0	0.068	0	0	0.93	0	0	9	0	0.12	0
22	0.0024	0	0.49	0.49	0	0.0093	0	0.0018	0	0	0	0	3	0.26	0.28	0.28
23	0.0024	0	0.5	0.5	0	0.00025	0	0	0	0	0	0	3	0.26	0.28	0.28
24	3.2e-06	0	0.5	0.5	0	0.00011	0	0	0	0	0	0	3	0.26	0.28	0.28
25	3.5e-05	0	0.5	0.5	0	0.0014	0	0	0	0	0	0	3	0.26	0.28	0.28
26	1.1e-06	0	0.49	0.49	0	0.018	0	2.1e-05	0	0	0	0	3	0.26	0.28	0.28
27	4e-05	0	0.5	0.5	0	0.00074	0	0	0	0	0	0	3	0.26	0.28	0.28
28	0.006	0	0.49	0.49	0	0.0024	0	0.014	0	0	0	0	3	0.26	0.28	0.28
29	0.0034	0	0.49	0.49	0	0.014	0	0.0076	0	0	0	0	3	0.26	0.28	0.28
