k	loglikelihood	observations	parameters	BIC
1	-55178.6	34026	6	110420
2	-24750.9	34026	9	49595.7
3	-19406.2	34026	12	38937.7
4	-18229	34026	15	36614.5
5	-17848.5	34026	18	35884.9
6	-16689.6	34026	21	33598.4
7	-17116.5	34026	24	34483.5
8	-17111.5	34026	27	34504.7
9	-16708.7	34026	30	33730.4
10	-16896.5	34026	33	34137.4
11	-16181.3	34026	36	32738.2
12	-15908.4	34026	39	32223.8
13	-15837.6	34026	42	32113.5
14	-16140.9	34026	45	32751.3
15	-15948.7	34026	48	32398.4
16	-15904.6	34026	51	32341.4
17	-16008.5	34026	54	32580.5
18	-15621.2	34026	57	31837.2
19	-15511.1	34026	60	31648.2
20	-15406	34026	63	31469.5
