SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0	0.85	0	0	0	0	0.071	0	0.078	0	1	0	0.093	0
1	0	0	0	0.073	0	0	0	0.93	0	0	7	0.26	0.19	0.28
2	0	0	0	0.0025	0	0	0	1	0	0	7	0.26	0.19	0.28
3	0	0	0	0.97	0	0	0	0.031	0	0.00021	3	0.26	0.28	0.28
4	0	0	0	1	1.8e-05	0	0	0	0	0	3	0.26	0.28	0.28
5	0	0.18	0	0	0	0	1.2e-05	0	0.82	0	8	0	0.062	0.28
6	0.002	0	0	0.59	0	0	0	0.41	0	0	3	0.26	0.28	0.28
7	0	0	0	0	0	0	0	0	1	0	8	0	0.062	0.28
8	0	0.91	0	0	0	0	0.077	0	0.0082	0	1	0	0.093	0
9	0	0.97	0	0	0	0	0.013	0	0.019	0	1	0	0.093	0
10	0	0	0	0.98	3.4e-05	0	0	0.019	0	0.00016	3	0.26	0.28	0.28
11	0	0.93	0	0	0	0	0.074	0	0	0	1	0	0.093	0
12	0	0.9	5e-05	0	0	0	0.097	0	0	0	1	0	0.093	0
13	0	0.14	0	0	0	0	0.86	0	0	0	6	0	0.12	0
14	0	0	0	1	0	0	0	0	0	0	3	0.26	0.28	0.28
15	0	0	0	0.0094	0.99	0	0	0	0	0	4	0.47	0.43	0.52
16	0	0	0	0.93	0.074	0	0	1.6e-06	0	2.1e-06	3	0.26	0.28	0.28
17	0	0	0	0.99	0	0	0	0.011	0	0.00014	3	0.26	0.28	0.28
18	1	0	0	0	0	0	0	0	0	0	0	0.26	0.28	0.031
19	0	0	0	0.85	0.15	0	0	0	0	0	3	0.26	0.28	0.28
20	0	0	0	1	0	0	0	0.0014	0	0.002	3	0.26	0.28	0.28
21	0	0.066	0	0	0	0	0.93	0	0	0	6	0	0.12	0
22	0	0	0	0.99	0.0061	0	0	0	0	0	3	0.26	0.28	0.28
23	0	0	0	0.97	0	0	0	0.026	0	6.6e-06	3	0.26	0.28	0.28
24	0	0	0	0.99	0	0	0	0.0099	0	0.00012	3	0.26	0.28	0.28
25	0	0	0	0.99	0	0	0	0.014	0	0.00053	3	0.26	0.28	0.28
26	0	0	0	1	0	0	0	1.6e-06	0	0.00081	3	0.26	0.28	0.28
27	0	0	0	0.99	0	0	0	0.005	0	0.00014	3	0.26	0.28	0.28
28	0	0	0	0.94	0.013	0	0	0.042	0	9.4e-05	3	0.26	0.28	0.28
29	0	0	0	0.99	0.0043	0	0	0.004	0	0.00072	3	0.26	0.28	0.28
30	0	0	0	1	0	0	0	0	0	0	3	0.26	0.28	0.28
31	0	0	0	0.99	0	0	0	0.0053	0	8.1e-06	3	0.26	0.28	0.28
32	0	0	0	0.97	0.03	0	0	7.1e-05	0	2.6e-06	3	0.26	0.28	0.28
33	0	0	0	0.99	0	0	0	0.0077	0	0.00018	3	0.26	0.28	0.28
34	0	0	0	0.98	0	0	0	0.024	0	1.8e-05	3	0.26	0.28	0.28
35	0	0	0	1	0	0	0	0.0015	0	6.5e-05	3	0.26	0.28	0.28
36	0	0	0	0.96	0	0	0	0.039	0	9e-06	3	0.26	0.28	0.28
37	0	0	0	1	0.00012	0	0	0	0	0	3	0.26	0.28	0.28
38	0	0.98	0	0	0	0	0.022	0	0	0	1	0	0.093	0
39	0	0	0	0.85	0.15	0	0	0	0	0	3	0.26	0.28	0.28
40	0	0	0	1	0	0	0	8.1e-05	0	5.1e-06	3	0.26	0.28	0.28
41	0	0	0	0.34	0.66	0	0	0	0	0	4	0.47	0.43	0.52
42	0	0.94	0	0	0	0	0.056	0	0	0	1	0	0.093	0
43	0	0	0	1	0.00095	0	0	0	0	1.5e-06	3	0.26	0.28	0.28
44	0	0	0	0.98	0.019	0	0	0	0	0	3	0.26	0.28	0.28
45	0	0	0	0.94	0.056	0	0	0	0	0	3	0.26	0.28	0.28
46	0	0.97	0	0	0	0	0.032	0	0	0	1	0	0.093	0
47	0	0.97	0	0	0	0	0.029	0	0	0	1	0	0.093	0
48	0.0024	0	0	0.99	0.003	0	0	0	0	0	3	0.26	0.28	0.28
49	0	0	0	1	0.00013	0	0	0	0	0	3	0.26	0.28	0.28
50	0	0	0	0.64	0	0	0	0.36	0	2.8e-06	3	0.26	0.28	0.28
51	1	0	0	0	0	0	0	0	0	0	0	0.26	0.28	0.031
52	0	0	0	0.19	0.81	0	0	0	0	0	4	0.47	0.43	0.52
53	3.4e-05	0	0	0.99	0	0	0	0.0068	0	0.0023	3	0.26	0.28	0.28
54	0	0	0	1	9.8e-05	0	0	0	0	0	3	0.26	0.28	0.28
55	0	0.91	0	0	0	0	0.086	0	0	0	1	0	0.093	0
56	0	0	0	0.97	0	0	0	0.026	0	0	3	0.26	0.28	0.28
57	0	0	0	1	3.5e-06	0	0	0	0	0	3	0.26	0.28	0.28
58	0	0	0	0.99	0	0	0	0.01	0	7.2e-05	3	0.26	0.28	0.28
59	0	0	1	0	0	0	0	0	0	0	2	0.087	0.031	0
60	0	0	0	1	1e-05	0	0	0.0011	0	0.00086	3	0.26	0.28	0.28
61	0	0.93	0	0	0	0	0.069	0	0	0	1	0	0.093	0
62	0	0	0	1	0	0	0	0.0031	0	1.2e-06	3	0.26	0.28	0.28
63	0	1	0	0	0	0	0.0038	0	0	0	1	0	0.093	0
64	0	0	0	0.92	0.0032	0	0	0.081	0	1.1e-05	3	0.26	0.28	0.28
65	0	0.99	0	0	0	0	0.014	0	0	0	1	0	0.093	0
66	0	0	0	0.034	0.97	0	0	0	0	0	4	0.47	0.43	0.52
67	0	0	0	0.99	0	0	0	0.0038	0	0.0013	3	0.26	0.28	0.28
68	0	0	0	0.98	0	0	0	0.023	0	0	3	0.26	0.28	0.28
69	0	0	0	1	0	0	0	0.00017	0	0.0023	3	0.26	0.28	0.28
70	1	0	0	0	0	0	0	0	0	0	0	0.26	0.28	0.031
71	0.00034	0	0	0.9	0	0	0	0.1	0	0.00046	3	0.26	0.28	0.28
72	1	0	0	0	0	0	0	0	0	0	0	0.26	0.28	0.031
73	0	0.95	0	0	0	0	0.051	0	0	0	1	0	0.093	0
74	0	0.86	0	0	0	0	0.14	0	0	0	1	0	0.093	0
75	0	0	0	0.85	0.015	0	0	0.14	0	8.5e-06	3	0.26	0.28	0.28
76	9.3e-06	0.89	0	0	0	0	0.11	0	0	0	1	0	0.093	0
77	0	0	0	1	0	0	0	0	0	0	3	0.26	0.28	0.28
78	0	0	0	1	0	0	0	2.9e-05	0	0	3	0.26	0.28	0.28
79	0	0.97	0	0	0	0	0.035	0	0	0	1	0	0.093	0
80	0	0	0	0.94	0.064	0	0	0	0	0	3	0.26	0.28	0.28
81	0	0	0	0.89	0.015	0	0	0.099	0	0.00013	3	0.26	0.28	0.28
82	0	0	0	0.83	0.17	0	0	0	0	0	3	0.26	0.28	0.28
83	0	0	0	1	0	0	0	5e-05	0	1.2e-05	3	0.26	0.28	0.28
84	0	0	0	0.91	0	0	0	0.094	0	0	3	0.26	0.28	0.28
85	0	0	0	0.62	0.38	0	0	8.3e-05	0	1.1e-06	3	0.26	0.28	0.28
86	0	0	0	0.71	0.29	0	0	0	0	0	3	0.26	0.28	0.28
87	1	0	0	0.0011	0	0	0	0	0	0	0	0.26	0.28	0.031
88	0	0	0	0.95	0.052	0	0	0	0	0	3	0.26	0.28	0.28
89	0	0.93	0	0	0	0	0.072	0	0	0	1	0	0.093	0
90	0	0	0	0.96	0	0	0	0.039	0	1.3e-06	3	0.26	0.28	0.28
91	0	0	0	0.97	0	0	0	0.034	0	0.0001	3	0.26	0.28	0.28
92	0	0	0	1	0.00041	0	0	0	0	0	3	0.26	0.28	0.28
93	0	0	0	1	3.2e-05	0	0	0	0	0	3	0.26	0.28	0.28
94	0	0.99	0	0	0	0	0.0066	0	0	0	1	0	0.093	0
95	0	0	0	0.99	0	0	0	0.0019	0	0.0052	3	0.26	0.28	0.28
96	1	0	0	0	0	0	0	0	0	0	0	0.26	0.28	0.031
97	0.00011	0	0	0.99	0.0049	0	0	1.2e-05	0	3e-06	3	0.26	0.28	0.28
98	0	0	0	0	0	0	0	0	1	0	8	0	0.062	0.28
99	0	0	0	0.95	0	0	0	0.045	0	0.00029	3	0.26	0.28	0.28
100	0	0.97	0	0	0	0	0.033	0	0	0	1	0	0.093	0
101	0	0	0	0.6	0.4	0	0	0	0	0	3	0.26	0.28	0.28
102	0	1	0	0	0	0	0.0037	0	0	0	1	0	0.093	0
103	0	0	0	1	0	0	0	0.0002	0	1.3e-06	3	0.26	0.28	0.28
104	0	0	0	0.13	0.87	0	0	0	0	0	4	0.47	0.43	0.52
105	0	0	0	0.71	0.29	0	0	0	0	0	3	0.26	0.28	0.28
106	0	0	0	0.96	0.037	0	0	0	0	0	3	0.26	0.28	0.28
107	0	0.9	0	0	0	0	0.1	0	0	0	1	0	0.093	0
108	0	0	0	0.97	0.03	0	0	0	0	0	3	0.26	0.28	0.28
109	0	0	0	0.97	0.0016	0	0	0.03	0	0.00021	3	0.26	0.28	0.28
110	0	0	0	0.99	0.00045	0	0	0.0045	0	0.00082	3	0.26	0.28	0.28
111	0	0	0	1	0	0	0	0.0027	0	3.7e-06	3	0.26	0.28	0.28
112	0	0	0	0.97	0	0	0	0.029	0	7.9e-05	3	0.26	0.28	0.28
113	0	0	0	0.65	0	0	0	0.35	0	0	3	0.26	0.28	0.28
114	0	0	1	0.00022	0	0	0	0.00047	0	0	2	0.087	0.031	0
115	0	0	0	0.99	0	0	0	0.0075	0	0.00095	3	0.26	0.28	0.28
116	0	0	0	1	0.0008	0	0	1.2e-05	0	0.00098	3	0.26	0.28	0.28
117	0	0.84	0	0	0	0	0.017	0	0.15	0	1	0	0.093	0
118	0	0	0	0.59	0.41	0	0	0	0	0	3	0.26	0.28	0.28
119	0	0	0	0	0	0	0	0	1	0	8	0	0.062	0.28
