SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
1	0.98	0.008	0	0	0	0	0	0	0	0.0064	0	0	0	0.0028	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
3	0	0	0	0	0	0.00015	0	0	0	0	0	0	0	0	0.0001	0	0	1	0	0	17	0	0	0.44	0.038	0
4	0	0	0	0.064	0.94	0	0	0	0	0	0	4.6e-06	0	0	0	0	0	0	0	0	4	0	0.036	0	0.11	0
5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
6	0	0	0	0.11	0.88	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	4	0	0.036	0	0.11	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.52	0.6	0.054	0.076	0.4
8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0031	0	0	0	12	0.41	0.32	0.054	0.34	0.44
9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.32	0.054	0.34	0.44
10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
11	0.91	0.012	0	0	0	0	0	4.2e-06	0	0.066	6.3e-06	0	0	0.016	0	0	0	0	0	1.1e-06	0	0.59	0.68	0.49	0.34	0.51
12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.046	0.036	0.16	0.11	0.054
14	1	0.0012	0	0	0	0	0	0	0	0	0	0	0	1.3e-05	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
15	0	0	0	0	0	0	0	0	0	0	0	0	2.9e-06	0	0	1	0	0	0	0	15	0.52	0.6	0.054	0.076	0.4
16	0.42	0.01	0	0	0	0	0	0	0	0.53	0	0	0	0.04	0	0	0	0	0	0	9	0.59	0.68	0.6	0.34	0.62
17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0.59	0.68	0.5	0.45	0.56
20	0	1	0	0.00012	0.00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.59	0.68	0.49	0.45	0.51
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5e-06	1	0	0	0	16	0.41	0.32	0	0.038	0.27
22	0.98	0.0034	0	0	0	0	0	0	0	0.012	1.2e-05	0	0	0.0015	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
23	0.95	0.0012	0	0	0	0	0	0	0	0.048	5.2e-05	0	0	0.0005	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.52	0.6	0.054	0.076	0.4
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.52	0.6	0.054	0.076	0.4
26	0	0	0	0	0	0.99	0	0	2e-06	0	0	0.00048	0	0	0.00025	0	0	0.012	0	0	5	0	0	0.22	0.038	0
27	0	0	0	0	0	0	0	0	0	0	0	0	2.8e-05	0	0	0.073	0.93	0	0	0	16	0.41	0.32	0	0.038	0.27
28	0.93	0.055	0	0	0	0	0	0	0	0.0023	1.1e-06	0	0	0.014	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.046	0.036	0.16	0.11	0.054
30	0	0	0	0.05	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0.036	0	0.11	0
31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0.49	0.038	0.054
32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
33	0.91	0.072	0	0	0	0	0	0	0	0.0017	1.5e-05	0	0	0.016	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
34	0.88	0.048	0	0	0	0	0	5.3e-05	0	0.039	0.0046	0	0	0.032	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
35	0.87	0.02	0	0	0	0	0	0	0	0.086	0.0001	0	0	0.025	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
36	0.82	0.14	0	0	0	0	0	0	0	0.0016	5.1e-06	0	0	0.034	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
37	0.88	0.011	0	0	0	0	0	0	0	0.096	0.0022	0	0	0.0085	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0.49	0.038	0.054
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.52	0.6	0.054	0.076	0.4
40	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0.49	0.038	0.054
41	0.89	0.053	0	0	0	0	0	1.3e-06	0	0.018	2.5e-05	0	0	0.042	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.046	0	0	0.11	0
43	0	0.00036	0	0	0	0	0	0	0.00012	0	0	0	0	0	0.044	0	0	0.96	0	0	17	0	0	0.44	0.038	0
44	1	0.0038	0	0	0	0	0	8e-06	0	3.5e-06	0	0	0	0.00078	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
45	0.89	0.077	0	0	0	0	0	0	0	0.0082	8.5e-05	0	0	0.023	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
46	0	0	0	0.15	0.85	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	4	0	0.036	0	0.11	0
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0.046	0.036	0.16	0.11	0.054
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0.41	0.32	0	0.038	0.27
49	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0.41	0.32	0.054	0.34	0.44
50	0.7	0.21	0	0	0	0	0	0	0	0.00076	0	0	0	0.095	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
51	1	5.1e-05	0	0	0	0	0	0	0	2.7e-05	0	0	0	1.3e-05	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
