SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
1	0.97	0	0	0	0.025	0	0	4.7e-06	0	0.59	0.68	0.49	0.34	0.51
2	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
3	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
4	0	0.031	0	0	0	0	0.97	0	6	0	0.036	0	0.076	0
5	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
6	0	0.96	0	0	0	0	0.039	0	1	0.046	0	0	0.15	0
7	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
8	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
9	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
10	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
11	0.98	0	0	0	0.017	0	0	3.5e-05	0	0.59	0.68	0.49	0.34	0.51
12	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
13	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
14	1	0	0	0	0.00026	0	0	0	0	0.59	0.68	0.49	0.34	0.51
15	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
16	0.91	0	0	0	0.088	0	0	1.8e-05	0	0.59	0.68	0.49	0.34	0.51
17	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
18	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
19	0	0	0	0.00011	0	0	0	1	7	0.59	0.68	0.83	0.45	0.56
20	0	0.51	0	0	0	0	0.49	0	1	0.046	0	0	0.15	0
21	0	0	0	1	0	9.8e-05	0	0	3	0.091	0.11	0.16	0.038	0.054
22	0.96	0	0	0	0.044	0	0	9.2e-05	0	0.59	0.68	0.49	0.34	0.51
23	0.78	0	0	0	0.22	0	0	0.00053	0	0.59	0.68	0.49	0.34	0.51
24	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
25	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
26	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
27	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
28	0.98	0	0	0	0.015	0	0	2.1e-05	0	0.59	0.68	0.49	0.34	0.51
29	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
30	0	0.0021	0	0	0	0	1	0	6	0	0.036	0	0.076	0
31	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
32	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
33	0.99	0	0	0	0.011	0	0	8.4e-05	0	0.59	0.68	0.49	0.34	0.51
34	0.96	0	0	0	0.033	0	0	0.0094	0	0.59	0.68	0.49	0.34	0.51
35	0.98	0	0	0	0.022	0	0	0.00067	0	0.59	0.68	0.49	0.34	0.51
36	0.99	0	0	0	0.012	0	0	4.6e-05	0	0.59	0.68	0.49	0.34	0.51
37	0.92	0	0	0	0.077	0	0	0.005	0	0.59	0.68	0.49	0.34	0.51
38	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
39	0	0	0	0	0	1	0	0	5	0.59	0.68	0.054	0.076	0.51
40	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
41	0.99	0	0	0	0.011	0	0	0.00018	0	0.59	0.68	0.49	0.34	0.51
42	0	1	0	0	0	0	0	0	1	0.046	0	0	0.15	0
43	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
44	1	0	0	0	2.1e-05	0	0	0	0	0.59	0.68	0.49	0.34	0.51
45	0.96	0	0	0	0.043	0	0	0.00093	0	0.59	0.68	0.49	0.34	0.51
46	0	0.96	0	0	0	0	0.042	0	1	0.046	0	0	0.15	0
47	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
48	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
49	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
50	0.99	0	0	0	0.01	0	0	0	0	0.59	0.68	0.49	0.34	0.51
51	1	0	0	0	0.0004	0	0	0	0	0.59	0.68	0.49	0.34	0.51
52	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
53	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
54	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
55	0	0	1	0.0027	0	0	0	0	2	0	0	0.49	0.038	0
56	0.35	0	0	0	0.25	0	0	0.39	7	0.59	0.68	0.83	0.45	0.56
57	0.99	0	0	0	0.0095	0	0	0	0	0.59	0.68	0.49	0.34	0.51
58	0.0029	0	0	0	3.9e-05	0	0	1	7	0.59	0.68	0.83	0.45	0.56
59	1	0	0	0	0.0037	0	0	0	0	0.59	0.68	0.49	0.34	0.51
60	0.79	0	0	0	0.21	0	0	0	0	0.59	0.68	0.49	0.34	0.51
61	1	0	0	0	0.0023	0	0	0	0	0.59	0.68	0.49	0.34	0.51
62	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
63	0.98	0	0	0	0.018	0	0	1.6e-05	0	0.59	0.68	0.49	0.34	0.51
64	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
65	0.99	0	0	0	0.012	0	0	0	0	0.59	0.68	0.49	0.34	0.51
66	1	0	0	0	0.0034	0	0	8.4e-06	0	0.59	0.68	0.49	0.34	0.51
67	0.98	0	0	0	0.018	0	0	0.0013	0	0.59	0.68	0.49	0.34	0.51
68	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
69	0	0	1	0	0	0	0	0	2	0	0	0.49	0.038	0
70	0.99	0	0.007	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
71	0	0.99	0	0	0	0	0.01	0	1	0.046	0	0	0.15	0
72	0.45	0	0	0	0.55	0	0	0	4	0.59	0.68	0.6	0.34	0.51
73	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
74	1	0	0	0	0.00029	0	0	0	0	0.59	0.68	0.49	0.34	0.51
75	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
76	0.99	0	0	0	0.0052	0	0	0	0	0.59	0.68	0.49	0.34	0.51
77	0.98	0	0	0	0.023	0	0	2.4e-05	0	0.59	0.68	0.49	0.34	0.51
78	0.99	0	0	0	0.01	0	0	4.7e-05	0	0.59	0.68	0.49	0.34	0.51
79	0.44	0	0	0	0.34	0	0	0.21	0	0.59	0.68	0.49	0.34	0.51
80	0	0	0	0	0	0	1	0	6	0	0.036	0	0.076	0
81	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
82	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
83	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
84	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
85	1	0	0	0	4.4e-05	0	0	0	0	0.59	0.68	0.49	0.34	0.51
86	0.99	0	0	0	0.012	0	0	7e-05	0	0.59	0.68	0.49	0.34	0.51
87	0	0.02	0	0	0	0	0.98	0	6	0	0.036	0	0.076	0
88	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
89	0.99	0	0	0	0.014	0	0	2.8e-05	0	0.59	0.68	0.49	0.34	0.51
90	0.96	0	0	0	0.04	0	0	2.4e-05	0	0.59	0.68	0.49	0.34	0.51
91	0.91	0	0	0	0.093	0	0	2.5e-05	0	0.59	0.68	0.49	0.34	0.51
92	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
93	0	0	0	0	0	0	1	0	6	0	0.036	0	0.076	0
94	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
95	1	0	0	0	0.0011	0	0	0	0	0.59	0.68	0.49	0.34	0.51
96	1	0	0	0	0.0037	0	0	0	0	0.59	0.68	0.49	0.34	0.51
97	0	0	0	1	0	0	0	0	3	0.091	0.11	0.16	0.038	0.054
98	0	0.98	0	0	0	0	0.019	0	1	0.046	0	0	0.15	0
99	1	0	0	0	0	0	0	0	0	0.59	0.68	0.49	0.34	0.51
