SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
1	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
2	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
3	0	1	0	0	1	0	0	0.22	0.076	0
4	0	1	0	0	1	0	0	0.22	0.076	0
5	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
6	0	1	0	1.7e-05	1	0	0	0.22	0.076	0
7	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
8	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
9	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
10	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
11	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
12	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
13	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
14	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
15	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
16	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
17	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
18	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
19	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
20	0	1	0	0	1	0	0	0.22	0.076	0
21	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
22	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
23	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
24	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
25	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
26	0	1	0	0	1	0	0	0.22	0.076	0
27	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
28	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
29	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
30	0	1	0	0	1	0	0	0.22	0.076	0
31	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
32	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
33	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
34	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
35	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
36	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
37	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
38	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
39	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
40	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
41	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
42	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
43	0	1	0	0	1	0	0	0.22	0.076	0
44	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
45	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
46	0	1	0	3.1e-05	1	0	0	0.22	0.076	0
47	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
48	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
49	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
50	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
51	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
52	0	1	0	0	1	0	0	0.22	0.076	0
53	0	1	0	0	1	0	0	0.22	0.076	0
54	0	1	0	8.7e-06	1	0	0	0.22	0.076	0
55	0	1	0	0	1	0	0	0.22	0.076	0
56	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
57	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
58	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
59	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
60	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
61	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
62	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
63	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
64	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
65	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
66	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
67	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
68	0	1	0	0	1	0	0	0.22	0.076	0
69	0	1	0	0	1	0	0	0.22	0.076	0
70	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
71	0	1	0	0.00028	1	0	0	0.22	0.076	0
72	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
73	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
74	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
75	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
76	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
77	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
78	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
79	1	0	0	0	0	0.59	0.68	0.49	0.34	0.51
80	0	0	0	1	3	0.091	0.071	0.16	0.076	0.054
