k	loglikelihood	observations	parameters	BIC
1	-28189.8	9760	10	56471.4
2	-10194.1	9760	15	20526
3	-12677.6	9760	20	25538.9
4	-9314.71	9760	25	18859.1
5	-8463.85	9760	30	17203.3
6	-8728.68	9760	35	17778.9
7	-6864.23	9760	40	14095.9
8	-7431.8	9760	45	15277
9	-7571.71	9760	50	15602.7
10	-7125.91	9760	55	14757.1
11	-6651.95	9760	60	13855.1
12	-6454.1	9760	65	13505.3
13	-6350.03	9760	70	13343.1
14	-5856.33	9760	75	12401.6
15	-5972.69	9760	80	12680.3
16	-6632.43	9760	85	14045.7
17	-5478.67	9760	90	11784.1
18	-6245.8	9760	95	13364.3
19	-5971.83	9760	100	12862.3
20	-5310.64	9760	105	11585.8
