SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	0	0.0093	0	0	0	1.7e-05	0	0	0	7.5e-05	0	0	0	0	0	0	0.99	17	0.39	0.32
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0.043	0.28
2	0.6	0.4	0	0	0.00019	0	0	0	0	0	0	0	0.00019	0	0	0	0	0	0	0	0.25
3	0.51	0.031	0	0	0.23	0	0	0	0.014	0	0	0	0.23	0	0	0	0	0	0	0	0.25
4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.087	0
5	0.78	0.064	0	0	0.077	0	0	0	0.0009	0	0	0	0.077	0	0	0	0	0	0	0	0.25
6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0.043	0.28
7	0.62	0.37	0	0	0.0023	0	0	0	4.1e-05	0	0	0.0009	0.0023	0	0	0	0	0.0024	0	0	0.25
8	0	0	0.18	0	0	0	8e-06	0	0	0	3.6e-05	0	0	0	0	2.5e-05	0	0.82	17	0.39	0.32
9	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0.39	0.32
10	2.9e-05	0.00043	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0.11
11	0.14	0.0012	0	0	0.28	0	0	0	2.9e-05	0	0	0	0.28	0	0	0	0	0.29	17	0.39	0.32
12	0.48	0.05	0	0	0.15	0	0	0	0.01	0	0	2.1e-05	0.15	0	0	0	0	0.15	0	0	0.25
13	0	0	0	0.016	0	0.96	0	0	0	0	0	0	0	0	0.011	0	0	0.0087	5	0.3	0
14	0	0	0.41	0	0	0	0	0	0	0	7.9e-06	0	0	0	0	0	0	0.59	17	0.39	0.32
15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00037	0	0	0	5	0.3	0
16	0.64	0.1	0	0	0.082	0	0	0	0.0052	0	0	0.00016	0.082	0	0	0	0	0.084	0	0	0.25
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0.39	0.32
18	0.71	0.21	0	0	0.024	0	0	0	0.0011	0	0	0.0016	0.024	0	0	0	0	0.025	0	0	0.25
19	0	0	0.038	0	0	0	0.00037	0	0	0	0.0017	0	0	0.0024	0	0.00071	0	0.96	17	0.39	0.32
20	0.81	0.058	0	0	0.044	0	0	0	0.0001	0	0	0	0.044	0	0	0	0	0.045	0	0	0.25
21	0	0	0	0	0	0.79	0	0	0	0	0	0	0	0	0	0	0	0.21	5	0.3	0
22	0.039	0.055	0	0	0.00012	0	0	0	2.9e-05	0	0	0.91	0.00012	0	0	0	0	0.00013	11	0	0.11
23	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	5.5e-06	0	0	0.55	17	0.39	0.32
24	0.75	0.2	0	0	0.017	0	0	0	0.00036	0	0	9.3e-05	0.017	0	0	0	0	0.018	0	0	0.25
25	0.46	0.033	0	0	0.17	0	0	0	0.0027	0	0	0	0.17	0	0	0	0	0.17	0	0	0.25
26	0.63	0.15	0	0	0.066	0	0	0	0.01	0	0	0.006	0.066	0	0	0	0	0.068	0	0	0.25
27	0.09	0.0015	0	0	0.3	0	0	0	0.00079	0	0	0	0.3	0	0	0	0	0.31	17	0.39	0.32
28	0.69	0.19	0	0	0.035	0	0	0	0.0035	0	0	0.003	0.035	0	0	0	0	0.036	0	0	0.25
29	0.68	0.28	0	0	0.01	0	0	0	0.00025	0	0	0.0034	0.01	0	0	0	0	0.011	0	0	0.25
30	0.91	0.076	0	0	0.0041	0	0	0	0	0	0	0	0.0041	0	0	0	0	0.0042	0	0	0.25
31	0.34	0.01	0	0	0.22	0	0	0	0.00037	0	0	0	0.22	0	0	0	0	0.22	0	0	0.25
32	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0.39	0.32
33	0.77	0.057	0	0	0.057	0	0	0	0.0003	0	0	0	0.057	0	0	0	0	0.058	0	0	0.25
34	0.71	0.13	0	0	0.052	0	0	0	0.0016	0	0	8.4e-05	0.052	0	0	0	0	0.053	0	0	0.25
35	0	0	0.096	0	0	0	0.057	0	0	0	0.26	0	0	0.00062	0	0.019	0	0.57	17	0.39	0.32
36	4.4e-05	0.0011	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0.11
37	0.44	0.56	0	0	2.9e-05	0	0	0	0	0	0	0	2.9e-05	0	0	0	0	3e-05	1	0	0.21
38	0	0	0.052	0	0	0	0.0011	0	0	0	0.005	0	0	2.7e-05	0	0.0026	0	0.94	17	0.39	0.32
39	0	0	0.048	0	0	0	0.0016	0	0	0	0.0074	0	0	0	0	6.5e-05	0	0.94	17	0.39	0.32
40	0	0	0.0045	0	0	0	0.008	0	0	0	0.036	0	0	0	0	0	0	0.95	17	0.39	0.32
41	0.011	7.9e-05	1.2e-05	0	0.42	0	0.00062	0	0.026	0	0.0028	0	0.42	0	0	0.13	0	0.00056	4	0	0.32
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	0.39	0.32
43	0	0	0	2.1e-06	0	1	0	0	0	0	0	0	0	0	0.0029	0	0	0	5	0.3	0
