SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0	0	0	0	0.0077	0	0.0077	5.9e-05	0	0.98	0	1.2e-05	0	0	0	0	0	9	0.39	0.32
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0.043	0.32
2	0.0025	0	0	0.00039	0	0	0	0	0.5	0	0	0	0	0.5	0	0.0035	0	8	0	0.25
3	5.5e-05	0	0	0.33	0	0	0	0	0.3	0	0.018	0	0	0.3	0	0.055	0	3	0	0.32
4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0.087	0
5	4.3e-05	0	0	0.11	0	0	0	0	0.43	0	0.00045	0	0	0.43	0	0.042	0	8	0	0.25
6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0.043	0.32
7	0.041	0	0	0.0044	0	0	0	0	0.47	0.0031	7.2e-06	0	0	0.47	0	0.0078	0	8	0	0.25
8	0	0	0	0	0.069	2.3e-05	0.069	3e-05	0	0.86	0	0.00012	0	0	0	0	0	9	0.39	0.32
9	0	0	0	0	0.0015	0	0.0015	0	0	1	0	0	0	0	0	0	0	9	0.39	0.32
10	0.3	0	0.7	0	0	0	0	0	3.9e-05	0	0	0	0	3.9e-05	0	0	0	2	0	0.071
11	0	0	0	0.46	0	0	0	0	0.089	0.32	7.6e-05	0	0	0.089	0	0.047	0	3	0	0.32
12	0.00058	0	0	0.22	0	0	0	0	0.28	0.16	0.015	0	0	0.28	0	0.038	0	8	0	0.25
13	0	0.011	0	0	0	0	0	0	0	0.0091	0	0	0.015	0	0.96	0	0	14	0.3	0
14	0	0	0	0	0.21	0	0.21	6.1e-06	0	0.58	0	4.6e-05	0	0	0	0	0	9	0.39	0.32
15	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0.3	0
16	0.0029	0	0	0.12	0	0	0	0	0.38	0.084	0.0048	0	0	0.38	0	0.032	0	8	0	0.25
17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0012	9	0.39	0.32
18	0.019	0	0	0.039	0	0	0	0	0.45	0.027	0.00055	0	0	0.45	0	0.02	0	8	0	0.25
19	0	0	0	0	0.015	0.00062	0.015	0.0013	0	0.97	0	0.0016	0	0	0	0	0	9	0.39	0.32
20	0	0	0	0.06	0	0	0	0	0.43	0.041	4e-05	0	0	0.43	0	0.034	0	8	0	0.25
21	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0.78	0	0	14	0.3	0
22	0.57	0	0.36	0.00028	0	0	0	0	0.035	0.00019	7.2e-06	0	0	0.035	0	0.00043	0	0	0	0.14
23	0	5.4e-06	0	0	0	0	0	0	0	0.56	0	0	0	0	0.44	0	0	9	0.39	0.32
24	0.005	0	0	0.027	0	0	0	0	0.46	0.019	0.00013	0	0	0.46	0	0.019	0	8	0	0.25
25	7.7e-05	0	0	0.25	0	0	0	0	0.27	0.17	0.0039	0	0	0.27	0	0.042	0	8	0	0.25
26	0.022	0	0.00013	0.1	0	0	0	0	0.38	0.07	0.0096	0	0	0.38	0	0.027	0	8	0	0.25
27	0	0	0	0.5	0	0	0	0	0.059	0.35	0.0035	0	0	0.059	0	0.031	0	3	0	0.32
28	0.022	0	1.7e-05	0.055	0	0	0	0	0.43	0.038	0.0022	0	0	0.43	0	0.023	0	8	0	0.25
