SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0.018	0.98	9.8e-05	9	0.39	0.32
1	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
2	0	0	0	0.00041	0	1	0	0	0	0	0	5	0	0.25
3	0	0.019	0	0.36	0	0.62	0	0	0	0	0	5	0	0.25
4	0	0	0	0	0	0	0	1	0	0	0	7	0.087	0
5	0	0.00046	0	0.11	0	0.89	0	0	0	0	0	5	0	0.25
6	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
7	0	7.6e-06	0.0012	0.0048	0	0.99	0	0	0	0.0031	0	5	0	0.25
8	0	0	0	0	0	0	0	0	0.19	0.81	4.7e-05	9	0.39	0.32
9	0	0	0	0	0	0	0	0	0.0047	1	0	9	0.39	0.32
10	0	0	1	0	0	3.4e-05	0.00015	0	0	0	0	2	0	0.11
11	0	8e-05	0	0.5	0	0.19	0	0	0	0.32	0	3	0	0.32
12	0	0.015	2.2e-05	0.24	0	0.59	0	0	0	0.15	0	5	0	0.25
13	0	1.1e-05	0	0	0.44	0	0.0009	0.37	0	0.2	0	4	0.39	0
14	0	0	0	0	0	0	0	0	0.35	0.65	1.1e-05	9	0.39	0.32
15	0	0	0	0	0.99	0	0.014	0	0	0	0	4	0.39	0
16	0	0.005	0.00017	0.13	0	0.78	0	0	0	0.083	0	5	0	0.25
17	5.4e-06	0	0	0	0	0	0	0	0	1	0	9	0.39	0.32
18	0	0.00057	0.0017	0.042	0	0.93	0	0	0	0.026	0	5	0	0.25
19	0	0	0	0	0	0	0	0	0.042	0.96	0.0022	9	0.39	0.32
20	0	4.2e-05	0	0.064	0	0.9	0	0	0	0.041	0	5	0	0.25
21	0	0	0	0	0.69	0	0	0	0	0.31	0	4	0.39	0
22	0	5e-06	0.95	0.0002	0	0.048	0.001	0	0	0.00013	0	2	0	0.11
23	0	0	0	0	0.69	0	0.001	0	0	0.31	0	4	0.39	0
24	0	0.00014	0.0001	0.029	0	0.95	0	0	0	0.018	0	5	0	0.25
25	0	0.004	0	0.27	0	0.56	0	0	0	0.17	0	5	0	0.25
26	0	0.01	0.0065	0.11	0	0.8	0	0	0	0.07	0	5	0	0.25
27	0	0.0036	0	0.54	0	0.12	0	0	0	0.34	0	3	0	0.32
28	0	0.0023	0.0033	0.06	0	0.9	0	0	0	0.038	0	5	0	0.25
29	0	9.2e-05	0.0041	0.019	0	0.96	0	0	0	0.012	0	5	0	0.25
30	0	0	0	0.0058	0	0.99	0	0	0	0.0037	0	5	0	0.25
31	0	0.00065	0	0.35	0	0.42	0	0	0	0.22	0	5	0	0.25
32	0	0	0	0	0	0	0	0	0.0041	1	0	9	0.39	0.32
33	0	0.00015	0	0.083	0	0.86	0	0	0	0.053	0	5	0	0.25
34	0	0.0011	8.6e-05	0.083	0	0.86	0	0	0	0.053	0	5	0	0.25
35	0	0	0	0	0	0	0	0	0.071	0.58	0.34	9	0.39	0.32
36	0	0	1	0	0	5.2e-05	0	0	0	0	0	2	0	0.11
37	0	0	0	8.8e-05	0	1	0	0	0	5.6e-05	0	5	0	0.25
38	0	0	0	0	0	0	0	0	0.054	0.94	0.0066	9	0.39	0.32
39	0	0	0	0	0	0	0	0	0.061	0.93	0.0096	9	0.39	0.32
40	0	0	0	0	0	0	0	0	0.0087	0.94	0.047	9	0.39	0.32
41	0	0.32	0	0.66	0	0.014	0	0	2.2e-05	0.00056	0.0037	3	0	0.32
42	0	0	0	0	0	0	0	0	5.3e-06	1	0	9	0.39	0.32
43	0	0	0	0	0.99	0	0.012	5.3e-06	0	0	0	4	0.39	0
44	5.4e-06	0	0	0	0	0	0	0	1.9e-05	1	0	9	0.39	0.32
45	3.4e-06	0	0	0	0	0	0	0	2.4e-05	1	0	9	0.39	0.32
46	0	0.046	0.0079	0.14	0	0.8	0	0	0	0	0	5	0	0.25
47	0	0.0038	0.018	0.036	0	0.94	0	0	0	0	0	5	0	0.25
48	0	0	0	0	0	0	1	0	0	0	0	6	0.39	0.036
49	0	0.0003	0	0.7	0	0.3	0	0	0	0	0	3	0	0.32
50	0	0	0	0	0	0	0	0	0	1	0	9	0.39	0.32
51	0	0	0	1.5e-05	0	1	0	0	0	0	0	5	0	0.25
52	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
53	0	0	0	0	0	0	0	0	0.0065	0.71	0.29	9	0.39	0.32
54	0	0	0	0	0	0	0	0	0.0073	0.89	0.11	9	0.39	0.32
55	0	0	0	0.0045	0	1	0	0	0	0	0	5	0	0.25
56	0	0	0	0	0	0	0	0	0.00059	0.0012	1	10	0.61	0.6
57	0	1.5e-05	0	0.049	0	0.95	0	0	0	0	0	5	0	0.25
58	0	0	1	0	0	0	0	0	0	0	0	2	0	0.11
59	0	0	0	0	0	0	0	0	0.024	0.95	0.023	9	0.39	0.32
60	0	0	0	0.006	0	0.99	0	0	0	0	0	5	0	0.25
61	0	0	0	0	0	0	0	0	0.24	0.32	0.44	10	0.61	0.6
62	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
63	0	0	0	0	0.39	0	2.9e-06	0	0	0.61	0	9	0.39	0.32
64	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
65	0	0	0	0	0	0	0	0	0.023	0.38	0.59	10	0.61	0.6
66	0	0	0	0.0013	0	1	0	0	0	0	0	5	0	0.25
67	0	0	0	0	0	0	0	0	0.0021	0.91	0.092	9	0.39	0.32
68	0	0	0	0	0.39	0	0	0	0	0.61	0	9	0.39	0.32
69	0	0	0	2.6e-05	0	1	0	0	0	0	0	5	0	0.25
70	0	0	0	0.058	0	0.94	0	0	0	0	0	5	0	0.25
71	0	0	0	0	0.39	0	0	0	0	0.61	0	9	0.39	0.32
72	0	0.00099	0	0.92	0	0.076	0	0	0	0	0	3	0	0.32
73	0	4e-06	0	0.063	0	0.9	0	0	0	0.04	0	5	0	0.25
74	0	0	0	0	0	0	0	0	0.014	0.98	0.006	9	0.39	0.32
75	0	0	0	0	0	0	0	0	0.014	0.98	0.0085	9	0.39	0.32
76	0	0.006	0.00044	0.11	0	0.88	0	0	0	0	0	5	0	0.25
77	0	0	0	0	0	0	0	0	0.038	0.94	0.024	9	0.39	0.32
78	0	4.8e-06	0	0.031	0	0.97	0	0	0	0	0	5	0	0.25
79	0	0	0	0	0	0	0	0	0.0097	0.98	0.0054	9	0.39	0.32
80	0	0	0	0	0	0	0	0	0.025	0.95	0.021	9	0.39	0.32
81	0	0.00057	0	0.091	0	0.91	0	0	0	0	0	5	0	0.25
82	0	0	0	0	0	0	1	0	0	0	0	6	0.39	0.036
83	0	0	0	0	0	0	0	0	0.02	0.35	0.63	10	0.61	0.6
84	0	0	0	0.086	0	0.91	0	0	0	0	0	5	0	0.25
85	0	1.1e-05	5.4e-06	0.014	0	0.99	0	0	0	0	0	5	0	0.25
86	0	0.9	0	0	0	0	0	0.1	0	0	0	1	0.043	0.32
87	0	1e-05	0	0.054	0	0.95	0	0	0	0	0	5	0	0.25
88	0	0	0	0.013	0	0.99	0	0	0	0	0	5	0	0.25
89	0	0	0	0	0.38	0	0.013	1.7e-05	0	0.6	0	9	0.39	0.32
90	0	5.5e-06	0	0.12	0	0.88	0	0	0	0	0	5	0	0.25
91	0	1.1e-05	0	0.079	0	0.92	0	0	0	0	0	5	0	0.25
92	0	0	0	0	0	0	0	0	0.06	0.25	0.69	10	0.61	0.6
93	0	0	0	0	0	0	0	0	0.19	0.22	0.59	10	0.61	0.6
94	0	0	0	0	0	0	0	0	0.89	0.11	0	8	0.49	0.36
95	0	0	0	0	0	0	0	0	0.013	0.55	0.43	9	0.39	0.32
96	0	0	0	0	0.98	0	0.02	2e-06	0	0	0	4	0.39	0
97	0	0	0	0	0	0	0	0	0.0028	0.00071	1	10	0.61	0.6
98	0	0	0.98	4.7e-06	0	0.019	0	0	0	0	0	2	0	0.11
99	0	0.00033	0.00016	0.047	0	0.95	0	0	0	0	0	5	0	0.25
100	0	0	0	0	0	0	0	0	0.012	0.51	0.48	9	0.39	0.32
101	0	0	0	0	0	0	0	0	0.075	0.9	0.02	9	0.39	0.32
102	0	0	0	0	0	0	0	0	0.039	0.46	0.5	10	0.61	0.6
103	0	0	0	0	0	0	0	0	4.6e-06	0.038	0.96	10	0.61	0.6
104	0	0	1	0	0	0	0	0	0	0	0	2	0	0.11
105	0	0	0	0	0	0	0	0	0.054	0.95	2.6e-06	9	0.39	0.32
106	0	0	0	0	0	0	0	1	0	0	0	7	0.087	0
107	0	0	0	0	1	0	1.8e-05	0	0	0	0	4	0.39	0
108	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
109	0	0.0048	0	0.47	0	0.53	0	0	0	0	0	5	0	0.25
110	0	1.3e-05	0	0.75	0	0.25	0	0	0	0	0	3	0	0.32
111	0	0	0	0	0.00041	0	5.9e-06	1	0	0	0	7	0.087	0
112	0	0	0.00041	0.00027	0	1	0	0	0	0	0	5	0	0.25
113	0	0	0	0	1	0	1.6e-05	0	0	0	0	4	0.39	0
114	0	0.00018	0.0021	0.014	0	0.98	0	0	0	0	0	5	0	0.25
115	0	0	0	0	1	0	7.5e-06	0	0	0	0	4	0.39	0
116	0	0	0	0	0	0	0	0	0.00045	1	0	9	0.39	0.32
117	0	0.00051	0.011	0.016	0	0.97	0	0	0	0	0	5	0	0.25
118	0	0	0	0	0	0	0	0	0.0019	0.98	0.022	9	0.39	0.32
119	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
120	0	0	0.98	0	0	0.019	0	0	0	0	0	2	0	0.11
121	0	0	0	0	0	0	0	0	9.7e-05	1	0.00059	9	0.39	0.32
122	0	0.00074	0.0033	0.024	0	0.97	0	0	0	0	0	5	0	0.25
123	0	0	0	0	0	0	0	0	0.039	0.96	0.00021	9	0.39	0.32
124	0	0	0	0	0	0	0	0	0.0026	1	0	9	0.39	0.32
125	0	0	0	0.0072	0	0.99	0	0	0	0	0	5	0	0.25
126	0	0	0	0	0	0	0	0	8.3e-06	1	0	9	0.39	0.32
127	0	0	0	0	0	0	0	0	0.0005	0.99	0.01	9	0.39	0.32
128	0	0.0022	0	0	0.037	0	0.00018	0.94	0	0.017	0	7	0.087	0
129	0	0.0011	0.00029	0.077	0	0.87	0	0	0	0.049	0	5	0	0.25
130	0	0.0023	0.12	0.035	0	0.82	6e-06	0	0	0.022	0	5	0	0.25
131	0	0	0	0	0	0	0	0	0.048	0.89	0.059	9	0.39	0.32
132	0	0	0	0.055	0	0.91	0	0	0	0.035	0	5	0	0.25
133	0	0.022	0	0	0	0	0	0.98	0	0	0	7	0.087	0
134	0	0	0	0	0	0	0	0	0.32	0.66	0.015	9	0.39	0.32
135	0	0	0	0	0	0	0	0	0.00027	1	0	9	0.39	0.32
136	0	0.0018	0.3	0.014	0	0.69	0	0	0	0	0	5	0	0.25
137	0	0	0	0.14	0	0.77	0	0	0	0.088	0	5	0	0.25
138	0	0	0	0	0	0	0	0	1.5e-05	1	0	9	0.39	0.32
139	0	0	0	0	0	0	0	0	0.0069	0.99	3.9e-05	9	0.39	0.32
140	0	0.01	0.0013	0.11	0	0.8	0	0	0	0.072	0	5	0	0.25
141	0	0	0	0	0	0	0	0	0.37	0.61	0.024	9	0.39	0.32
142	0	0	0	0.00013	0	1	0	0	0	8.1e-05	0	5	0	0.25
143	0	5.4e-05	0.00039	0.016	0	0.97	0	0	0	0.01	0	5	0	0.25
144	0	0	0	0	0	0	0	0	3.3e-05	1	0.002	9	0.39	0.32
145	0	0.0079	1.8e-05	0.18	0	0.81	0	0	0	0	0	5	0	0.25
146	0	0	0	0	0	0	0	0	0.072	0.76	0.16	9	0.39	0.32
147	0	0	0	0	0	0	0	0	0.0037	0.48	0.52	10	0.61	0.6
148	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
149	0	0.00076	0	0.39	0	0.61	0	0	0	0	0	5	0	0.25
150	0	0	0	0	0	0	0	0	0.06	0.94	0.0037	9	0.39	0.32
151	0	0	0	0	0	0	0	0	0.14	0.69	0.17	9	0.39	0.32
152	0	0.0032	0	0	0	0	0	1	0	0	0	7	0.087	0
153	0	0	0	0	0	0	0	0	0.51	0.49	0.00083	8	0.49	0.36
154	0	0	0	0	0.69	0	0.00015	0	0	0.31	0	4	0.39	0
155	0	2.8e-06	0	0	0.68	0	0.011	0.0037	0	0.31	0	4	0.39	0
156	0	0	0	0	0	0	0	0	2.6e-05	0.62	0.38	9	0.39	0.32
157	0	0	0	0	0	0	0	0	0.0091	0.99	3.6e-05	9	0.39	0.32
158	0	0	0	0	0.93	0	6.9e-06	0.071	6.5e-06	0	0	4	0.39	0
159	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
160	0	0.0087	2.9e-06	0.2	0	0.8	0	0	0	0	0	5	0	0.25
161	0	0	1	0	0	0.0016	0	0	0	0	0	2	0	0.11
162	0	0.00018	0	0.23	0	0.77	0	0	0	0	0	5	0	0.25
163	0	0	0	0	0	0	0	0	0.077	0.22	0.7	10	0.61	0.6
164	0	0	0	0	0	0	0	0	0	0.039	0.96	10	0.61	0.6
165	0	1	0	0	0	0	0	0	0	0	0	1	0.043	0.32
