k	loglikelihood	observations	parameters	BIC
1	-15813.2	6366	4	31661.4
2	-6580.72	6366	6	13214
3	-5025.57	6366	8	10121.2
4	-3646.79	6366	10	7381.16
5	-3439.59	6366	12	6984.29
6	-3307.12	6366	14	6736.87
7	-3204.91	6366	16	6549.96
8	-3070.2	6366	18	6298.06
9	-3064.42	6366	20	6304.01
10	-2887.09	6366	22	5966.86
11	-2997.52	6366	24	6205.25
12	-2878.43	6366	26	5984.59
13	-2926.09	6366	28	6097.43
14	-2930.44	6366	30	6123.65
15	-2871.46	6366	32	6023.2
16	-2846.32	6366	34	5990.44
17	-2870.87	6366	36	6057.06
18	-2866.34	6366	38	6065.52
19	-2845.49	6366	40	6041.33
20	-2844.66	6366	42	6057.19
