k	loglikelihood	observations	parameters	BIC
1	-3070.91	3998	4	6174.99
2	-2479.75	3998	6	5009.26
3	-2418.49	3998	8	4903.32
4	-2398.37	3998	10	4879.68
5	-2379.05	3998	12	4857.62
6	-2368.38	3998	14	4852.87
7	-2362.45	3998	16	4857.59
8	-2345.85	3998	18	4840.99
9	-2345.77	3998	20	4857.4
10	-2345.85	3998	22	4874.17
11	-2345.77	3998	24	4890.58
12	-2338.62	3998	26	4892.87
13	-2330.56	3998	28	4893.34
14	-2330.56	3998	30	4909.93
15	-2330.47	3998	32	4926.33
16	-2330.46	3998	34	4942.9
17	-2330.46	3998	36	4959.49
18	-2330.46	3998	38	4976.08
19	-2330.56	3998	40	4992.86
20	-2330.56	3998	42	5009.45
