SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0.63	2.1e-06	0	0	5.7e-05	0	0	0.32	0.00019	0.0029	0.00021	0	0.041	0	0	0.61	0.13
1	0.66	2e-06	0	0	8.3e-06	0	0	0.34	3.1e-05	0	0	0	2e-05	0	0	0.61	0.13
2	0.63	0	0	0	0.00016	0	0	0.32	0.002	0.025	0	6.6e-05	0.017	0.0015	0	0.61	0.13
3	0.66	0.00054	0	0	0	0	0	0.33	0	0	0.0045	0	0	0	0	0.61	0.13
4	0.66	0.0028	0	0	0	0	0	0.33	0	0	0.0046	0	0	0	0	0.61	0.13
5	0.66	0	0	0	2.9e-05	0	0	0.34	0.00015	0.00026	0	0	0.0042	1.3e-05	0	0.61	0.13
6	0.66	0.00072	0	0	0	0	0	0.34	0	0	1.6e-06	0	0	0	0	0.61	0.13
7	0.59	0.11	0	0	0	0	0	0.3	0	0	2.4e-06	0	0	0	0	0.61	0.13
8	0.62	0.06	0	0	0	0	0	0.32	0	0	0.00032	0	0	0	0	0.61	0.13
9	0.66	0.00054	0	0	0	0	0	0.34	0	0	0.0017	0	0	0	0	0.61	0.13
10	0.66	0.0006	0	0	0	0	0	0.34	0	0	0.003	0	0	0	0	0.61	0.13
11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0.087	0.014
12	0.65	0.00044	0	0	4.2e-05	0	0	0.33	0.0004	0.016	0.00053	3.1e-05	0.0088	0.00056	0	0.61	0.13
13	0.5	7.5e-05	0	0	6.9e-05	0	0	0.25	0.00073	0.22	0.00022	0.00016	0.028	0.0014	0	0.61	0.13
14	0.66	6.1e-06	0	0	0	0	0	0.34	0	0	0.0018	0	0	0	0	0.61	0.13
15	0.63	0.0051	0	0	0	0	0	0.32	0	0	0.043	0	0	0	0	0.61	0.13
16	0.25	2e-05	0	0	5.5e-05	0	0	0.13	0.00077	0.59	6.4e-05	0.001	0.022	0.0068	9	0.39	0.087
17	0.61	0.012	0	0	0	0	0	0.31	0	0	0.068	0	0	0	0	0.61	0.13
18	0.66	5.7e-06	0	0	1.8e-05	0	0	0.34	5.6e-05	0	2.3e-06	0	0.0012	0	0	0.61	0.13
19	0.53	3e-05	0	0	7.1e-05	0	0	0.27	0.00056	0.16	0.00067	4.7e-05	0.042	0.00034	0	0.61	0.13
20	0.66	2e-05	0	0	0	0	0	0.34	0	0	0.0015	0	0	0	0	0.61	0.13
21	0.66	0.0027	0	0	0	0	0	0.33	0	0	0.0052	0	0	0	0	0.61	0.13
22	0.66	0.0023	0	0	2.6e-05	0	0	0.33	0.00028	0.0018	0.00024	1.5e-05	0.0021	0.00059	0	0.61	0.13
23	0.66	0.0057	0	0	0	0	0	0.33	0	0	0.0059	0	0	0	0	0.61	0.13
24	0.66	0.001	0	0	0	0	0	0.34	0	0	0.00026	0	0	0	0	0.61	0.13
