SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1
0	2.1e-06	0.21	0	0.041	0	0	0	0.00018	0	0	0.11	0.00021	0.21	0.21	0	0	0.0029	0	5.2e-05	0.21	1	0.61	0.13
1	2e-06	0.22	0	2e-05	0	0	0	3e-05	0	0	0.12	0	0.22	0.22	0	0	0	0	7.6e-06	0.22	1	0.61	0.13
2	0	0.21	0	0.017	0.0015	0	0	0.002	6.5e-05	0	0.11	0	0.21	0.21	0	0	0.025	0	0.00015	0.21	1	0.61	0.13
3	0.00054	0.22	0	0	0	0	0	0	0	0	0.12	0.0045	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
4	0.0028	0.22	0	0	0	0	0	0	0	0	0.12	0.0046	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
5	0	0.22	0	0.0042	1.3e-05	0	0	0.00015	0	0	0.12	0	0.22	0.22	0	0	0.00026	0	2.6e-05	0.22	1	0.61	0.13
6	0.00072	0.22	0	0	0	0	0	0	0	0	0.12	1.6e-06	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
7	0.11	0.2	0	0	0	0	0	0	0	0	0.1	2.4e-06	0.2	0.2	0	0	0	0	0	0.2	1	0.61	0.13
8	0.06	0.21	0	0	0	0	0	0	0	0	0.11	0.00032	0.21	0.21	0	0	0	0	0	0.21	1	0.61	0.13
9	0.00054	0.22	0	0	0	0	0	0	0	0	0.12	0.0017	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
10	0.0006	0.22	0	0	0	0	0	0	0	0	0.12	0.003	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0.087	0.014
12	0.00044	0.21	0	0.0088	0.00056	0	0	0.00039	3e-05	0	0.11	0.00053	0.21	0.21	0	0	0.016	0	3.9e-05	0.21	1	0.61	0.13
13	7.5e-05	0.17	0	0.028	0.0014	0	0	0.00072	0.00016	0	0.088	0.00022	0.17	0.17	0	0	0.22	0	6.3e-05	0.17	16	0.39	0.087
14	6.1e-06	0.22	0	0	0	0	0	0	0	0	0.12	0.0018	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
15	0.0051	0.21	0	0	0	0	0	0	0	0	0.11	0.043	0.21	0.21	0	0	0	0	0	0.21	1	0.61	0.13
16	2e-05	0.084	0	0.022	0.0068	0	0	0.00076	0.00099	0	0.044	6.4e-05	0.084	0.084	0	0	0.59	0	5e-05	0.084	16	0.39	0.087
17	0.012	0.2	0	0	0	0	0	0	0	0	0.11	0.068	0.2	0.2	0	0	0	0	0	0.2	1	0.61	0.13
18	5.7e-06	0.22	0	0.0012	0	0	0	5.5e-05	0	0	0.12	2.3e-06	0.22	0.22	0	0	0	0	1.7e-05	0.22	1	0.61	0.13
19	3e-05	0.18	0	0.042	0.00034	0	0	0.00056	4.6e-05	0	0.094	0.00067	0.18	0.18	0	0	0.16	0	6.5e-05	0.18	1	0.61	0.13
20	2e-05	0.22	0	0	0	0	0	0	0	0	0.12	0.0015	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
21	0.0027	0.22	0	0	0	0	0	0	0	0	0.12	0.0052	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
22	0.0023	0.22	0	0.0021	0.00059	0	0	0.00027	1.4e-05	0	0.12	0.00024	0.22	0.22	0	0	0.0018	0	2.3e-05	0.22	1	0.61	0.13
23	0.0057	0.22	0	0	0	0	0	0	0	0	0.12	0.0059	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
24	0.001	0.22	0	0	0	0	0	0	0	0	0.12	0.00026	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
25	0	0.22	0	0.00057	1.9e-05	0	0	0.0035	0	0	0.12	0	0.22	0.22	0	0	3.3e-05	0	0.00014	0.22	1	0.61	0.13
26	0.11	0.2	0	0	0	0	0	0	0	0	0.1	0.00063	0.2	0.2	0	0	0	0	0	0.2	1	0.61	0.13
27	0	0.22	0	0.00032	0	0	0	1.3e-05	0	0	0.12	0	0.22	0.22	0	0	0	0	1.2e-05	0.22	1	0.61	0.13
28	2.1e-05	0.22	0	0	0	0	0	0	0	0	0.12	0	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
29	0	0.22	0	0.005	0	0	0	0.001	0	0	0.12	0	0.22	0.22	0	0	4e-06	0	0.00019	0.22	1	0.61	0.13
30	0.0036	0.22	0	0	0	0	0	0	0	0	0.12	9.9e-06	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
31	0.0013	0.22	0	0	0	0	0	0	0	0	0.12	0.009	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
32	3.6e-06	0.22	0	0	0	0	0	0	0	0	0.12	1.4e-06	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
33	4.3e-06	0.22	0	0	0	0	0	0	0	0	0.12	0.00016	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
34	7e-05	0.22	0	0	0	0	0	0	0	0	0.12	0.008	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
35	0	0.22	0	0.0014	8.2e-06	0	0	0.001	0	0	0.12	0	0.22	0.22	0	0	2.2e-05	0	8.8e-05	0.22	1	0.61	0.13
36	0	0.22	0	0.0067	2e-05	0	0	0.0009	0	0	0.12	0	0.22	0.22	0	0	0.0008	0	9.5e-05	0.22	1	0.61	0.13
37	5e-05	0.21	0	0	0	0	0	0	0	0	0.11	0.042	0.21	0.21	0	0	0	0	0	0.21	1	0.61	0.13
38	0.00026	0.22	0	0	0	0	0	0	0	0	0.12	0.0024	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
39	0	0.2	0	0.092	0	0	0	0.00086	0	0	0.11	0	0.2	0.2	0	0	0.0091	0	0.00018	0.2	1	0.61	0.13
40	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0.98	0	0	17	0.087	0
41	0	0.22	0	0	0	0	0	0	0	0	0.12	0	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
42	0.0011	0.22	0	0	0	0	0	0	0	0	0.12	3e-05	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
43	4.6e-05	0.22	0	0	0	0	0	0	0	0	0.12	0.0001	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
44	0	0.17	0	0.06	0.00076	0	0	0.00097	8.5e-05	0	0.089	0	0.17	0.17	0	0	0.18	0	0.00011	0.17	16	0.39	0.087
45	0	0.22	0	0	0	0	0	0	0	0	0.12	0	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
46	0	0.22	0	0.011	0	0	0	4.5e-06	0	0	0.12	0.00026	0.22	0.22	0	0	4.4e-06	0	6e-06	0.22	1	0.61	0.13
47	0.0025	0.21	0	0	0	0	0	0	0	0	0.11	0.026	0.21	0.21	0	0	0	0	0	0.21	1	0.61	0.13
48	0.00039	0.22	0	0	0	0	0	0	0	0	0.12	0.00051	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
49	0.0098	0.22	0	0	0	0	0	0	0	0	0.12	0.0012	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
50	0.00022	0.22	0	0	0	0	0	0	0	0	0.12	0.00019	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
51	0	0.21	0	0.024	3.2e-05	0	0	0.0014	1.5e-06	0	0.11	0	0.21	0.21	0	0	0.009	0	0.00015	0.21	1	0.61	0.13
52	1.2e-05	0.22	0	0	0	0	0	0	0	0	0.12	0.0032	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
53	1.2e-06	0.22	0	0	0	0	0	0	0	0	0.12	0.0017	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
54	0.023	0.22	0	0	0	0	0	0	0	0	0.11	0.0012	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
55	0	0.21	0	0.026	1.1e-06	0	0	0.012	0	0	0.11	0	0.21	0.21	0	0	0.0028	0	0.00085	0.21	1	0.61	0.13
56	0	0.046	0	0.79	0	0	0	0.00091	0	0	0.024	0	0.046	0.046	0	0	2e-05	0	0.0007	0.046	3	0.47	0.13
57	0	0.12	0	0.099	7e-05	0	0	0.0014	1.4e-05	0	0.065	1.8e-06	0.12	0.12	0	0	0.34	0	0.00015	0.12	16	0.39	0.087
58	0	0.2	0	0.082	0	0	0	0.0024	0	0	0.11	0	0.2	0.2	0	0	0.0037	0	0.00037	0.2	1	0.61	0.13
59	0	0.22	0	0.00053	0	0	0	0	0	0	0.12	1.5e-06	0.22	0.22	0	0	0	0	3.6e-06	0.22	1	0.61	0.13
60	0.00013	0.22	0	0.002	1.7e-05	0	0	0.00029	0	0	0.12	4.1e-06	0.22	0.22	0	0	0.0003	0	3.1e-05	0.22	1	0.61	0.13
61	1.1e-06	0.22	0	0	0	0	0	0	0	0	0.12	0	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
62	0.014	0.22	0	0	0	0	0	2.6e-06	0	0	0.12	0	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
63	0.0027	0.22	0	0	0	0	0	0	0	0	0.12	5.7e-05	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
64	0.011	0.22	0	0	0	0	0	0	0	0	0.12	0.00024	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
65	0.00066	0.22	0	6.9e-05	0	0	0	2.6e-05	0	0	0.12	8.9e-06	0.22	0.22	0	0	0	0	4.9e-06	0.22	1	0.61	0.13
66	2.2e-05	0.22	0	0	0	0	0	0	0	0	0.12	1e-05	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
67	0.00027	0.22	0	0	0	0	0	0	0	0	0.12	0.001	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
68	0.0022	0.22	0	0	0	0	0	3.8e-06	0	0	0.12	0	0.22	0.22	0	0	0	0	0	0.22	1	0.61	0.13
