SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.16	0	0	0	0	0	0	0	0	0	0.81	0.022	0	0	0	11	0	0	0	0.27
1	0	0	0	0	0	0	0	0	0	0	0	0.00026	1	0	0	0	12	0	0	0	0.36
2	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
3	0.5	0	0.5	0	0	0	0	0	0	5.6e-06	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
4	0.0002	1	0.0002	0	0	0	0	0	0	0.00017	0	0	0	0	0	0	1	0.57	0.44	0.3	0.59
5	0	4.2e-05	0	0	0	0	0	0	0	0	0	0.052	0.95	0	0	0	12	0	0	0	0.36
6	0.47	0.038	0.47	0	0	0	0	0	0.013	0	0	0	0	0.01	0	0	2	0.57	0.44	0.3	0.41
7	0.44	0	0.44	0	0	0	0.13	0	0	0.0022	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
8	0.49	0.0019	0.49	0	0	0	0	0	0.012	0	0	0	0	0.00022	0	0	2	0.57	0.44	0.3	0.41
9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.57	0.44	0.3	0
10	0.5	0	0.5	0	0	0	0	0	0	4.9e-05	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
11	0.5	0	0.5	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
12	0.47	0.0024	0.47	0	0	0	0	0	0.031	0	0	0	0	0.018	0	0	2	0.57	0.44	0.3	0.41
13	0.5	0	0.5	0	0	0	0	0	0	2e-06	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
14	0	0	0	0	0	0	0	0	0.0015	0	1	0	0	0	0	0	10	0	0	0.2	0
15	0.5	0	0.5	0	0	0	0	0	0	0.00078	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
16	0.5	0	0.5	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
17	0.5	0.00025	0.5	0	0	0	0	0	0.0093	0	0	0	0	4.6e-05	0	0	2	0.57	0.44	0.3	0.41
18	0.5	1.1e-06	0.5	0	0	0	0	0	2.9e-05	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
19	0.49	0.00048	0.49	0	0	0	0	0	0.0098	0	0	0	0	5.3e-06	0	0	2	0.57	0.44	0.3	0.41
20	0.063	3.4e-05	0.063	0	0	0	0	0	0.0014	0	0	0	0	0.87	0	0	13	0.81	0.56	0.43	0.41
21	0.5	0	0.5	0	0	0	0	0	0	8e-05	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
22	0.48	2.2e-06	0.48	0	0	0	0	0	0.001	0.031	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
23	0.5	3.9e-05	0.5	0	0	0	0	0	9.2e-05	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.048	0	0.3	0.41
25	0.47	0.0029	0.47	0	0	0	0	0	0.044	0	0	0	0	0.0068	0	0	2	0.57	0.44	0.3	0.41
26	0.5	2.1e-05	0.5	0	0	0	0	0	0.00051	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
27	0.5	2.9e-06	0.5	0	0	0	0	0	0.00014	0.0003	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
28	0.48	0.0025	0.48	0	0	0	0	0	0.047	0	0	0	0	4.9e-05	0	0	2	0.57	0.44	0.3	0.41
29	0.37	0.0023	0.37	0	0	0	0	0	0.16	0	0	0	0	0.088	0	0	2	0.57	0.44	0.3	0.41
30	0.5	3.9e-05	0.5	0	0	0	0	0	0.0003	0.00036	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
31	0.5	0.00044	0.5	0	0	0	0	0	0.0043	0.00049	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0.24	0	0
33	0.49	9.7e-06	0.49	0	0	0	0	0	0.019	0	0	0	0	0.00017	0	0	2	0.57	0.44	0.3	0.41
34	0.5	2.3e-05	0.5	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
35	0.5	0	0.5	0	0	0	0	0	0.00089	6.2e-05	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
36	0.5	0.00018	0.5	0	0	0	0.0067	0	2.4e-06	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
37	0.49	8.6e-05	0.49	0	0	0	0	0	0.021	0	0	0	0	0.00043	0	0	2	0.57	0.44	0.3	0.41
38	0.47	0	0.47	0	0	0	0	0	0	0	0	2.8e-05	0.063	0	0	0	2	0.57	0.44	0.3	0.41
39	0.5	4.8e-05	0.5	0	0	0	0	0	3.9e-05	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
40	0.12	0	0.12	0	0	0	0.00039	0	0.00016	0.76	0	0	0	0	0	0	9	0.43	0.29	0.3	0.32
41	0.49	0.00044	0.49	0	0	0	0.0042	0	0.0015	0.0097	0	0	0	0.00015	0	0	2	0.57	0.44	0.3	0.41
42	0.11	1.6e-06	0.11	0	0	0	0.0015	0	1.4e-06	0.78	0	0	0	0	0	0	9	0.43	0.29	0.3	0.32
43	0.48	2.3e-05	0.48	0	0	0	1.4e-06	0	9.8e-05	0.048	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
44	0.49	0.00023	0.49	0	0	0	2.3e-05	0	0.0072	0.0044	0	0	0	0.0001	0	0	2	0.57	0.44	0.3	0.41
45	0.5	8.7e-05	0.5	0	0	0	0	0	0.0033	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
46	0.5	0.00078	0.5	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
47	0.31	0.0011	0.31	0	0	0	0.34	0	0.00043	0.026	0	0	0	0	0	0	6	0.43	0.44	0.067	0.41
48	0.5	7.2e-05	0.5	0	0	0	0	0	0.0014	0.0059	0	0	0	1e-05	0	0	2	0.57	0.44	0.3	0.41
49	0.48	0.0067	0.48	0	0	0	0	0	0.022	0	0	0	0	0.0024	0	0	2	0.57	0.44	0.3	0.41
50	0.47	0.0012	0.47	0	0	0	0	0	0.062	0	0	0	0	0.00088	0	0	2	0.57	0.44	0.3	0.41
51	0.45	0.022	0.45	0	0	0	0	0	0.075	0	0	0	0	0.0051	0	0	2	0.57	0.44	0.3	0.41
52	0.5	0.00015	0.5	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
53	0.49	7.8e-05	0.49	0	0	0	0	0	0.012	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
54	0.5	0.00052	0.5	0	0	0	0.0017	0	0.00061	1.1e-06	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
55	0.5	0.0082	0.5	0	0	0	0	0	0.00065	0	0	0	0	0.0004	0	0	2	0.57	0.44	0.3	0.41
56	0	0	0	0	0.99	0	0	0.0084	0	0	0	1.8e-05	0	0	0	0	4	0	0	0	0.091
57	0.5	2.5e-06	0.5	0	0	0	0	0	1.2e-05	0.00025	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
58	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.57	0.44	0.3	0.41
