SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	0	0	0.99	0	0.007	5	0	0	0	0.36
1	0	0	0	0	0	1	0	0	5	0	0	0	0.36
2	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
3	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
4	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
5	0	0	0	0	0	1	0	3.5e-05	5	0	0	0	0.36
6	0.47	0.049	0	0.0022	0.47	0	0	0	0	0.57	0.44	0.3	0.41
7	0.5	0	0	9.6e-06	0.5	0	0	0	0	0.57	0.44	0.3	0.41
8	0.4	0.2	0	0	0.4	0	0	0	0	0.57	0.44	0.3	0.41
9	0	0	1	0	0	0	0	0	2	0.38	0.29	0.1	0
10	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
11	0.5	0	0	2.9e-05	0.5	0	0	0	0	0.57	0.44	0.3	0.41
12	0.46	0.076	0	9.1e-06	0.46	0	0	0	0	0.57	0.44	0.3	0.41
13	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
14	0	0	0	0	0	0	1	0	6	0	0	0.2	0.046
15	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
16	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
17	0.5	0.006	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
18	0.5	0.0027	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
19	0.49	0.012	0	0	0.49	0	0	0	0	0.57	0.44	0.3	0.41
20	0.058	0.88	0	0	0.058	0	0	0	1	0.62	0.51	0.3	0.41
21	0.5	0	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
22	0.5	0.0013	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
23	0.5	0.00033	0	0	0.5	0	0	0	0	0.57	0.44	0.3	0.41
24	0	0	0	0	0	0	0	1	7	0.048	0	0	0.23
25	0.48	0.041	0	5.6e-06	0.48	0	0	0	0	0.57	0.44	0.3	0.41
